stats_g/mean,train/critic_loss,stats_o/std,test/episode,epoch,train/success_rate,test/mean_Q,stats_g/std,train/episode,stats_o/mean,test/success_rate
0.8385404,0.14859928,0.057238817,640.0,31,0.07,-27.14621,0.0610235,3200.0,0.20117585,0.05833333333333334
0.838562,0.11637985,0.057506133,660.0,32,0.08333333333333333,-26.771614,0.061006784,3300.0,0.20121521,0.075
0.83855265,0.13424206,0.057514723,680.0,33,0.06166666666666667,-28.328012,0.06100264,3400.0,0.20124489,0.049999999999999996
0.8385777,0.104556166,0.0577551,700.0,34,0.07666666666666667,-27.432114,0.06099768,3500.0,0.20123653,0.07500000000000001
0.83862066,0.1398804,0.057881,720.0,35,0.07666666666666667,-27.671997,0.06104864,3600.0,0.20125996,0.08333333333333333
0.83868307,0.06629556,0.057919066,740.0,36,0.08166666666666667,-28.655542,0.06107754,3700.0,0.20126568,0.06666666666666667
0.838636,0.15571465,0.057892475,760.0,37,0.06166666666666667,-30.352716,0.061048154,3800.0,0.20127726,0.08333333333333333
0.83863646,0.12389034,0.05800164,780.0,38,0.07166666666666667,-29.002504,0.061039124,3900.0,0.2012902,0.09999999999999999
0.83863974,0.1094771,0.05798484,800.0,39,0.07333333333333335,-30.551865,0.06101932,4000.0,0.20131584,0.075
0.8385854,0.2691765,0.057990476,820.0,40,0.085,-29.297632,0.061033193,4100.0,0.20129858,0.075
0.8386347,0.12975694,0.057899743,840.0,41,0.07833333333333332,-33.3849,0.061022196,4200.0,0.20129447,0.025000000000000005
0.83862996,0.108796395,0.057954792,860.0,42,0.09000000000000001,-32.357376,0.061007813,4300.0,0.2013086,0.10000000000000002
0.8386503,0.21006423,0.058008477,880.0,43,0.085,-32.279736,0.06100462,4400.0,0.20130627,0.075
0.8386509,0.16916771,0.058243766,900.0,44,0.06833333333333334,-32.365116,0.06100926,4500.0,0.2013037,0.05833333333333333
0.8386151,0.13495307,0.058285102,920.0,45,0.09500000000000001,-33.04454,0.061018202,4600.0,0.20131999,0.049999999999999996
0.8385741,0.16003965,0.05832139,940.0,46,0.09166666666666667,-33.63319,0.061033055,4700.0,0.20131558,0.041666666666666664
0.838619,0.2520815,0.05842474,960.0,47,0.06833333333333334,-31.46551,0.0610252,4800.0,0.20131154,0.125
0.83864933,0.15277651,0.058514822,980.0,48,0.085,-31.46586,0.061034784,4900.0,0.20130575,0.09166666666666667
0.83871007,0.1406283,0.058782954,1000.0,49,0.11166666666666668,-30.021383,0.061021402,5000.0,0.20131397,0.11666666666666668
