stats_g/mean,train/critic_loss,stats_o/std,test/episode,epoch,train/success_rate,test/mean_Q,stats_g/std,train/episode,stats_o/mean,test/success_rate
0.8388899,0.0017176889,0.042896044,20.0,0,0.05499999999999999,-2.532519,0.06201211,100.0,0.20090424,0.10000000000000002
0.8390105,0.0028080826,0.042600516,40.0,1,0.08,-4.8287067,0.061551046,200.0,0.20085366,0.016666666666666666
0.8391831,0.0027292825,0.04075229,60.0,2,0.065,-6.5528464,0.06113909,300.0,0.2008955,0.041666666666666664
0.83921915,0.0073474064,0.041215643,80.0,3,0.06666666666666667,-8.236696,0.061099347,400.0,0.20119649,0.075
0.8396826,0.0100447005,0.042098626,100.0,4,0.07666666666666666,-10.112544,0.06122978,500.0,0.20128216,0.049999999999999996
0.8394308,0.018834805,0.041918587,120.0,5,0.06333333333333334,-11.589604,0.061157197,600.0,0.20135367,0.075
0.83916426,0.015980659,0.04306987,140.0,6,0.049999999999999996,-12.810111,0.06091324,700.0,0.20136206,0.09166666666666667
0.83912665,0.01506886,0.043186802,160.0,7,0.07333333333333333,-14.1679735,0.060996667,800.0,0.20143293,0.09999999999999999
0.83925086,0.017003516,0.043175157,180.0,8,0.06,-15.976415,0.06107181,900.0,0.20145349,0.075
0.8392935,0.027886277,0.043827925,200.0,9,0.07166666666666667,-17.437613,0.061068043,1000.0,0.20144224,0.08333333333333333
0.8389778,0.018841619,0.044457275,220.0,10,0.085,-18.285545,0.060982037,1100.0,0.201405,0.08333333333333333
0.8389077,0.028961463,0.04526423,240.0,11,0.07333333333333333,-19.357714,0.060956355,1200.0,0.201369,0.10000000000000002
0.83884126,0.041100416,0.04638238,260.0,12,0.06666666666666667,-20.922527,0.06093822,1300.0,0.20145933,0.06666666666666667
0.8386631,0.036890943,0.046654414,280.0,13,0.07666666666666667,-22.88111,0.060935903,1400.0,0.20146847,0.03333333333333333
0.8385408,0.03859162,0.047458943,300.0,14,0.06666666666666667,-23.149755,0.060935605,1500.0,0.20143707,0.05000000000000001
0.83858484,0.045478195,0.04855216,320.0,15,0.07333333333333335,-22.923834,0.06085745,1600.0,0.20141856,0.09166666666666667
0.8386302,0.11019539,0.049347028,340.0,16,0.049999999999999996,-23.934973,0.06089826,1700.0,0.20139039,0.05833333333333333
0.83881027,0.07304811,0.049923062,360.0,17,0.07833333333333332,-25.163797,0.060941186,1800.0,0.20140137,0.041666666666666664
0.8388295,0.067832716,0.05071046,380.0,18,0.08333333333333333,-24.325815,0.060979728,1900.0,0.20137405,0.05833333333333334
0.8387902,0.06353591,0.05157539,400.0,19,0.06666666666666667,-23.736883,0.06101134,2000.0,0.20135124,0.09166666666666667
0.8387435,0.10636032,0.052600656,420.0,20,0.06333333333333334,-23.100927,0.061012056,2100.0,0.20136589,0.06666666666666667
0.83879095,0.086068176,0.05326123,440.0,21,0.06666666666666667,-23.303198,0.06105673,2200.0,0.2013549,0.09166666666666667
0.83868414,0.10408658,0.05381119,460.0,22,0.065,-24.91864,0.06101723,2300.0,0.20128767,0.05833333333333334
0.8387187,0.20006782,0.054431383,480.0,23,0.06333333333333334,-25.878632,0.060978685,2400.0,0.20124947,0.06666666666666667
0.83875275,0.14450653,0.05505286,500.0,24,0.06333333333333334,-22.841017,0.060978327,2500.0,0.20126933,0.09999999999999999
0.8387305,0.10056875,0.05548404,520.0,25,0.06333333333333334,-23.827223,0.060986713,2600.0,0.20127769,0.05000000000000001
0.83866245,0.10459433,0.055760633,540.0,26,0.085,-24.18708,0.061009318,2700.0,0.20126967,0.08333333333333333
0.83873636,0.13852687,0.056364942,560.0,27,0.06833333333333333,-22.59372,0.06098129,2800.0,0.20121555,0.11666666666666665
0.83869046,0.13430153,0.056521684,580.0,28,0.056666666666666664,-27.00585,0.06097986,2900.0,0.20119996,0.041666666666666664
0.83861727,0.08568346,0.056673333,600.0,29,0.07666666666666666,-27.03846,0.061005678,3000.0,0.20118207,0.05000000000000001
0.83863115,0.0792768,0.056900624,620.0,30,0.08333333333333333,-25.951815,0.06099895,3100.0,0.20117562,0.041666666666666664
