test/mean_Q,stats_o/mean,test/episode,stats_o/std,train/critic_loss,test/success_rate,train/episode,epoch,stats_g/std,train/success_rate,stats_g/mean,test/ag_g_dist
-2.089014,0.20475306,1160.0,0.1208631,0.3754746,0.8333333333333334,5800.0,57,0.11440163,0.26833333333333337,0.8540084,0.053605776
-2.269049,0.2047718,1180.0,0.1208495,0.31954667,0.8583333333333334,5900.0,58,0.11420852,0.315,0.85405725,0.056781206
-2.0037854,0.20478387,1200.0,0.12080496,0.5085107,0.9083333333333332,6000.0,59,0.11398887,0.295,0.85413224,0.054456454
-2.3384416,0.20478283,1220.0,0.12078032,0.45437148,0.9083333333333333,6100.0,60,0.11389185,0.2833333333333334,0.8541436,0.053035233
-2.05003,0.20480461,1240.0,0.12078523,0.38262376,0.8916666666666666,6200.0,61,0.113752656,0.2866666666666667,0.8541534,0.051958486
-2.1316912,0.20482953,1260.0,0.1206955,0.40843296,0.85,6300.0,62,0.113615245,0.3166666666666667,0.8541942,0.05682315
-2.035826,0.20483093,1280.0,0.12070016,0.36647192,0.9250000000000002,6400.0,63,0.11347243,0.31833333333333336,0.85420376,0.053245682
-2.0740573,0.20485832,1300.0,0.12068874,0.60615677,0.9083333333333332,6500.0,64,0.11341774,0.325,0.85428506,0.05376309
-2.2369955,0.20484883,1320.0,0.12067876,0.31191134,0.7416666666666667,6600.0,65,0.11334723,0.295,0.85430354,0.06658655
-2.0951982,0.20489645,1340.0,0.120607845,0.2950591,0.85,6700.0,66,0.11317271,0.31833333333333336,0.8543566,0.05414151
-2.3162975,0.20491427,1360.0,0.120546214,0.37845173,0.8583333333333334,6800.0,67,0.11304468,0.285,0.85440737,0.059819162
-2.1774588,0.20491497,1380.0,0.12042767,0.3720843,0.9166666666666666,6900.0,68,0.1129212,0.3066666666666667,0.85442287,0.05577081
-2.1550763,0.20494068,1400.0,0.12041096,0.47317693,0.8333333333333334,7000.0,69,0.11282364,0.28500000000000003,0.85445803,0.060706172
-2.4965372,0.20494373,1420.0,0.120394915,0.30408606,0.8083333333333332,7100.0,70,0.11274179,0.33,0.85447437,0.062543936
-1.8993783,0.2049557,1440.0,0.12036171,0.33114702,0.9333333333333332,7200.0,71,0.112697,0.295,0.8545008,0.04787692
-2.0650513,0.20497034,1460.0,0.120347224,0.47749045,0.9333333333333332,7300.0,72,0.112627804,0.285,0.85456246,0.055606622
-2.0675783,0.20499445,1480.0,0.12032046,0.4266517,0.9249999999999999,7400.0,73,0.11253103,0.29,0.85458803,0.048236698
-1.7254744,0.20501406,1500.0,0.12021368,0.3411237,0.975,7500.0,74,0.11242209,0.315,0.85464716,0.040041927
-2.0721807,0.20503046,1520.0,0.12022022,0.55423117,0.85,7600.0,75,0.11236071,0.315,0.85466504,0.054963175
-2.000282,0.20503937,1540.0,0.12020036,0.539573,0.8833333333333333,7700.0,76,0.112289585,0.29833333333333334,0.85468954,0.05202794
-2.0817919,0.20506115,1560.0,0.12014767,0.2999488,0.8916666666666666,7800.0,77,0.11213571,0.31666666666666665,0.8546974,0.054164667
-2.2715456,0.20504917,1580.0,0.12011845,0.26327845,0.9166666666666666,7900.0,78,0.11205998,0.3183333333333333,0.854723,0.060762096
-2.0236197,0.20506464,1600.0,0.1200665,0.27353352,0.9,8000.0,79,0.11198729,0.30333333333333334,0.85476446,0.051483255
-1.9141759,0.20507629,1620.0,0.11997751,0.279858,0.9083333333333332,8100.0,80,0.11193629,0.2916666666666667,0.8547478,0.052962225
-2.1024196,0.20509307,1640.0,0.11984829,0.32245365,0.8666666666666667,8200.0,81,0.11189202,0.3,0.8547683,0.05856095
-2.2863362,0.20510535,1660.0,0.11982515,0.42850566,0.8666666666666667,8300.0,82,0.11184553,0.3316666666666666,0.85478586,0.058793243
-1.9775511,0.20510782,1680.0,0.119756974,0.34663367,0.9,8400.0,83,0.11175215,0.3133333333333333,0.85483295,0.052509964
-2.0219066,0.20509692,1700.0,0.1197711,0.4562085,0.9083333333333333,8500.0,84,0.11170394,0.32,0.85480326,0.051946823
-2.0168693,0.2051038,1720.0,0.119776934,0.48854685,0.9333333333333332,8600.0,85,0.1116781,0.2966666666666667,0.8548115,0.05383538
-1.9731952,0.20508651,1740.0,0.11974862,0.6605833,0.9,8700.0,86,0.111625396,0.2733333333333333,0.85482746,0.05265714
-1.9608473,0.20509045,1760.0,0.119668104,0.32721597,0.8999999999999999,8800.0,87,0.11158764,0.2816666666666667,0.85485435,0.05152975
-2.1524754,0.20508146,1780.0,0.11963234,0.3888313,0.8666666666666667,8900.0,88,0.111504756,0.3116666666666667,0.8548465,0.058579903
-2.0577219,0.20511408,1800.0,0.119607665,0.29256868,0.9,9000.0,89,0.11141651,0.26666666666666666,0.8548455,0.05456224
-2.171005,0.20511131,1820.0,0.11960969,0.28818724,0.8583333333333333,9100.0,90,0.11138353,0.28,0.854835,0.060617547
-2.10356,0.20512785,1840.0,0.11960974,0.79713947,0.8666666666666667,9200.0,91,0.11139679,0.255,0.85481995,0.057557214
-2.1382482,0.20511727,1860.0,0.119584,0.4201671,0.875,9300.0,92,0.111302994,0.30833333333333335,0.8548108,0.05833238
-1.9347801,0.20512001,1880.0,0.11962216,0.4397986,0.9416666666666668,9400.0,93,0.11126853,0.3,0.8548128,0.049668193
-2.1194046,0.20512138,1900.0,0.11962984,0.6538644,0.9083333333333333,9500.0,94,0.11129877,0.26833333333333337,0.8547961,0.05755611
-1.9953818,0.20509155,1920.0,0.1196445,0.3409516,0.8833333333333333,9600.0,95,0.11126404,0.29333333333333333,0.854798,0.05292884
-2.0281975,0.20509298,1940.0,0.119637094,0.7538797,0.9250000000000002,9700.0,96,0.11123347,0.32,0.854829,0.054206192
-1.9515864,0.20509654,1960.0,0.1196006,0.62403363,0.8916666666666666,9800.0,97,0.11119935,0.29500000000000004,0.85485965,0.052804694
-1.9946357,0.20509434,1980.0,0.11957777,0.4012872,0.9666666666666668,9900.0,98,0.111149825,0.28833333333333333,0.85487795,0.050692555
-2.053002,0.2050895,2000.0,0.11954608,0.3702269,0.9083333333333333,10000.0,99,0.111084096,0.29833333333333334,0.85487956,0.053386223
