test/episode,train/success_rate,test/reward_compute_count,test/success_rate,train/critic_loss,stats_g/std,stats_g/mean,stats_o/mean,epoch,test/mean_Q,train/episode,train/reward_compute_count,test/ag_g_dist,stats_o/std
20.0,0.0,1000.0,0.09166666666666667,0.040882166,0.01852214,0.6724815,0.31494346,0,-1.6334491,100.0,5000.0,0.029876301,0.7160988
40.0,0.005,2000.0,0.19166666666666665,0.044606794,0.018034998,0.6729601,0.30858582,1,-1.6048151,200.0,10000.0,0.025308102,0.77397853
60.0,0.0016666666666666668,3000.0,0.08333333333333333,0.04468912,0.017756512,0.6730326,0.30835456,2,-2.0861604,300.0,15000.0,0.033251528,0.7951389
80.0,0.006666666666666667,4000.0,0.2916666666666667,0.041053023,0.017648732,0.67320055,0.30827975,3,-2.7255147,400.0,20000.0,0.029159652,0.8056776
100.0,0.006666666666666667,5000.0,0.2416666666666667,0.04207371,0.017449219,0.67350864,0.30820405,4,-3.3813493,500.0,25000.0,0.033805415,0.8099027
120.0,0.0033333333333333335,6000.0,0.19166666666666665,0.046765845,0.017525677,0.6739118,0.30846,5,-3.0721264,600.0,30000.0,0.030632922,0.8136091
140.0,0.005,7000.0,0.2833333333333333,0.045563664,0.01745673,0.6739276,0.30838308,6,-3.2477582,700.0,35000.0,0.028231496,0.816581
160.0,0.01,8000.0,0.43333333333333335,0.044000056,0.017417828,0.67408293,0.3079377,7,-4.3455772,800.0,40000.0,0.03655013,0.8178975
180.0,0.006666666666666667,9000.0,0.2916666666666667,0.04748388,0.017615251,0.67431444,0.30832946,8,-3.2230814,900.0,45000.0,0.03516141,0.823337
200.0,0.008333333333333333,10000.0,0.2416666666666667,0.050672945,0.01766471,0.6743358,0.30896363,9,-3.218734,1000.0,50000.0,0.028430184,0.8277944
220.0,0.0016666666666666668,11000.0,0.375,0.042316247,0.017660677,0.67434907,0.3085766,10,-3.561443,1100.0,55000.0,0.02799501,0.8296104
240.0,0.015,12000.0,0.43333333333333335,0.048755635,0.017671732,0.67432404,0.3077419,11,-3.2698538,1200.0,60000.0,0.023220235,0.8316152
260.0,0.016666666666666666,13000.0,0.4166666666666667,0.04767932,0.017609764,0.6742609,0.30740485,12,-4.3253574,1300.0,65000.0,0.028970605,0.83212703
280.0,0.015,14000.0,0.4833333333333334,0.05001007,0.017561536,0.6742756,0.30713606,13,-3.0693386,1400.0,70000.0,0.020563906,0.83322924
300.0,0.008333333333333333,15000.0,0.45,0.049473096,0.017561374,0.674288,0.30674067,14,-3.9305668,1500.0,75000.0,0.027657894,0.8348802
320.0,0.015,16000.0,0.6583333333333333,0.044417303,0.017569516,0.67428285,0.3063197,15,-4.029519,1600.0,80000.0,0.026452543,0.8363152
340.0,0.011666666666666665,17000.0,0.65,0.04618601,0.017554821,0.6742964,0.30607298,16,-4.25614,1700.0,85000.0,0.02704177,0.8369207
360.0,0.016666666666666666,18000.0,0.625,0.042370558,0.017533831,0.67431074,0.30582923,17,-5.1022596,1800.0,90000.0,0.026795723,0.8367555
380.0,0.01,19000.0,0.6916666666666668,0.04288594,0.017511792,0.67433995,0.3058175,18,-5.0344353,1900.0,95000.0,0.050694767,0.8367925
400.0,0.01,20000.0,0.6416666666666667,0.050945655,0.017721664,0.67448694,0.30587336,19,-4.789486,2000.0,100000.0,0.03954881,0.8368626
420.0,0.011666666666666667,21000.0,0.6583333333333333,0.04219206,0.017885495,0.67460555,0.30580992,20,-5.636129,2100.0,105000.0,0.0309862,0.837254
440.0,0.01,22000.0,0.7000000000000001,0.045518633,0.017931787,0.6746476,0.30571684,21,-5.31405,2200.0,110000.0,0.030466914,0.83751184
460.0,0.006666666666666667,23000.0,0.6583333333333333,0.046985764,0.017938025,0.67465633,0.30555657,22,-4.7397656,2300.0,115000.0,0.026006067,0.8377199
480.0,0.011666666666666667,24000.0,0.6083333333333334,0.050246816,0.017942633,0.67468053,0.30532557,23,-6.6480293,2400.0,120000.0,0.046692643,0.83746624
500.0,0.016666666666666666,25000.0,0.7166666666666667,0.04854762,0.017915396,0.67468673,0.30512235,24,-4.605284,2500.0,125000.0,0.035878807,0.83681864
520.0,0.008333333333333333,26000.0,0.7083333333333334,0.04368019,0.017879277,0.6746695,0.30520836,25,-5.425608,2600.0,130000.0,0.02990519,0.83612055
540.0,0.0033333333333333335,27000.0,0.575,0.04583959,0.0178429,0.6746749,0.30522224,26,-6.3478017,2700.0,135000.0,0.033892933,0.8351989
560.0,0.008333333333333333,28000.0,0.6583333333333333,0.043462712,0.01781458,0.6746803,0.30514437,27,-7.2851653,2800.0,140000.0,0.04104608,0.8345278
