train/success_rate,train/critic_loss,stats_o/mean,stats_g/std,test/episode,test/success_rate,train/episode,stats_o/std,stats_g/mean,test/ag_g_dist,epoch,test/mean_Q
0.05499999999999999,0.0020566648,0.20080476,0.07149847,20.0,0.10000000000000002,100.0,0.049597215,0.83737737,0.17484415,0,-2.3680804
0.08166666666666667,0.0046202927,0.20082404,0.071179815,40.0,0.016666666666666666,200.0,0.050401375,0.8372411,0.18221144,1,-4.629462
0.06833333333333333,0.0065766894,0.20094483,0.07215981,60.0,0.041666666666666664,300.0,0.05022003,0.8371245,0.16640128,2,-6.4126782
0.06,0.008727921,0.20119305,0.07402793,80.0,0.06666666666666667,400.0,0.051261548,0.83764404,0.17724045,3,-8.0838175
0.06666666666666667,0.013299801,0.20131655,0.07439287,100.0,0.075,500.0,0.051528305,0.8383887,0.17963673,4,-9.939906
0.06999999999999999,0.013562456,0.20135133,0.0742301,120.0,0.08333333333333333,600.0,0.05087967,0.83846855,0.16263218,5,-11.23055
0.08166666666666667,0.024318462,0.20133953,0.07453049,140.0,0.11666666666666668,700.0,0.05148222,0.8384792,0.1634981,6,-12.332188
0.10166666666666668,0.02555461,0.20153111,0.074701704,160.0,0.11666666666666665,800.0,0.05175663,0.8387985,0.1709408,7,-13.095062
0.07666666666666667,0.026240243,0.20154415,0.074924394,180.0,0.09166666666666667,900.0,0.053043526,0.83876777,0.16746372,8,-14.793355
0.11333333333333334,0.04839604,0.20151363,0.07497356,200.0,0.13333333333333333,1000.0,0.053696085,0.83852726,0.18192132,9,-15.301074
0.1616666666666667,0.07206755,0.20143501,0.0750222,220.0,0.16666666666666666,1100.0,0.055705678,0.83820766,0.16357325,10,-15.365315
0.20166666666666666,0.043460656,0.20146985,0.07514326,240.0,0.325,1200.0,0.057180185,0.83849686,0.13740015,11,-13.212508
0.2866666666666667,0.28519374,0.20164107,0.07607419,260.0,0.5166666666666667,1300.0,0.060757954,0.8390119,0.12222282,12,-9.644365
0.5016666666666666,0.15036666,0.20174497,0.075681284,280.0,0.5916666666666667,1400.0,0.06339786,0.8393218,0.1026268,13,-5.7884617
0.5983333333333333,0.20643872,0.20173843,0.075870655,300.0,0.6833333333333332,1500.0,0.067618504,0.83945996,0.08491693,14,-4.10404
0.6966666666666667,0.22135799,0.20185639,0.07559711,320.0,0.7333333333333334,1600.0,0.071155354,0.8394654,0.08408338,15,-3.5989492
0.745,0.14445117,0.20194228,0.07606527,340.0,0.9,1700.0,0.07501639,0.8393579,0.06508654,16,-2.5052674
0.7600000000000001,0.09137356,0.20203136,0.07616637,360.0,0.9083333333333333,1800.0,0.07814383,0.8395242,0.070076816,17,-2.195839
0.8433333333333333,0.14418213,0.20207517,0.07611167,380.0,0.9166666666666666,1900.0,0.080296405,0.8395357,0.064524494,18,-1.909824
0.875,0.18342723,0.20209767,0.075855635,400.0,0.9583333333333334,2000.0,0.08165179,0.8395195,0.060379177,19,-1.525074
0.8833333333333333,0.09080853,0.20218916,0.075960785,420.0,0.9416666666666668,2100.0,0.083947174,0.8394498,0.06539841,20,-1.9428043
0.895,0.105235875,0.20229413,0.07556289,440.0,0.9666666666666667,2200.0,0.08534948,0.8395036,0.06178473,21,-1.6873775
0.9183333333333333,0.16154341,0.20233558,0.07527504,460.0,0.9833333333333334,2300.0,0.08738881,0.83940697,0.06213258,22,-1.6903614
0.9316666666666666,0.0833069,0.20241363,0.07487053,480.0,0.9499999999999998,2400.0,0.08898903,0.839449,0.06170988,23,-1.7151976
0.9183333333333333,0.07793423,0.20242977,0.07484106,500.0,0.9666666666666667,2500.0,0.090399325,0.83948755,0.059864763,24,-1.4841642
0.9416666666666668,0.11348877,0.20239647,0.07447016,520.0,0.9916666666666667,2600.0,0.091681205,0.83943015,0.055819053,25,-1.2006806
0.93,0.12128853,0.20247798,0.074139275,540.0,0.9916666666666667,2700.0,0.09269569,0.8393824,0.056343462,26,-1.2045062
0.93,0.08335135,0.20249201,0.07406887,560.0,1.0,2800.0,0.093836345,0.83941174,0.049994577,27,-0.97098285
0.94,0.088172466,0.20244212,0.07387197,580.0,1.0,2900.0,0.09486178,0.8393507,0.05686034,28,-1.1723206
0.9499999999999998,0.10140405,0.20251374,0.07373112,600.0,0.975,3000.0,0.095787495,0.8392661,0.056499243,29,-1.2890731
