stats_o/std,train/episode,test/mean_Q,epoch,test/episode,stats_o/mean,stats_g/mean,stats_g/std,test/success_rate,train/critic_loss,test/ag_g_dist,train/success_rate
0.7500205,1600.0,-25.72022,15,320.0,0.19807224,0.35132203,0.17316608,0.03333333333333333,0.13574916,0.9364814,0.0016666666666666668
0.7554886,1700.0,-23.574059,16,340.0,0.19811662,0.35192594,0.17503966,0.025000000000000005,0.13940573,0.86192757,0.006666666666666667
0.7605813,1800.0,-26.376902,17,360.0,0.19820493,0.35251632,0.17618294,0.016666666666666666,0.17118247,0.8895189,0.008333333333333333
0.7657194,1900.0,-26.210556,18,380.0,0.19870882,0.35324112,0.17734389,0.09166666666666667,0.201104,0.85972714,0.006666666666666667
0.77026105,2000.0,-26.793993,19,400.0,0.19890301,0.3536198,0.17839791,0.041666666666666664,0.19114554,0.8312085,0.008333333333333333
0.7749775,2100.0,-27.691278,20,420.0,0.19916184,0.35397258,0.17960645,0.03333333333333333,0.18436325,0.91174716,0.01
0.77955323,2200.0,-29.05055,21,440.0,0.1992604,0.35437736,0.18077315,0.041666666666666664,0.34270558,0.8923176,0.006666666666666667
0.7839202,2300.0,-28.152634,22,460.0,0.19950919,0.3548418,0.1815881,0.06666666666666667,0.19393848,0.81005245,0.0033333333333333335
0.78847384,2400.0,-24.697554,23,480.0,0.1998713,0.35550907,0.18237342,0.10833333333333334,0.23666792,0.70229274,0.011666666666666667
0.7924538,2500.0,-27.413795,24,500.0,0.2000622,0.35609564,0.18315889,0.05833333333333334,0.28778443,0.7695382,0.0033333333333333335
0.79635954,2600.0,-23.8743,25,520.0,0.2002845,0.35665917,0.18421201,0.21666666666666665,0.2976169,0.6865838,0.005
0.80075663,2700.0,-28.274252,26,540.0,0.20071107,0.35718074,0.18512331,0.10833333333333334,0.24352567,0.7413599,0.011666666666666667
0.8048635,2800.0,-30.542387,27,560.0,0.20091207,0.35769954,0.1860667,0.10833333333333334,0.2712472,0.7847437,0.008333333333333333
0.80927294,2900.0,-27.876795,28,580.0,0.20124118,0.3583537,0.18711348,0.19999999999999998,0.3349773,0.66848344,0.005
0.8131133,3000.0,-29.15684,29,600.0,0.20151027,0.35904893,0.18785487,0.15833333333333335,0.36098108,0.69308186,0.011666666666666667
0.8167818,3100.0,-28.036795,30,620.0,0.20157383,0.35942712,0.18845873,0.15,0.2878631,0.6682391,0.0033333333333333335
0.82025415,3200.0,-26.01522,31,640.0,0.2016923,0.35983,0.1889513,0.21666666666666665,0.38783887,0.75951225,0.006666666666666667
0.8229838,3300.0,-29.491625,32,660.0,0.20186608,0.36019373,0.18934943,0.041666666666666664,0.34650612,0.8098423,0.005
0.82537836,3400.0,-31.957735,33,680.0,0.20188944,0.36046585,0.18982558,0.11666666666666665,0.27430746,0.7017996,0.006666666666666667
0.8276631,3500.0,-32.322872,34,700.0,0.20180516,0.3607343,0.19020288,0.13333333333333333,0.34919348,0.7952016,0.008333333333333333
0.83005095,3600.0,-29.190317,35,720.0,0.20188005,0.3610691,0.19059388,0.19166666666666665,0.38744387,0.7135012,0.006666666666666667
0.8321826,3700.0,-29.613426,36,740.0,0.20208973,0.36157772,0.19095172,0.1416666666666667,0.6384603,0.7162609,0.005
0.8343616,3800.0,-30.338087,37,760.0,0.20216455,0.36199823,0.19141294,0.10833333333333334,0.6042296,0.6828148,0.013333333333333334
0.83624,3900.0,-30.149958,38,780.0,0.20226823,0.36222687,0.19202836,0.1416666666666667,0.39606,0.7526501,0.005
0.83828515,4000.0,-33.2431,39,800.0,0.20216618,0.3624607,0.19252765,0.09999999999999999,0.29324093,0.7522952,0.015
0.8402452,4100.0,-31.774277,40,820.0,0.2020802,0.36281466,0.19296671,0.08333333333333333,0.38417363,0.7375779,0.006666666666666667
0.84204763,4200.0,-32.95914,41,840.0,0.2020682,0.36311784,0.19337516,0.09166666666666667,1.1990366,0.76121306,0.006666666666666667
0.84389806,4300.0,-28.686705,42,860.0,0.20209204,0.36332121,0.19369318,0.10000000000000002,0.30712628,0.6669299,0.0033333333333333335
0.84577036,4400.0,-28.587606,43,880.0,0.20201224,0.36352727,0.19391088,0.10000000000000002,0.40979528,0.67028445,0.018333333333333337
0.8475268,4500.0,-33.084877,44,900.0,0.20199846,0.36372837,0.19404985,0.1416666666666667,0.54275477,0.7311103,0.006666666666666667
0.84907913,4600.0,-28.672846,45,920.0,0.20205158,0.3639907,0.19419633,0.09999999999999999,0.8179893,0.6749075,0.011666666666666665
0.8506047,4700.0,-35.72232,46,940.0,0.2020665,0.36434057,0.19438978,0.11666666666666668,0.3764126,0.7839516,0.006666666666666667
0.85230285,4800.0,-32.76286,47,960.0,0.20220871,0.3646992,0.19465785,0.1416666666666667,0.50145763,0.70451635,0.006666666666666667
0.8540476,4900.0,-33.155193,48,980.0,0.202327,0.3649455,0.1947736,0.15,0.74319386,0.6919635,0.01
0.85562474,5000.0,-33.343475,49,1000.0,0.20239367,0.3652006,0.19509076,0.08333333333333333,0.34833398,0.746537,0.011666666666666667
