stats_g/mean,epoch,train/success_rate,stats_o/mean,test/episode,train/episode,test/ag_g_dist,test/success_rate,stats_o/std,train/critic_loss,stats_g/std,test/mean_Q
0.8457474,43,0.3,0.20249258,880.0,4400.0,0.07015184,0.7416666666666667,0.10755357,0.31048265,0.077207364,-9.086849
0.8457133,44,0.4116666666666666,0.20250005,900.0,4500.0,0.05630471,0.9083333333333332,0.10779936,0.2185642,0.07702088,-7.6155295
0.8456281,45,0.42,0.20251302,920.0,4600.0,0.058539536,0.9499999999999998,0.10803151,0.2511058,0.0769189,-8.346404
0.8455326,46,0.445,0.20243627,940.0,4700.0,0.046850722,0.9916666666666667,0.10823379,0.304402,0.0768171,-8.049161
0.8455095,47,0.4283333333333333,0.20236236,960.0,4800.0,0.060125094,0.9249999999999999,0.10852203,0.28105822,0.07665348,-8.6755705
0.845458,48,0.4683333333333333,0.20234853,980.0,4900.0,0.052937925,0.9499999999999998,0.10866958,0.26043665,0.076548256,-8.078877
0.84544533,49,0.46166666666666667,0.20229739,1000.0,5000.0,0.04472254,0.9583333333333334,0.10899914,0.2386123,0.07644827,-7.6320615
0.8453901,50,0.4916666666666667,0.20228869,1020.0,5100.0,0.04549356,0.9833333333333334,0.10917882,0.38585666,0.076317675,-7.555712
0.84536105,51,0.5033333333333333,0.20223285,1040.0,5200.0,0.0502442,0.9666666666666667,0.10935914,0.22623928,0.07621875,-7.180574
0.8453087,52,0.5366666666666666,0.20221394,1060.0,5300.0,0.037987422,0.9833333333333334,0.10951489,0.2833731,0.07607496,-6.6875815
0.8452368,53,0.545,0.20219338,1080.0,5400.0,0.045181334,0.9666666666666667,0.10972885,0.3080273,0.0759896,-7.255171
0.8451894,54,0.54,0.20216066,1100.0,5500.0,0.03881939,0.9916666666666667,0.10989424,0.28937873,0.07582724,-6.7561393
0.8451462,55,0.605,0.20213361,1120.0,5600.0,0.043051947,0.975,0.11006608,0.22501956,0.07577678,-7.3032455
0.84510344,56,0.5966666666666667,0.20210697,1140.0,5700.0,0.042215656,0.9916666666666667,0.11014853,0.329298,0.075636886,-7.153567
0.84509873,57,0.5449999999999999,0.20205383,1160.0,5800.0,0.048526943,0.9583333333333334,0.11017224,0.28173402,0.07547475,-7.447073
0.84503245,58,0.5266666666666667,0.20203216,1180.0,5900.0,0.045678347,0.9166666666666666,0.1102933,0.36351,0.075352125,-6.4693274
0.8450127,59,0.49666666666666665,0.20201309,1200.0,6000.0,0.045681763,0.8416666666666667,0.11045984,0.2980586,0.07524154,-6.8459983
