test/success_rate,train/episode,stats_o/std,test/episode,test/ag_g_dist,test/reward_compute_count,stats_g/std,test/mean_Q,train/success_rate,stats_o/mean,train/critic_loss,stats_g/mean,train/reward_compute_count,epoch
0.0,100.0,0.6817028,20.0,0.09617088,1000.0,0.01837467,-2.255153,0.0,0.32514745,0.007755539,0.6730202,5000.0,0
0.025000000000000005,200.0,0.73827726,40.0,0.027116118,2000.0,0.018232489,-1.8507663,0.0,0.3214991,0.016397657,0.67388386,10000.0,1
0.13333333333333333,300.0,0.7808149,60.0,0.02661694,3000.0,0.018179825,-1.5952624,0.005,0.3157459,0.007974755,0.67349625,15000.0,2
0.25833333333333336,400.0,0.79839754,80.0,0.04190959,4000.0,0.018089443,-2.092181,0.01,0.31344634,0.0065766782,0.67375773,20000.0,3
0.43333333333333335,500.0,0.8044087,100.0,0.045040023,5000.0,0.018124823,-2.6546247,0.015000000000000001,0.31294978,0.006421258,0.674197,25000.0,4
0.6,600.0,0.8069088,120.0,0.03923509,6000.0,0.0181063,-2.7581518,0.021666666666666667,0.31321248,0.008442526,0.67458504,30000.0,5
0.6833333333333332,700.0,0.80863595,140.0,0.040093068,7000.0,0.01813761,-2.8937562,0.011666666666666665,0.31349546,0.0076329415,0.6748236,35000.0,6
0.525,800.0,0.8086858,160.0,0.04722342,8000.0,0.01817014,-4.5744267,0.021666666666666667,0.31370357,0.0077768564,0.6750319,40000.0,7
0.7416666666666666,900.0,0.80914277,180.0,0.039183367,9000.0,0.018129354,-4.010164,0.018333333333333333,0.31366482,0.008470055,0.67513204,45000.0,8
0.7666666666666666,1000.0,0.8092103,200.0,0.037934523,10000.0,0.018093491,-4.322786,0.015,0.31376207,0.006104152,0.6751959,50000.0,9
0.7333333333333333,1100.0,0.8091169,220.0,0.035452828,11000.0,0.018095639,-4.9031596,0.008333333333333333,0.31370464,0.007268887,0.6753013,55000.0,10
0.8000000000000002,1200.0,0.8094937,240.0,0.031012366,12000.0,0.018056221,-5.0160327,0.02666666666666667,0.3132526,0.0065122745,0.67529255,60000.0,11
0.7166666666666667,1300.0,0.8092258,260.0,0.0387904,13000.0,0.018003136,-6.7173557,0.015,0.31270865,0.0064802766,0.6752689,65000.0,12
0.7916666666666666,1400.0,0.8092106,280.0,0.031857815,14000.0,0.01796903,-5.241343,0.018333333333333333,0.31230506,0.0060849874,0.6753023,70000.0,13
0.7166666666666668,1500.0,0.80935264,300.0,0.035255644,15000.0,0.017964331,-7.091371,0.011666666666666667,0.3119891,0.007462218,0.67534095,75000.0,14
0.7583333333333333,1600.0,0.808922,320.0,0.036192413,16000.0,0.017936118,-6.9183908,0.01,0.3115463,0.008307877,0.6753457,80000.0,15
0.7083333333333334,1700.0,0.80826813,340.0,0.0351934,17000.0,0.017886404,-7.266762,0.016666666666666666,0.31115377,0.0062437016,0.6753308,85000.0,16
0.7166666666666667,1800.0,0.8076326,360.0,0.040787496,18000.0,0.017840005,-8.777778,0.021666666666666667,0.3108188,0.005905848,0.6753183,90000.0,17
0.7083333333333334,1900.0,0.80736667,380.0,0.043222845,19000.0,0.017791187,-8.597089,0.013333333333333334,0.31063548,0.006680345,0.67532176,95000.0,18
0.6916666666666668,2000.0,0.8068139,400.0,0.038385477,20000.0,0.017764919,-8.646049,0.006666666666666667,0.3105013,0.0077157035,0.6753469,100000.0,19
0.6833333333333332,2100.0,0.80634147,420.0,0.045995265,21000.0,0.017749302,-10.461281,0.015,0.31044096,0.00685006,0.67536384,105000.0,20
0.7416666666666667,2200.0,0.80629367,440.0,0.037757855,22000.0,0.017743306,-9.259937,0.011666666666666667,0.31021905,0.0059573334,0.67535394,110000.0,21
