stats_g/std,test/episode,train/success_rate,train/critic_loss,test/ag_g_dist,test/success_rate,stats_o/std,epoch,stats_o/mean,train/episode,test/mean_Q,stats_g/mean
0.070885375,20.0,0.05333333333333334,0.002350568,0.17540307,0.10000000000000002,0.049608145,0,0.20110218,100.0,-1.963466,0.8373969
0.070627734,40.0,0.08,0.0011452098,0.18178363,0.016666666666666666,0.047970314,1,0.20078297,200.0,-4.1355186,0.8373328
0.07045097,60.0,0.065,0.0016104338,0.16713594,0.041666666666666664,0.047906835,2,0.20089447,300.0,-5.9878635,0.83735156
0.071514,80.0,0.06666666666666667,0.0021939445,0.17600171,0.06666666666666667,0.050105724,3,0.2010687,400.0,-7.6773324,0.8379788
0.073924884,100.0,0.07166666666666667,0.0030732981,0.17830603,0.06666666666666667,0.052443698,4,0.20112576,500.0,-9.636987,0.8387549
0.074217305,120.0,0.06833333333333334,0.005224643,0.16537511,0.09999999999999999,0.052549914,5,0.20117456,600.0,-10.963811,0.83884954
0.074729435,140.0,0.07666666666666666,0.0050186203,0.1673886,0.10000000000000002,0.053387556,6,0.20122989,700.0,-12.020989,0.8387873
0.075149,160.0,0.105,0.025584891,0.1668761,0.15833333333333335,0.05412781,7,0.20126183,800.0,-12.495681,0.8391269
0.07479887,180.0,0.11333333333333333,0.016944531,0.16156398,0.20833333333333334,0.054216634,8,0.20127533,900.0,-13.5004,0.8393056
0.075963505,200.0,0.14333333333333334,0.020227017,0.1805559,0.15,0.055691928,9,0.20122063,1000.0,-14.834689,0.8391581
0.075843535,220.0,0.2516666666666667,0.016784197,0.16132121,0.2833333333333334,0.0576878,10,0.20121294,1100.0,-13.516492,0.8390401
0.07603425,240.0,0.2783333333333333,0.020359501,0.12411188,0.4166666666666667,0.061106514,11,0.2013336,1200.0,-10.07803,0.83924514
0.076452754,260.0,0.415,0.04248236,0.10519918,0.6,0.06560997,12,0.20137562,1300.0,-6.990788,0.83960694
0.07614138,280.0,0.5566666666666666,0.05908278,0.101576485,0.6749999999999999,0.06917317,13,0.20148231,1400.0,-5.8668303,0.8398769
0.07649367,300.0,0.6566666666666666,0.07251004,0.09050077,0.7083333333333334,0.07321648,14,0.20151216,1500.0,-4.8700194,0.8400457
0.07687994,320.0,0.6683333333333333,0.058547307,0.0883678,0.6749999999999999,0.07795028,15,0.20158298,1600.0,-4.1044183,0.84006065
0.07763715,340.0,0.7266666666666667,0.049659032,0.06708149,0.875,0.08198102,16,0.20161514,1700.0,-2.2422237,0.8399895
0.07744765,360.0,0.805,0.028569965,0.06313996,0.9499999999999998,0.08469504,17,0.2018469,1800.0,-1.770326,0.84009725
0.07736004,380.0,0.8633333333333333,0.03412414,0.061585024,0.9916666666666667,0.08681945,18,0.20190151,1900.0,-1.4274349,0.8400176
0.07737302,400.0,0.8916666666666666,0.023650706,0.058599483,0.975,0.08866253,19,0.20199578,2000.0,-1.4432272,0.8399138
0.07711389,420.0,0.9049999999999999,0.031433184,0.05796404,0.9916666666666667,0.090769924,20,0.20190091,2100.0,-1.3079114,0.839797
0.07665021,440.0,0.935,0.054251384,0.056719232,0.9916666666666667,0.09222255,21,0.2019798,2200.0,-1.2855885,0.83979803
0.07636393,460.0,0.9166666666666666,0.039344516,0.06023261,0.975,0.093987964,22,0.20205165,2300.0,-1.5054404,0.8396445
0.0760596,480.0,0.9400000000000001,0.034260772,0.06155118,0.9833333333333334,0.095371716,23,0.20215143,2400.0,-1.4026226,0.83967227
0.07586962,500.0,0.9333333333333332,0.029883295,0.055498887,0.9916666666666667,0.09678323,24,0.20224969,2500.0,-1.1242034,0.83969086
0.0755431,520.0,0.9333333333333332,0.024773011,0.05648009,0.9833333333333334,0.0979037,25,0.20224829,2600.0,-1.1820961,0.8396552
0.07540285,540.0,0.9183333333333333,0.022948591,0.054634783,0.9916666666666667,0.09868789,26,0.20224541,2700.0,-1.107585,0.83957213
0.0752062,560.0,0.9333333333333332,0.020069087,0.05284357,0.9833333333333334,0.099547885,27,0.20220132,2800.0,-1.0994717,0.8395784
0.075075805,580.0,0.9366666666666666,0.02293773,0.059435684,0.9833333333333334,0.10016749,28,0.202181,2900.0,-1.447349,0.83951277
0.07513402,600.0,0.945,0.0312793,0.055194076,0.9916666666666667,0.10097614,29,0.20221876,3000.0,-1.1101207,0.8394236
0.07480095,620.0,0.9349999999999999,0.030403465,0.051526632,1.0,0.10143596,30,0.20226629,3100.0,-0.9225958,0.8394366
0.07459175,640.0,0.9400000000000001,0.067816764,0.054930985,0.9833333333333334,0.10217146,31,0.20222475,3200.0,-1.0935837,0.8393412
0.0744096,660.0,0.9516666666666667,0.029046064,0.05611969,0.975,0.10260118,32,0.20221893,3300.0,-1.0528867,0.83934206
0.07416164,680.0,0.9500000000000001,0.03896192,0.049971104,0.9916666666666667,0.102970965,33,0.2021755,3400.0,-0.9505648,0.8393354
0.07394766,700.0,0.9533333333333333,0.04025385,0.049183954,1.0,0.10346838,34,0.20222771,3500.0,-0.84027267,0.83933896
0.07381029,720.0,0.9566666666666666,0.019266326,0.0545665,0.9916666666666667,0.10380293,35,0.20227434,3600.0,-1.1670343,0.83936375
0.07368584,740.0,0.945,0.024020994,0.05293591,0.9916666666666667,0.10422642,36,0.20231593,3700.0,-1.0425884,0.83940834
0.07361284,760.0,0.9533333333333335,0.034206267,0.054553345,1.0,0.10470841,37,0.20227867,3800.0,-1.0280267,0.8393362
0.07340844,780.0,0.9483333333333333,0.036136657,0.053369757,0.9916666666666667,0.10528878,38,0.20227553,3900.0,-0.9746267,0.8393497
0.07331794,800.0,0.9550000000000001,0.023751035,0.052002143,0.9833333333333334,0.105639495,39,0.20232706,4000.0,-0.9801366,0.83936197
0.07337697,820.0,0.9199999999999999,0.037284672,0.05477539,0.9833333333333334,0.10611109,40,0.20233428,4100.0,-1.2564687,0.8392908
0.07334612,840.0,0.9366666666666666,0.027324172,0.05475515,0.9916666666666667,0.106417954,41,0.20229594,4200.0,-1.0196354,0.83933014
0.07329672,860.0,0.945,0.030045738,0.052810382,0.9916666666666667,0.10675622,42,0.20235483,4300.0,-0.9601741,0.839309
0.07316888,880.0,0.9366666666666666,0.033394802,0.055357024,1.0,0.10694486,43,0.20239735,4400.0,-0.97777826,0.8393355
0.07311576,900.0,0.93,0.034232605,0.05230088,1.0,0.10707977,44,0.20239294,4500.0,-0.93907005,0.83933955
0.07307657,920.0,0.93,0.013728835,0.056745052,1.0,0.10729998,45,0.20241,4600.0,-1.0800916,0.839317
0.07303034,940.0,0.9433333333333334,0.02728411,0.054571282,1.0,0.10757074,46,0.20241375,4700.0,-0.97819394,0.83925885
0.07300411,960.0,0.9316666666666666,0.025440907,0.056010738,1.0,0.10794734,47,0.20247972,4800.0,-0.98330975,0.83928686
0.07291098,980.0,0.9583333333333334,0.021204412,0.053363416,0.9833333333333334,0.10814819,48,0.20251583,4900.0,-0.934613,0.83931184
0.07282094,1000.0,0.9433333333333334,0.02501204,0.051417466,1.0,0.108385555,49,0.20251827,5000.0,-0.879018,0.83935714
