train/episode,stats_o/std,epoch,test/episode,train/success_rate,stats_g/mean,stats_g/std,test/success_rate,test/mean_Q,stats_o/mean,train/critic_loss
100.0,0.040010843,0,20.0,0.05333333333333332,0.8388899,0.06201211,0.10000000000000002,-2.2506917,0.2010355,0.033077966
200.0,0.03999376,1,40.0,0.07333333333333333,0.8390105,0.061551046,0.016666666666666666,-4.426618,0.20088226,0.04215823
300.0,0.041375004,2,60.0,0.06333333333333334,0.8391831,0.06113909,0.041666666666666664,-6.1027055,0.2008047,0.06410718
400.0,0.04281197,3,80.0,0.06666666666666667,0.83921915,0.061099347,0.06666666666666667,-7.8486495,0.20115872,0.093485884
500.0,0.043790217,4,100.0,0.07333333333333333,0.8396826,0.06122978,0.049999999999999996,-9.615907,0.20129363,0.13795406
600.0,0.04322645,5,120.0,0.06,0.8394308,0.061157197,0.075,-10.978813,0.20131765,0.28014734
700.0,0.04367219,6,140.0,0.04833333333333334,0.83916426,0.06091324,0.09166666666666667,-11.978752,0.2013653,0.3121705
800.0,0.0435634,7,160.0,0.07166666666666667,0.83912665,0.060996667,0.09166666666666667,-13.418597,0.20144098,0.46034166
900.0,0.043778468,8,180.0,0.06,0.83925086,0.06107181,0.075,-15.095307,0.20147257,0.44935074
1000.0,0.04427733,9,200.0,0.07666666666666666,0.8392935,0.061068043,0.08333333333333333,-16.704351,0.20144737,0.6711648
1100.0,0.04506937,10,220.0,0.08666666666666667,0.8389778,0.060982037,0.08333333333333333,-16.944872,0.20142291,0.9071193
1200.0,0.045654744,11,240.0,0.07,0.8389077,0.060956355,0.10000000000000002,-17.927,0.20146959,0.5983577
1300.0,0.04572944,12,260.0,0.06333333333333334,0.83884126,0.06093822,0.075,-18.830616,0.20150633,0.8774918
1400.0,0.045876395,13,280.0,0.07666666666666667,0.8386631,0.060935903,0.03333333333333333,-21.07126,0.20151718,0.957153
1500.0,0.045940984,14,300.0,0.06666666666666667,0.8385408,0.060935605,0.041666666666666664,-21.85373,0.20150892,0.79638416
1600.0,0.046212774,15,320.0,0.07333333333333335,0.83858484,0.06085745,0.09166666666666667,-21.776154,0.20146327,1.2140242
1700.0,0.046440046,16,340.0,0.04666666666666667,0.8386302,0.06089826,0.05833333333333333,-22.17241,0.20146398,0.77236325
1800.0,0.046630416,17,360.0,0.08833333333333333,0.83881027,0.060941186,0.05833333333333333,-23.826185,0.20148224,1.5891124
1900.0,0.04713036,18,380.0,0.08333333333333333,0.8388295,0.060979728,0.05833333333333334,-23.886414,0.20149116,1.1353766
2000.0,0.047535013,19,400.0,0.07500000000000001,0.8387902,0.06101134,0.08333333333333333,-22.887503,0.2014731,1.7227362
2100.0,0.047862973,20,420.0,0.06,0.8387435,0.061012056,0.06666666666666667,-22.658195,0.20147713,1.5147661
2200.0,0.04825993,21,440.0,0.05666666666666667,0.83879095,0.06105673,0.08333333333333333,-22.356216,0.20145686,1.4917887
2300.0,0.048607636,22,460.0,0.06333333333333334,0.83868414,0.06101723,0.05833333333333334,-24.747736,0.2013909,1.9895967
2400.0,0.04932131,23,480.0,0.06166666666666667,0.8387187,0.060978685,0.06666666666666667,-24.98732,0.2013479,1.764053
2500.0,0.0494865,24,500.0,0.06333333333333334,0.83875275,0.060978327,0.09999999999999999,-23.895905,0.20138283,1.8033396
2600.0,0.049781848,25,520.0,0.05833333333333333,0.8387305,0.060986713,0.05000000000000001,-23.947859,0.20139854,1.9708109
2700.0,0.049896877,26,540.0,0.08833333333333333,0.83866245,0.061009318,0.075,-24.348917,0.2013809,1.8115178
2800.0,0.050023373,27,560.0,0.06833333333333333,0.83873636,0.06098129,0.11666666666666665,-23.15272,0.20135753,1.5887274
2900.0,0.0501218,28,580.0,0.05333333333333334,0.83869046,0.06097986,0.041666666666666664,-27.351357,0.20135945,1.2318603
3000.0,0.05016927,29,600.0,0.07333333333333332,0.83861727,0.061005678,0.05000000000000001,-27.710312,0.20133795,1.1697817
3100.0,0.050120298,30,620.0,0.08166666666666667,0.83863115,0.06099895,0.05000000000000001,-26.331444,0.20132977,1.6330978
3200.0,0.050030798,31,640.0,0.06666666666666667,0.8385404,0.0610235,0.05833333333333334,-27.735786,0.20134647,1.4719148
3300.0,0.050417986,32,660.0,0.08,0.838562,0.061006784,0.075,-26.99013,0.20135207,1.310866
3400.0,0.050419465,33,680.0,0.06333333333333334,0.83855265,0.06100264,0.049999999999999996,-28.49793,0.20137356,1.7099719
3500.0,0.05058055,34,700.0,0.06999999999999999,0.8385777,0.06099768,0.06666666666666667,-27.176218,0.20135076,1.5347519
3600.0,0.050478056,35,720.0,0.06999999999999999,0.83862066,0.06104864,0.08333333333333333,-27.233109,0.2013601,2.1268632
3700.0,0.050525684,36,740.0,0.07166666666666667,0.83868307,0.06107754,0.06666666666666667,-28.518356,0.20137046,1.5377277
3800.0,0.050418254,37,760.0,0.06166666666666667,0.838636,0.061048154,0.075,-28.960089,0.20137064,1.929396
3900.0,0.050232723,38,780.0,0.07833333333333334,0.83863646,0.061039124,0.09166666666666667,-28.697197,0.201385,1.4589752
