stats_g/std,stats_g/mean,test/ag_g_dist,stats_o/mean,stats_o/std,train/critic_loss,test/mean_Q,train/episode,epoch,test/success_rate,train/success_rate,test/episode
0.07074719,0.8371489,0.17465377,0.20107216,0.043532316,0.003557352,-2.7017481,100.0,0,0.0,0.0016666666666666668,20.0
0.070906825,0.8371169,0.18160562,0.20101865,0.04359508,0.0049479795,-4.78616,200.0,1,0.0,0.0016666666666666668,40.0
0.07018651,0.8372919,0.16865118,0.20093586,0.04270853,0.013353295,-6.7504973,300.0,2,0.0,0.0,60.0
0.07438751,0.837833,0.17937277,0.2011034,0.049807448,0.014728722,-8.753163,400.0,3,0.0,0.0016666666666666668,80.0
0.07961962,0.83844775,0.18338488,0.20164047,0.056441616,0.031765174,-10.5781975,500.0,4,0.0,0.0033333333333333335,100.0
0.08160529,0.83836013,0.1647421,0.2017111,0.058726367,0.05421272,-11.810936,600.0,5,0.016666666666666666,0.0016666666666666668,120.0
0.08157182,0.8381624,0.159641,0.20177154,0.06200278,0.09683802,-12.128415,700.0,6,0.03333333333333333,0.023333333333333334,140.0
0.08139511,0.8385448,0.14823538,0.20194834,0.06574851,0.085589714,-11.088706,800.0,7,0.125,0.05000000000000001,160.0
0.081009485,0.83862144,0.11429634,0.202132,0.07073876,0.1718405,-9.039162,900.0,8,0.2333333333333333,0.08833333333333333,180.0
0.08043036,0.83877367,0.098998316,0.20214485,0.07692489,0.14606367,-7.743463,1000.0,9,0.25833333333333336,0.12166666666666666,200.0
0.08033044,0.83874464,0.056407522,0.20202284,0.084857084,0.2065057,-4.354948,1100.0,10,0.6416666666666667,0.215,220.0
0.07997856,0.83881956,0.048150573,0.20203596,0.09103816,0.23560679,-3.5143015,1200.0,11,0.625,0.275,240.0
0.080274284,0.83889884,0.04406498,0.20172064,0.09576577,0.19488071,-2.9542294,1300.0,12,0.8333333333333334,0.30833333333333335,260.0
0.079705395,0.8387452,0.050687805,0.20165634,0.099179946,0.2570887,-2.9640253,1400.0,13,0.8333333333333334,0.37666666666666665,280.0
0.07960495,0.83870095,0.042058334,0.20152874,0.10211431,0.31602138,-2.4506142,1500.0,14,0.9249999999999999,0.4033333333333333,300.0
0.07909452,0.83878064,0.043821406,0.20127852,0.10402196,0.22476232,-2.4546778,1600.0,15,0.9499999999999998,0.42,320.0
0.07912756,0.8388534,0.039855633,0.20133115,0.10580325,0.25767902,-2.2738125,1700.0,16,0.9500000000000001,0.465,340.0
0.07875166,0.83902127,0.040710907,0.20144512,0.10720443,0.2893493,-2.24145,1800.0,17,0.9416666666666668,0.45166666666666666,360.0
0.07869316,0.83899146,0.041197512,0.20142192,0.10853371,0.25347266,-2.0692723,1900.0,18,0.9833333333333334,0.5133333333333333,380.0
0.07855197,0.83897156,0.039817024,0.20136559,0.1097388,0.27790257,-1.9835993,2000.0,19,0.9166666666666666,0.4566666666666667,400.0
0.07837885,0.8388669,0.039303392,0.20127028,0.11062642,0.26039732,-1.8723596,2100.0,20,0.975,0.49333333333333335,420.0
0.07823905,0.8388958,0.039432075,0.2012731,0.11142701,0.23699848,-1.9269047,2200.0,21,0.9833333333333334,0.4583333333333333,440.0
0.07809953,0.83874494,0.04132773,0.2012363,0.112414144,0.20255941,-2.0099456,2300.0,22,0.9583333333333334,0.4766666666666666,460.0
0.07796738,0.8387459,0.041130375,0.20117666,0.113221295,0.26014683,-1.9058933,2400.0,23,0.9666666666666667,0.465,480.0
0.07773438,0.8387661,0.03840508,0.20124657,0.11408044,0.21492815,-1.8482018,2500.0,24,0.9833333333333334,0.48,500.0
0.07774441,0.8387263,0.041893754,0.20120464,0.114815146,0.27801073,-2.0263147,2600.0,25,0.975,0.46166666666666667,520.0
0.077550225,0.83868074,0.039511256,0.20120424,0.11540055,0.23301156,-1.8651866,2700.0,26,0.9916666666666667,0.46166666666666667,540.0
0.07748613,0.83872414,0.036058966,0.20123756,0.11583778,0.20307912,-1.6234347,2800.0,27,0.975,0.47833333333333333,560.0
0.07744598,0.8386803,0.0404297,0.20124538,0.11613641,0.19672017,-1.7740631,2900.0,28,0.9583333333333334,0.47500000000000003,580.0
0.07744076,0.8386471,0.042180557,0.20126493,0.11680106,0.25542012,-1.896607,3000.0,29,0.9833333333333334,0.4916666666666667,600.0
