stats_o/mean,train/success_rate,stats_g/std,epoch,train/critic_loss,stats_g/mean,test/mean_Q,stats_o/std,test/success_rate,train/episode,test/episode
0.20055519,0.05333333333333334,0.0710546,0,0.0038862682,0.83773667,-2.3377779,0.04721354,0.10000000000000002,100.0,20.0
0.2008261,0.07666666666666667,0.07173125,1,0.0046510464,0.8374378,-4.615757,0.049219083,0.016666666666666666,200.0,40.0
0.20091087,0.06666666666666667,0.070787534,2,0.0026940973,0.8374811,-6.384453,0.048305064,0.041666666666666664,300.0,60.0
0.20098834,0.06166666666666667,0.07247988,3,0.011188635,0.8380155,-8.147772,0.049565148,0.075,400.0,80.0
0.20122631,0.07333333333333335,0.07366108,4,0.009171271,0.83880997,-9.961471,0.050531697,0.075,500.0,100.0
0.20130132,0.06333333333333334,0.074161105,5,0.016866848,0.83883476,-11.500081,0.051217075,0.08333333333333333,600.0,120.0
0.20136301,0.07833333333333332,0.075464375,6,0.025634395,0.838772,-12.711751,0.05217883,0.10833333333333334,700.0,140.0
0.20149659,0.09166666666666667,0.07552654,7,0.031677354,0.83913106,-13.397395,0.053000078,0.11666666666666665,800.0,160.0
0.20144635,0.09333333333333334,0.075588666,8,0.045103643,0.83910275,-14.783379,0.053616658,0.1416666666666667,900.0,180.0
0.20140187,0.125,0.07565551,9,0.061625063,0.83893317,-15.839437,0.05445685,0.13333333333333333,1000.0,200.0
0.20147975,0.19499999999999998,0.076662816,10,0.08859619,0.8385806,-15.317027,0.056496996,0.16666666666666666,1100.0,220.0
0.20137131,0.22333333333333336,0.07657354,11,0.0832994,0.838589,-11.31059,0.05956531,0.39166666666666666,1200.0,240.0
0.20131284,0.36000000000000004,0.0764148,12,0.07752391,0.83878344,-8.576678,0.06287317,0.5416666666666666,1300.0,260.0
0.20142274,0.5283333333333333,0.07593864,13,0.1665598,0.8387427,-7.297371,0.06674795,0.6666666666666666,1400.0,280.0
0.20129229,0.6516666666666667,0.076081365,14,0.119236596,0.8385699,-3.8476093,0.07074265,0.8333333333333334,1500.0,300.0
0.20131862,0.7016666666666667,0.07628343,15,0.12864265,0.8385622,-2.5381038,0.07385817,0.9333333333333332,1600.0,320.0
0.2013167,0.7733333333333334,0.07626093,16,0.11974242,0.8385505,-2.0268705,0.07649051,0.9249999999999999,1700.0,340.0
0.20116584,0.7966666666666665,0.076071106,17,0.1177636,0.83862305,-1.7164254,0.078942075,0.975,1800.0,360.0
0.20125723,0.855,0.07591494,18,0.085094966,0.8386696,-1.7630825,0.081088476,0.9500000000000001,1900.0,380.0
0.20144592,0.8633333333333333,0.07570514,19,0.08719462,0.8386722,-1.6607624,0.0831458,0.975,2000.0,400.0
0.20160104,0.8983333333333333,0.07529672,20,0.14065172,0.8386696,-1.546806,0.0849658,0.9499999999999998,2100.0,420.0
0.20171505,0.9133333333333334,0.07520215,21,0.114644445,0.8387298,-1.8857832,0.0868111,0.9333333333333332,2200.0,440.0
0.20183952,0.9383333333333334,0.07484581,22,0.08626127,0.83866054,-1.4295942,0.08811283,0.9916666666666667,2300.0,460.0
0.20195948,0.9216666666666667,0.074506156,23,0.099431336,0.83873415,-1.2412728,0.08967131,1.0,2400.0,480.0
0.2020191,0.9233333333333333,0.07436919,24,0.0755044,0.838809,-1.1641728,0.090937644,1.0,2500.0,500.0
0.2020808,0.9366666666666666,0.07414674,25,0.06078587,0.83880013,-1.2478285,0.09209012,0.9916666666666667,2600.0,520.0
0.2021144,0.9266666666666667,0.0739036,26,0.13937996,0.83875567,-1.1079516,0.09298941,0.9833333333333334,2700.0,540.0
0.20214947,0.9433333333333334,0.07367266,27,0.06281826,0.83879924,-1.0396924,0.09372602,0.9916666666666667,2800.0,560.0
0.20217897,0.9333333333333332,0.07347077,28,0.06818232,0.8387689,-1.1508633,0.09454953,1.0,2900.0,580.0
