stats_o/mean,train/success_rate,stats_g/std,epoch,train/critic_loss,stats_g/mean,test/mean_Q,stats_o/std,test/success_rate,train/episode,test/episode
0.20224212,0.9366666666666666,0.07347616,29,0.091443956,0.83870125,-1.1625584,0.095107295,0.9916666666666667,3000.0,600.0
0.20224293,0.9383333333333334,0.073279984,30,0.059280816,0.8387284,-1.0481753,0.095712356,1.0,3100.0,620.0
0.20224541,0.9366666666666666,0.07310378,31,0.08367622,0.8386345,-1.0801102,0.09645391,1.0,3200.0,640.0
0.20221929,0.945,0.072947465,32,0.07686391,0.8386736,-1.0365752,0.096827485,0.9916666666666667,3300.0,660.0
0.20220144,0.9533333333333335,0.07275865,33,0.11861512,0.8387029,-0.9720533,0.09724488,0.9833333333333334,3400.0,680.0
0.20225936,0.9466666666666667,0.0726259,34,0.081959635,0.83871,-0.94790983,0.097759314,0.9916666666666667,3500.0,700.0
0.20228606,0.9349999999999999,0.07267729,35,0.06449597,0.83875066,-0.941158,0.09829036,1.0,3600.0,720.0
0.20232625,0.9500000000000001,0.07250321,36,0.16704659,0.8388197,-0.9935091,0.098786734,1.0,3700.0,740.0
0.20240049,0.96,0.072323106,37,0.051891237,0.8387775,-1.1474035,0.099051274,1.0,3800.0,760.0
0.20241047,0.9666666666666667,0.07213831,38,0.06383272,0.83878994,-1.3086418,0.099383205,0.9666666666666667,3900.0,780.0
0.20246553,0.9566666666666667,0.07205335,39,0.10780131,0.83879644,-1.0543865,0.099787675,0.9916666666666667,4000.0,800.0
0.20246714,0.9533333333333333,0.072044365,40,0.04302899,0.83874017,-0.9820669,0.10010409,1.0,4100.0,820.0
0.20250733,0.9499999999999998,0.07192512,41,0.053995218,0.8387788,-1.2831649,0.10055671,0.9833333333333334,4200.0,840.0
0.20250028,0.9533333333333335,0.07183357,42,0.06917252,0.8387828,-0.98284394,0.10089595,1.0,4300.0,860.0
0.20253521,0.9566666666666667,0.0717528,43,0.069959246,0.83881146,-1.0497404,0.10112222,1.0,4400.0,880.0
0.20253475,0.9366666666666666,0.071703546,44,0.05537011,0.83882576,-1.0107728,0.101478405,1.0,4500.0,900.0
0.20256531,0.9550000000000001,0.07169622,45,0.08697304,0.83879644,-1.0812436,0.10173433,1.0,4600.0,920.0
0.20256071,0.955,0.07160237,46,0.07957659,0.83874804,-1.0211493,0.101895295,0.9916666666666667,4700.0,940.0
0.20254163,0.9516666666666667,0.07151544,47,0.09307045,0.8388018,-1.203954,0.10217181,0.9916666666666667,4800.0,960.0
0.20258705,0.96,0.07142686,48,0.06407852,0.8388236,-1.0455755,0.1023733,0.9833333333333334,4900.0,980.0
0.20259307,0.96,0.07138071,49,0.051333576,0.8388808,-0.9610433,0.102659464,0.9916666666666667,5000.0,1000.0
