train/success_rate,test/success_rate,stats_g/mean,test/episode,stats_g/std,stats_o/mean,train/episode,train/critic_loss,test/ag_g_dist,test/mean_Q,epoch,stats_o/std
0.0,0.008333333333333333,0.34556267,20.0,0.15378964,0.19455273,100.0,0.04036995,0.90632707,-2.4662735,0,0.7099944
0.0016666666666666668,0.0,0.34471443,40.0,0.15643342,0.19835173,200.0,0.03128095,0.92606336,-4.5866137,1,0.7075464
0.0016666666666666668,0.008333333333333333,0.345463,60.0,0.15696466,0.19961493,300.0,0.028710432,0.9268923,-6.6962304,2,0.70593375
0.0,0.0,0.34497473,80.0,0.15660235,0.19968219,400.0,0.029019557,0.9075106,-8.836345,3,0.7057431
0.0033333333333333335,0.016666666666666666,0.3442928,100.0,0.15712562,0.1994232,500.0,0.03658853,0.8986201,-10.602826,4,0.70575684
0.005,0.0,0.34473065,120.0,0.15685885,0.19944163,600.0,0.026648745,0.95841664,-13.007503,5,0.7068074
0.0,0.0,0.34429803,140.0,0.1571128,0.19939685,700.0,0.02995976,1.0113162,-14.813771,6,0.70788854
0.0033333333333333335,0.008333333333333333,0.34460822,160.0,0.15765275,0.19927813,800.0,0.03245665,0.95011467,-16.379286,7,0.71064395
0.0016666666666666668,0.0,0.34547886,180.0,0.15947935,0.19958979,900.0,0.029346606,1.0343293,-18.567896,8,0.71508676
0.0,0.0,0.34616914,200.0,0.16174027,0.19993691,1000.0,0.032609273,0.91978246,-19.006437,9,0.71901846
0.006666666666666667,0.03333333333333333,0.3465918,220.0,0.16407354,0.20042573,1100.0,0.030697366,0.96528196,-20.508202,10,0.7227796
0.0033333333333333335,0.008333333333333333,0.34667835,240.0,0.16580725,0.2006077,1200.0,0.03393575,0.88000065,-21.290537,11,0.72667766
0.0033333333333333335,0.016666666666666666,0.34683695,260.0,0.16714895,0.20069104,1300.0,0.034758423,0.91531736,-22.77339,12,0.7295225
0.0033333333333333335,0.016666666666666666,0.3475615,280.0,0.16845012,0.20078011,1400.0,0.033918038,0.98212767,-25.056383,13,0.7338274
0.0016666666666666668,0.025000000000000005,0.34810993,300.0,0.16934441,0.20103024,1500.0,0.047231138,0.92861485,-24.879755,14,0.7378215
0.0033333333333333335,0.025000000000000005,0.34801665,320.0,0.17036784,0.20098682,1600.0,0.05569492,0.945749,-26.307276,15,0.7413929
0.011666666666666667,0.03333333333333333,0.3486328,340.0,0.1714905,0.20118894,1700.0,0.08035637,0.79588705,-24.420822,16,0.7468467
0.005,0.041666666666666664,0.3491238,360.0,0.17227878,0.20135276,1800.0,0.0544733,0.9184726,-27.48075,17,0.7511926
0.0033333333333333335,0.0,0.34966716,380.0,0.17340846,0.20160528,1900.0,0.06319909,0.95256644,-28.82879,18,0.75539875
0.005,0.03333333333333333,0.34972516,400.0,0.17421432,0.20164199,2000.0,0.06042525,0.84519464,-28.021729,19,0.75900525
0.005,0.016666666666666666,0.35021892,420.0,0.17490445,0.20192872,2100.0,0.06057642,0.8718672,-29.140982,20,0.76308984
0.006666666666666667,0.08333333333333333,0.35071018,440.0,0.17594852,0.20200455,2200.0,0.06921467,0.895673,-30.065939,21,0.76725644
0.0016666666666666668,0.10000000000000002,0.35105708,460.0,0.17687686,0.20212857,2300.0,0.07559829,0.8417583,-30.99499,22,0.7710596
0.005,0.008333333333333333,0.3515091,480.0,0.177548,0.20203952,2400.0,0.060461953,0.80960035,-29.542437,23,0.7750132
0.0016666666666666668,0.125,0.35197303,500.0,0.17805673,0.20199342,2500.0,0.076966874,0.7422412,-27.529655,24,0.77823615
0.0033333333333333335,0.08333333333333333,0.3525876,520.0,0.17870636,0.2020195,2600.0,0.06303128,0.73356324,-28.631477,25,0.78154635
0.006666666666666667,0.06666666666666667,0.35290217,540.0,0.17925854,0.20193528,2700.0,0.07151019,0.7259042,-28.266142,26,0.7850689
0.0,0.025000000000000005,0.35334024,560.0,0.17982139,0.20211667,2800.0,0.084936894,0.84650296,-33.361156,27,0.78858876
0.0016666666666666668,0.16666666666666666,0.35394052,580.0,0.18074305,0.2022285,2900.0,0.12065745,0.7445472,-30.499918,28,0.79215366
0.006666666666666667,0.08333333333333333,0.35419592,600.0,0.18161266,0.20231442,3000.0,0.09533957,0.7331144,-29.22228,29,0.7955515
0.01,0.05833333333333334,0.35456944,620.0,0.18217313,0.20228286,3100.0,0.072229914,0.7807477,-32.597115,30,0.798954
0.006666666666666667,0.016666666666666666,0.3549308,640.0,0.18284158,0.20229484,3200.0,0.08289716,0.8268237,-32.190495,31,0.80267984
0.0033333333333333335,0.016666666666666666,0.35536608,660.0,0.18341939,0.20222773,3300.0,0.086738884,0.9034274,-33.202785,32,0.80599755
0.01,0.08333333333333333,0.35569134,680.0,0.18407027,0.20225738,3400.0,0.14948212,0.81643873,-36.38129,33,0.8091114
0.011666666666666665,0.075,0.35590723,700.0,0.18463962,0.20225519,3500.0,0.09587741,0.90005493,-36.57458,34,0.81187123
0.005,0.07500000000000001,0.3561965,720.0,0.1851307,0.20219688,3600.0,0.083543204,0.72778654,-28.918287,35,0.81453925
0.011666666666666667,0.08333333333333333,0.35652712,740.0,0.18552501,0.20202853,3700.0,0.10935358,0.7867268,-32.77316,36,0.8168476
0.01,0.11666666666666665,0.3569344,760.0,0.1858039,0.20196562,3800.0,0.1651288,0.80158454,-31.330606,37,0.8190613
0.0016666666666666668,0.06666666666666667,0.35726663,780.0,0.18621342,0.20204413,3900.0,0.0704477,0.8737528,-34.93941,38,0.8211302
