test/success_rate,stats_g/std,train/success_rate,train/critic_loss,test/episode,stats_o/mean,stats_g/mean,stats_o/std,epoch,test/ag_g_dist,train/episode,test/mean_Q
0.025000000000000005,0.17021608,0.008333333333333333,0.42979017,840.0,0.18591718,0.795142,0.0896239,41,0.19316405,4200.0,-20.680399
0.05000000000000001,0.17009099,0.011666666666666667,0.5938098,860.0,0.18611425,0.79592806,0.08982416,42,0.16691124,4300.0,-19.183668
0.016666666666666666,0.17026621,0.005,0.56660825,880.0,0.18630509,0.7965823,0.09012339,43,0.1834125,4400.0,-20.241417
0.041666666666666664,0.17018692,0.0016666666666666668,0.7012704,900.0,0.18646048,0.7973406,0.09037792,44,0.19103251,4500.0,-20.389954
0.06666666666666667,0.17018218,0.008333333333333333,0.59058684,920.0,0.18661289,0.7980532,0.090559594,45,0.20498323,4600.0,-19.456324
0.06666666666666667,0.17026407,0.01,0.57387197,940.0,0.18671922,0.7987035,0.09068728,46,0.18881156,4700.0,-20.13372
0.049999999999999996,0.17026506,0.008333333333333333,0.6141401,960.0,0.1868382,0.7993006,0.09092573,47,0.21496435,4800.0,-20.274343
0.08333333333333333,0.17039664,0.006666666666666667,0.75317544,980.0,0.18694477,0.799865,0.091171704,48,0.2023747,4900.0,-19.485462
0.041666666666666664,0.17025594,0.005,0.6787984,1000.0,0.18701077,0.8004884,0.0913856,49,0.21394198,5000.0,-21.785065
0.09999999999999999,0.17025526,0.01,0.6680241,1020.0,0.18707289,0.80106395,0.091500424,50,0.20436426,5100.0,-21.769548
0.075,0.17033537,0.018333333333333337,0.5772148,1040.0,0.18714066,0.80172914,0.09176842,51,0.17488204,5200.0,-20.042048
0.03333333333333333,0.17046936,0.005,0.9016018,1060.0,0.18725872,0.8023336,0.09195641,52,0.19425857,5300.0,-22.87539
0.025000000000000005,0.17033704,0.013333333333333334,0.68850046,1080.0,0.18738084,0.80295324,0.09202849,53,0.17972206,5400.0,-20.928757
0.041666666666666664,0.17028852,0.01,1.1489345,1100.0,0.18748827,0.803566,0.09220361,54,0.17382784,5500.0,-20.09419
0.075,0.17025757,0.0033333333333333335,0.6603167,1120.0,0.18753977,0.80406386,0.092496425,55,0.17175889,5600.0,-19.61178
0.049999999999999996,0.17016111,0.008333333333333333,0.5986459,1140.0,0.18763864,0.80452496,0.09275359,56,0.17765236,5700.0,-20.40726
0.049999999999999996,0.17021912,0.011666666666666665,0.7211296,1160.0,0.18769665,0.80489606,0.09297699,57,0.20425028,5800.0,-20.46332
0.06666666666666667,0.17012215,0.008333333333333333,0.6895965,1180.0,0.18776006,0.80517554,0.093053244,58,0.19355221,5900.0,-20.274881
0.03333333333333333,0.1699543,0.01,1.089477,1200.0,0.18783744,0.8056874,0.0931297,59,0.18238626,6000.0,-22.371134
0.05000000000000001,0.1700089,0.013333333333333334,0.7922209,1220.0,0.18788897,0.80600613,0.09325095,60,0.18494236,6100.0,-20.779936
0.10833333333333334,0.16991468,0.016666666666666666,0.8136197,1240.0,0.187932,0.8062639,0.0933232,61,0.20515162,6200.0,-20.184303
0.025000000000000005,0.16977787,0.015,0.91306996,1260.0,0.18798332,0.8065875,0.09339151,62,0.22071485,6300.0,-21.334145
0.025000000000000005,0.16966373,0.01833333333333333,0.87663937,1280.0,0.1880138,0.8068197,0.09347149,63,0.22215557,6400.0,-21.943092
0.05833333333333333,0.1697849,0.0033333333333333335,0.6486037,1300.0,0.18802337,0.8070292,0.093548305,64,0.17121767,6500.0,-20.934044
0.041666666666666664,0.16973229,0.013333333333333334,0.8434891,1320.0,0.18807237,0.80737704,0.09357316,65,0.19909482,6600.0,-23.582876
0.025000000000000005,0.16974445,0.01,0.7998042,1340.0,0.1881035,0.8076332,0.09368673,66,0.19465275,6700.0,-22.370768
0.10000000000000002,0.16966064,0.01,1.5982574,1360.0,0.18815477,0.8078902,0.09379638,67,0.19418044,6800.0,-21.576477
0.041666666666666664,0.16979074,0.006666666666666667,1.0690231,1380.0,0.18820603,0.80812025,0.09397491,68,0.19133992,6900.0,-22.692217
0.05833333333333333,0.16981073,0.011666666666666667,0.90176207,1400.0,0.18825822,0.8083585,0.094089806,69,0.20317964,7000.0,-21.966553
0.06666666666666667,0.16985422,0.016666666666666666,1.0307541,1420.0,0.18829374,0.8084984,0.09431761,70,0.20790415,7100.0,-22.12529
0.09166666666666667,0.1698665,0.015,1.5564524,1440.0,0.1883397,0.8087485,0.09443902,71,0.21561092,7200.0,-20.777075
0.049999999999999996,0.16981173,0.015,0.7972372,1460.0,0.18837424,0.808934,0.0945547,72,0.2638484,7300.0,-21.182426
0.041666666666666664,0.169712,0.02,0.72402877,1480.0,0.18841048,0.80915123,0.09464887,73,0.17090757,7400.0,-19.257914
0.075,0.16969866,0.016666666666666666,0.91131425,1500.0,0.18844543,0.80930406,0.09483651,74,0.18844531,7500.0,-22.229807
