stats_o/mean,train/episode,train/critic_loss,train/success_rate,train/critic_addnl_loss,stats_g/std,test/episode,epoch,test/success_rate,test/mean_Q,stats_o/std,stats_g/mean
0.20104468,100.0,0.0021576341,0.051666666666666666,0.0,0.07099705,20.0,0,0.10000000000000002,-2.533797,0.044657554,0.83809966
0.20077495,200.0,0.003202631,0.08,0.0,0.07072919,40.0,1,0.016666666666666666,-4.7049565,0.044647563,0.8376796
0.2009737,300.0,0.005482169,0.06833333333333333,0.0,0.07060275,60.0,2,0.041666666666666664,-6.458287,0.045375034,0.83775735
0.20118998,400.0,0.010213976,0.065,0.0,0.07211806,80.0,3,0.06666666666666667,-8.214735,0.0478688,0.83829856
0.2014734,500.0,0.023474187,0.08,0.0,0.07299059,100.0,4,0.05833333333333333,-10.048957,0.048960876,0.8390269
0.20159762,600.0,0.010470423,0.06833333333333334,0.0,0.07340896,120.0,5,0.10000000000000002,-11.157955,0.05009691,0.8390779
0.20160158,700.0,0.011762229,0.07666666666666667,0.0,0.07443782,140.0,6,0.11666666666666668,-12.443142,0.05200212,0.8390159
0.20167966,800.0,0.06994093,0.08833333333333333,0.0,0.07417301,160.0,7,0.1416666666666667,-12.981004,0.052424937,0.83934337
0.20168544,900.0,0.03861297,0.11,0.0,0.07463541,180.0,8,0.10833333333333334,-15.231946,0.053121414,0.83944434
0.20170319,1000.0,0.072067805,0.13166666666666668,0.0,0.07499219,200.0,9,0.19166666666666668,-15.228236,0.054699887,0.8393132
0.20169055,1100.0,0.18466635,0.19500000000000003,0.0,0.07521417,220.0,10,0.21666666666666665,-15.063756,0.0575169,0.83915234
0.20173842,1200.0,0.09063897,0.20333333333333334,0.0,0.075683944,240.0,11,0.3416666666666666,-12.697258,0.06050357,0.839354
0.20189889,1300.0,0.07814186,0.3016666666666667,0.0,0.07631643,260.0,12,0.42500000000000004,-11.252727,0.06328593,0.84007883
0.20198624,1400.0,0.10952747,0.38999999999999996,0.0,0.076298244,280.0,13,0.525,-8.990272,0.06801189,0.84062785
0.20207481,1500.0,0.158677,0.5300000000000001,0.0,0.07675289,300.0,14,0.6916666666666668,-5.687088,0.072701395,0.8409671
0.20226176,1600.0,0.13146968,0.6583333333333333,0.0,0.07656464,320.0,15,0.8416666666666667,-2.64522,0.07688425,0.8412151
0.20230718,1700.0,0.1812944,0.6933333333333334,0.0,0.07661725,340.0,16,0.8166666666666668,-3.0087612,0.08050891,0.84125346
0.202347,1800.0,0.13173477,0.7216666666666667,0.0,0.07740855,360.0,17,0.8249999999999998,-3.0078871,0.08359909,0.8414058
0.20227043,1900.0,0.16171657,0.8283333333333335,0.0,0.07711679,380.0,18,0.9583333333333334,-1.8287405,0.085447825,0.8413852
0.20223553,2000.0,0.10539659,0.8666666666666667,0.0,0.07679284,400.0,19,0.9500000000000001,-1.6376429,0.08743722,0.84130853
0.20226528,2100.0,0.119371705,0.8966666666666666,0.0,0.076470755,420.0,20,0.9333333333333332,-1.5665272,0.08943436,0.84119123
0.20219912,2200.0,0.1332449,0.9216666666666667,0.0,0.07615373,440.0,21,0.9666666666666667,-1.340025,0.090967275,0.841144
0.20226593,2300.0,0.1444555,0.91,0.0,0.07565688,460.0,22,0.9833333333333334,-1.5099039,0.09287933,0.840957
0.20221585,2400.0,0.11787612,0.9249999999999999,0.0,0.07525737,480.0,23,0.9416666666666668,-1.715661,0.094073854,0.84089947
0.20221083,2500.0,0.11621789,0.915,0.0,0.07507676,500.0,24,0.9666666666666667,-1.4741844,0.09539866,0.84085196
0.2022409,2600.0,0.15120597,0.9166666666666666,0.0,0.075125,520.0,25,0.9499999999999998,-1.8158633,0.09687982,0.840766
0.20219041,2700.0,0.07505888,0.9233333333333333,0.0,0.07504489,540.0,26,0.9916666666666667,-1.1305369,0.09804643,0.84064347
0.20222753,2800.0,0.122022234,0.9400000000000001,0.0,0.07475654,560.0,27,1.0,-1.0841459,0.09891573,0.8406597
0.20225608,2900.0,0.08934734,0.9383333333333334,0.0,0.07458869,580.0,28,1.0,-1.063759,0.09971956,0.8405773
0.20227759,3000.0,0.08964761,0.945,0.0,0.0743261,600.0,29,0.9916666666666667,-1.2444912,0.10058818,0.8404636
0.20220806,3100.0,0.09003276,0.945,0.0,0.07418659,620.0,30,0.9916666666666667,-1.0236902,0.101424895,0.8404391
0.20217563,3200.0,0.09739969,0.9433333333333334,0.0,0.07397646,640.0,31,1.0,-1.1396728,0.10209105,0.84032136
0.20218344,3300.0,0.10042194,0.945,0.0,0.0737577,660.0,32,0.9833333333333334,-1.12158,0.10249925,0.840336
0.20222576,3400.0,0.07311298,0.9566666666666667,0.0,0.07355191,680.0,33,0.9916666666666667,-1.1640534,0.10299331,0.84029335
