test/mean_Q,test/ag_g_dist,epoch,stats_g/std,train/episode,train/success_rate,stats_g/mean,stats_o/mean,test/success_rate,train/critic_loss,stats_o/std,test/episode
-10.208581,0.16905044,27,0.18361004,2800.0,0.18833333333333332,0.7967577,0.18778867,0.5,0.22787179,0.098368876,560.0
-8.718971,0.15046488,28,0.18331702,2900.0,0.18666666666666668,0.79763365,0.18793224,0.5833333333333334,0.2320739,0.09889112,580.0
-11.639861,0.19580984,29,0.18303728,3000.0,0.18500000000000003,0.7986267,0.18813322,0.425,0.37073076,0.09927583,600.0
-10.371951,0.1915062,30,0.18275197,3100.0,0.19333333333333336,0.7994683,0.18830217,0.5083333333333333,0.2721242,0.09984723,620.0
-9.948123,0.15712921,31,0.18271561,3200.0,0.17166666666666666,0.80045897,0.18845384,0.5666666666666668,0.25492683,0.10049126,640.0
-8.552768,0.15846373,32,0.1824916,3300.0,0.18333333333333335,0.80109406,0.18855982,0.5333333333333333,0.2151552,0.1007941,660.0
-8.787121,0.16601555,33,0.1822477,3400.0,0.19333333333333336,0.802044,0.18877621,0.5750000000000001,0.30462965,0.10137183,680.0
-9.521562,0.1691534,34,0.18208177,3500.0,0.18000000000000002,0.8028243,0.18887313,0.4583333333333333,0.21392989,0.10180246,700.0
-9.490779,0.16456474,35,0.18167968,3600.0,0.21166666666666667,0.8037122,0.1890709,0.5833333333333334,0.2742276,0.102104485,720.0
-8.978259,0.16291232,36,0.18172167,3700.0,0.19000000000000003,0.8043508,0.18920876,0.5666666666666667,0.27656308,0.1027132,740.0
-8.026117,0.15052637,37,0.18136959,3800.0,0.19833333333333336,0.80495167,0.18935017,0.6,0.3162555,0.10297229,760.0
-8.383202,0.14949481,38,0.18098837,3900.0,0.18666666666666668,0.8057609,0.18953349,0.5833333333333334,0.32624468,0.103187494,780.0
-9.858476,0.17866755,39,0.18097408,4000.0,0.20333333333333337,0.8064732,0.1896679,0.6,0.3022164,0.10361865,800.0
-10.090057,0.15656258,40,0.18086447,4100.0,0.14333333333333334,0.8070952,0.18978536,0.45,0.39681363,0.10389832,820.0
-10.77307,0.18139006,41,0.18070655,4200.0,0.20833333333333334,0.8075282,0.18988045,0.55,0.23850727,0.10410302,840.0
-9.741445,0.15767209,42,0.18068463,4300.0,0.18166666666666664,0.8080208,0.18999474,0.5666666666666668,0.58226556,0.10424226,860.0
-10.160745,0.15652154,43,0.18045747,4400.0,0.215,0.8084681,0.19006531,0.5666666666666667,0.19033067,0.10428343,880.0
-10.841496,0.16842753,44,0.18028438,4500.0,0.19499999999999998,0.80900115,0.19016246,0.5916666666666667,0.24831684,0.10447755,900.0
-10.231172,0.16866489,45,0.18010963,4600.0,0.19333333333333336,0.8094556,0.1902742,0.6166666666666666,0.3486024,0.10458089,920.0
-11.317035,0.17219035,46,0.18009175,4700.0,0.19166666666666665,0.8098406,0.19030048,0.5416666666666666,0.6011285,0.10477444,940.0
-11.163877,0.18035059,47,0.1800158,4800.0,0.16333333333333333,0.8102262,0.19038023,0.5083333333333333,0.32782915,0.10495967,960.0
-9.779378,0.15937015,48,0.1801375,4900.0,0.17333333333333334,0.8106096,0.19047688,0.5333333333333333,0.28613785,0.10521559,980.0
-10.631935,0.16960959,49,0.18000442,5000.0,0.17666666666666667,0.81095093,0.19052695,0.5833333333333334,0.18978472,0.10529838,1000.0
