train/success_rate,test/mean_Q,test/episode,stats_g/std,train/critic_loss,train/critic_addnl_loss,test/success_rate,stats_o/mean,stats_g/mean,train/episode,stats_o/std,epoch
0.05499999999999999,-2.0295417,20.0,0.07026084,0.18184347,0.17501457,0.10833333333333334,0.20099042,0.838274,100.0,0.040725127,0
0.08,-4.093245,40.0,0.07011338,0.18209226,0.17381144,0.016666666666666666,0.20083612,0.8377765,200.0,0.04379429,1
0.06666666666666667,-5.8039994,60.0,0.06992025,0.18828581,0.17634986,0.041666666666666664,0.2009265,0.8377182,300.0,0.042334218,2
0.07,-7.4586334,80.0,0.07013215,0.17262363,0.16204758,0.06666666666666667,0.20104353,0.8383456,400.0,0.045047607,3
0.07833333333333332,-9.14361,100.0,0.07179841,0.24318494,0.2322257,0.05833333333333333,0.2012432,0.8390954,500.0,0.04550831,4
0.065,-10.323616,120.0,0.07179856,0.19483125,0.17675006,0.075,0.20137292,0.83916044,600.0,0.046402235,5
0.065,-11.584259,140.0,0.07188969,0.2360354,0.22212984,0.09999999999999999,0.20135944,0.8390491,700.0,0.04666839,6
0.085,-12.545922,160.0,0.07240372,0.27852586,0.25719407,0.09999999999999999,0.20144458,0.8393081,800.0,0.047521397,7
0.07,-14.422875,180.0,0.072259866,0.27502766,0.24918377,0.08333333333333333,0.20145547,0.8392784,900.0,0.04749923,8
0.08166666666666667,-15.351333,200.0,0.07270523,0.28150806,0.2528595,0.09166666666666667,0.20146634,0.8390477,1000.0,0.048147667,9
0.09833333333333334,-15.886958,220.0,0.07306825,0.47203922,0.41106614,0.09166666666666667,0.20140709,0.83873075,1100.0,0.049334187,10
0.08666666666666667,-16.394144,240.0,0.073435105,0.25808027,0.21282192,0.11666666666666665,0.20141418,0.8385841,1200.0,0.050930005,11
0.08666666666666667,-16.575745,260.0,0.073619194,0.37740728,0.32991943,0.15,0.20141084,0.83863616,1300.0,0.052303553,12
0.1466666666666667,-18.120495,280.0,0.073895596,0.3649938,0.31089905,0.075,0.2012599,0.8383312,1400.0,0.054096628,13
0.19833333333333333,-15.157155,300.0,0.074249096,0.5648169,0.4468615,0.2833333333333333,0.20133863,0.8379827,1500.0,0.056425262,14
0.2866666666666667,-13.845024,320.0,0.074563295,0.6412457,0.5205772,0.3833333333333333,0.20124917,0.8377662,1600.0,0.059605986,15
0.39833333333333326,-9.336688,340.0,0.074763305,0.6683843,0.5229606,0.525,0.2012617,0.8375597,1700.0,0.06257239,16
0.5483333333333333,-4.9432125,360.0,0.07554678,1.275401,1.0911041,0.6916666666666668,0.2012316,0.8377096,1800.0,0.06700864,17
0.6933333333333334,-5.2467647,380.0,0.0757994,1.1286222,0.9939931,0.6666666666666666,0.20111363,0.83776253,1900.0,0.0703338,18
0.7450000000000001,-3.1804583,400.0,0.07586184,1.2207781,1.0466591,0.7999999999999999,0.20116518,0.83774185,2000.0,0.073439874,19
0.7483333333333334,-2.4000883,420.0,0.07593263,0.5660644,0.43453994,0.8916666666666666,0.20129694,0.8376966,2100.0,0.07616065,20
0.8066666666666666,-2.451094,440.0,0.07612001,0.6137407,0.49998674,0.8916666666666666,0.20147495,0.83777183,2200.0,0.078472994,21
0.8266666666666667,-2.2935472,460.0,0.07576664,0.46886036,0.26797453,0.9666666666666667,0.20151268,0.83767086,2300.0,0.08089433,22
0.8633333333333333,-2.117857,480.0,0.075741194,0.32455364,0.237729,0.9416666666666668,0.2016104,0.83778715,2400.0,0.0827479,23
0.8816666666666667,-1.8113475,500.0,0.07561002,0.4794159,0.28968737,0.9583333333333334,0.20162992,0.83787036,2500.0,0.0847137,24
0.8916666666666666,-1.5921704,520.0,0.075510256,0.44697952,0.28417084,0.9666666666666667,0.20169185,0.8378725,2600.0,0.086166345,25
0.9116666666666667,-1.5382136,540.0,0.075391725,0.31707525,0.2499466,0.9583333333333334,0.20178299,0.8378468,2700.0,0.08744226,26
0.9133333333333334,-1.1844441,560.0,0.075117774,0.28729066,0.21009016,0.975,0.20174722,0.83794945,2800.0,0.088533014,27
0.9383333333333334,-1.2911234,580.0,0.0747802,0.33870122,0.276018,0.9833333333333334,0.20180456,0.8379542,2900.0,0.08950004,28
0.9433333333333334,-1.3167089,600.0,0.074780904,0.30869317,0.22990279,0.9916666666666667,0.20175172,0.8379107,3000.0,0.090366326,29
0.9466666666666667,-1.0495249,620.0,0.074563354,0.28384742,0.21399333,1.0,0.20178343,0.8379481,3100.0,0.091091655,30
