epoch,test/ag_g_dist,test/mean_Q,test/success_rate,train/critic_loss,test/episode,train/success_rate,stats_o/std,stats_g/mean,stats_g/std,train/episode,stats_o/mean
48,0.023700677,-2.0629957,0.875,0.020108217,980.0,0.0,0.031190256,0.87827045,0.08530355,980.0,0.2635991
49,0.02346374,-2.1170022,0.8666666666666667,0.023703992,1000.0,0.0,0.031184217,0.8783848,0.085252464,1000.0,0.26363096
50,0.025670856,-2.2992513,0.5416666666666666,0.0358796,1020.0,0.0,0.031186754,0.87844974,0.08524969,1020.0,0.26365107
51,0.0269539,-2.4270275,0.5166666666666667,0.025674798,1040.0,0.0,0.03118742,0.8784856,0.08523426,1040.0,0.26366132
52,0.028936682,-2.7425234,0.21666666666666667,0.02344238,1060.0,0.0,0.031176886,0.87856084,0.08518639,1060.0,0.26368317
53,0.02396291,-2.5128906,0.39166666666666666,0.023802416,1080.0,0.0,0.0311768,0.878622,0.085157484,1080.0,0.26370376
54,0.024597062,-2.5616932,0.525,0.025286272,1100.0,0.0,0.031195471,0.8785291,0.08520776,1100.0,0.26367965
55,0.022938764,-2.7549877,0.5083333333333333,0.021134129,1120.0,0.0,0.031199345,0.8786109,0.08521003,1120.0,0.2636965
56,0.019706566,-1.8763202,0.6749999999999999,0.017575288,1140.0,0.0,0.031197032,0.87877613,0.08517799,1140.0,0.26374042
57,0.020084344,-2.2085588,0.8083333333333332,0.04574601,1160.0,0.0,0.031189084,0.8786883,0.08513546,1160.0,0.2637144
58,0.021121765,-2.028578,0.8833333333333333,0.014982544,1180.0,0.0,0.03119872,0.8785546,0.08514588,1180.0,0.2636803
59,0.02793003,-2.6063797,0.46666666666666673,0.021262236,1200.0,0.008333333333333333,0.031198636,0.87854785,0.08512994,1200.0,0.26368362
