test/mean_Q,stats_g/std,train/critic_loss,test/episode,test/ag_g_dist,stats_o/std,epoch,test/success_rate,train/episode,stats_g/mean,train/success_rate,stats_o/mean
-44.788685,0.019165786,1.98399e-05,980.0,0.11802568,0.65092,48,0.0,4900.0,0.6833522,0.0,0.3273132
-45.04373,0.019107275,5.543619e-06,1000.0,0.117923975,0.6506469,49,0.0,5000.0,0.6833555,0.0,0.32735917
-45.275364,0.019053042,1.7934175e-06,1020.0,0.11822156,0.65039545,50,0.0,5100.0,0.6833585,0.0,0.32735512
-45.49217,0.019008156,9.474651e-05,1040.0,0.11899548,0.6501032,51,0.0,5200.0,0.6833639,0.0,0.3273746
-45.716976,0.018959103,1.9484244e-06,1060.0,0.11836839,0.6498714,52,0.0,5300.0,0.68336755,0.0,0.32740042
-45.904613,0.018911552,0.00025380956,1080.0,0.11884397,0.64968264,53,0.0,5400.0,0.68336797,0.0,0.3274363
-46.108448,0.018862166,2.3551283e-06,1100.0,0.11751288,0.649471,54,0.0,5500.0,0.68337077,0.0,0.32744768
-46.284924,0.018813275,4.135483e-05,1120.0,0.11730558,0.6492689,55,0.0,5600.0,0.6833746,0.0,0.32746273
-46.46847,0.018770045,6.124285e-06,1140.0,0.11721163,0.64907706,56,0.0,5700.0,0.6833754,0.0,0.3274718
-46.623615,0.018721966,6.571695e-05,1160.0,0.116740145,0.6488274,57,0.0,5800.0,0.6833771,0.0,0.3274778
-46.7867,0.018678917,0.00015115729,1180.0,0.11754835,0.64859307,58,0.0,5900.0,0.6833746,0.0,0.3275007
-46.935856,0.01863677,3.324931e-05,1200.0,0.11722547,0.64833593,59,0.0,6000.0,0.6833775,0.0,0.32753074
