test/ag_g_dist,train/episode,test/episode,test/mean_Q,stats_o/std,train/critic_loss,train/success_rate,test/success_rate,stats_g/std,stats_o/mean,epoch,stats_g/mean
0.1746713,100.0,20.0,-2.7448769,0.04884228,0.003998713,0.0016666666666666668,0.0,0.07142375,0.20035984,0,0.8370076
0.1818047,200.0,40.0,-4.761798,0.04937047,0.005865591,0.0016666666666666668,0.008333333333333333,0.07218155,0.20083134,1,0.83697844
0.16653492,300.0,60.0,-6.7817216,0.047352284,0.00678877,0.0016666666666666668,0.008333333333333333,0.07108442,0.20090716,2,0.8371363
0.18022291,400.0,80.0,-8.780768,0.051227927,0.016665319,0.005,0.0,0.07472896,0.20130105,3,0.83775264
0.17948335,500.0,100.0,-10.412006,0.054576904,0.013683367,0.006666666666666667,0.008333333333333333,0.07653435,0.20167775,4,0.838545
0.16555797,600.0,120.0,-11.662505,0.057136193,0.031216277,0.006666666666666667,0.016666666666666666,0.07818469,0.20155449,5,0.83864236
0.15411574,700.0,140.0,-11.715373,0.061189327,0.11118061,0.018333333333333333,0.016666666666666666,0.07837761,0.20148455,6,0.83867913
0.1516925,800.0,160.0,-11.737846,0.06546109,0.09449887,0.04,0.08333333333333333,0.07832598,0.20156819,7,0.83931136
0.12903269,900.0,180.0,-10.695934,0.07147059,0.16699189,0.06166666666666667,0.17500000000000004,0.07818496,0.20154285,8,0.83934766
0.09776547,1000.0,200.0,-7.4527035,0.0782497,0.16540897,0.10833333333333332,0.3416666666666666,0.078054965,0.2015286,9,0.8393943
0.07742572,1100.0,220.0,-5.6522946,0.08455325,0.18204659,0.19833333333333333,0.47500000000000003,0.077795856,0.20140022,10,0.8392381
0.048280925,1200.0,240.0,-3.69007,0.090711914,0.24553545,0.22999999999999998,0.5666666666666668,0.078055374,0.20166732,11,0.83922243
0.053194523,1300.0,260.0,-3.6236076,0.09473681,0.2229371,0.31833333333333336,0.7333333333333334,0.07805427,0.20182867,12,0.8392183
0.05484538,1400.0,280.0,-3.29187,0.0977368,0.2813588,0.4033333333333333,0.8083333333333332,0.07760206,0.20172274,13,0.8389764
0.04522108,1500.0,300.0,-2.4622576,0.10056325,0.24256164,0.40666666666666673,0.9333333333333332,0.077425875,0.20167542,14,0.83879405
0.045399312,1600.0,320.0,-2.3924305,0.10321798,0.27999255,0.4283333333333334,0.9166666666666666,0.076982565,0.2016866,15,0.83881325
0.04338719,1700.0,340.0,-2.3610632,0.10525157,0.34132373,0.4166666666666667,0.9249999999999999,0.07699538,0.20182396,16,0.8388067
0.04150138,1800.0,360.0,-2.1228428,0.1071304,0.2450492,0.41500000000000004,0.9583333333333334,0.07693144,0.2019646,17,0.8389175
0.041680057,1900.0,380.0,-2.0678012,0.10870577,0.27043334,0.38000000000000006,0.9499999999999998,0.07709396,0.20201881,18,0.838878
0.038164355,2000.0,400.0,-1.8019053,0.109752625,0.26461616,0.4383333333333333,0.9833333333333334,0.076968916,0.20192175,19,0.8388229
0.040895503,2100.0,420.0,-1.9478289,0.11073623,0.29559913,0.4666666666666666,0.9583333333333334,0.076755464,0.20195173,20,0.8387422
0.038286466,2200.0,440.0,-1.7994843,0.111525394,0.25435483,0.43500000000000005,1.0,0.07671859,0.20188421,21,0.838739
0.040993717,2300.0,460.0,-1.6938525,0.112226576,0.23567612,0.48,0.9916666666666667,0.07647702,0.2018503,22,0.83861023
0.042059243,2400.0,480.0,-1.829188,0.11286109,0.2695294,0.4166666666666667,0.9916666666666667,0.07614397,0.20184855,23,0.838655
0.03900036,2500.0,500.0,-1.7743149,0.113599576,0.20581074,0.48500000000000004,1.0,0.07605084,0.20189728,24,0.8386684
0.040337186,2600.0,520.0,-1.7806687,0.11437569,0.2802613,0.515,0.9916666666666667,0.07582928,0.20177014,25,0.83864
0.039963093,2700.0,540.0,-1.7370468,0.11496877,0.23105104,0.4666666666666666,0.9916666666666667,0.075661756,0.20164926,26,0.8385553
0.03596848,2800.0,560.0,-1.6102676,0.11540445,0.20939602,0.47833333333333333,0.975,0.07569248,0.20161848,27,0.8386097
0.040413152,2900.0,580.0,-1.6263942,0.115872234,0.2348388,0.5083333333333333,0.9916666666666667,0.07563287,0.20159055,28,0.8385496
0.04272507,3000.0,600.0,-1.8358437,0.11649213,0.26677296,0.4533333333333333,0.9333333333333332,0.07566137,0.2016081,29,0.83849233
