test/ag_g_dist,epoch,train/success_rate,stats_o/mean,stats_g/std,stats_g/mean,train/episode,test/episode,test/success_rate,stats_o/std,train/critic_loss,test/mean_Q
0.022364115,38,0.325,0.263621,0.08458515,0.88208836,780.0,780.0,0.9333333333333332,0.03094106,0.01857965,-1.867218
0.028073618,39,0.31666666666666665,0.26363856,0.08464813,0.88212854,800.0,800.0,0.9416666666666668,0.030974409,0.016824255,-1.8127918
0.021001155,40,0.30000000000000004,0.26364583,0.08472245,0.8821507,820.0,820.0,0.9166666666666666,0.030991375,0.052970205,-2.295509
0.021855796,41,0.3,0.26368213,0.08474419,0.8822877,840.0,840.0,0.9250000000000002,0.031005189,0.010231194,-2.0755377
0.01809525,42,0.4000000000000001,0.26367167,0.08479974,0.8822465,860.0,860.0,0.9499999999999998,0.031032404,0.008481986,-1.8577757
0.018887458,43,0.3083333333333333,0.26369116,0.084854715,0.8823051,880.0,880.0,0.9,0.031054521,0.009252173,-2.414891
0.02771753,44,0.325,0.26368466,0.084881924,0.88227445,900.0,900.0,0.9249999999999999,0.031069165,0.014380283,-2.1309166
0.0197356,45,0.3416666666666666,0.26369333,0.0849032,0.88230896,920.0,920.0,0.9416666666666668,0.03108414,0.008768947,-1.9409097
0.018091619,46,0.2333333333333333,0.26368764,0.08492303,0.88229495,940.0,940.0,0.9333333333333332,0.031099811,0.013176252,-1.9266812
0.023605222,47,0.30833333333333335,0.26365092,0.08506116,0.8821969,960.0,960.0,0.9083333333333333,0.03115278,0.016835704,-2.0647986
0.021323742,48,0.4083333333333334,0.26367256,0.085065074,0.88227946,980.0,980.0,0.9249999999999999,0.031163404,0.010760177,-2.2027617
0.02176094,49,0.3666666666666667,0.26369953,0.08506569,0.8823616,1000.0,1000.0,0.9333333333333332,0.031171074,0.039852683,-2.1403766
0.025347441,50,0.31666666666666665,0.2636809,0.0851235,0.88230735,1020.0,1020.0,0.9,0.031194935,0.022926504,-2.2663653
0.027554765,51,0.31666666666666665,0.2636758,0.085153855,0.882287,1040.0,1040.0,0.9083333333333333,0.031213418,0.012152639,-2.4464445
0.025127707,52,0.35000000000000003,0.26368594,0.085190475,0.88231283,1060.0,1060.0,0.9083333333333333,0.031228935,0.013422909,-2.612312
0.019846534,53,0.39999999999999997,0.26368663,0.085181035,0.8823121,1080.0,1080.0,0.9333333333333332,0.031233063,0.017290814,-2.2682514
0.02136688,54,0.28333333333333327,0.26363403,0.08530537,0.88213664,1100.0,1100.0,0.9,0.03127438,0.008864625,-2.4334104
0.018617852,55,0.3,0.26363,0.0853238,0.88213295,1120.0,1120.0,0.9250000000000002,0.0312882,0.017926184,-2.0594316
0.0153322695,56,0.325,0.26366824,0.0852966,0.882297,1140.0,1140.0,0.9416666666666668,0.031291313,0.014097877,-1.9164168
0.014430281,57,0.35000000000000003,0.26363075,0.08523637,0.88216764,1160.0,1160.0,0.9416666666666668,0.031282026,0.015691362,-2.117709
0.012961089,58,0.3666666666666667,0.26357728,0.085273005,0.88198686,1180.0,1180.0,0.9666666666666667,0.031304266,0.018764518,-1.925269
0.020449964,59,0.3333333333333333,0.26356688,0.085273884,0.88194114,1200.0,1200.0,0.9249999999999999,0.031306677,0.022963434,-2.4616919
