stats_g/std,epoch,test/episode,stats_o/mean,train/critic_loss,stats_o/std,test/success_rate,stats_g/mean,test/ag_g_dist,train/success_rate,test/mean_Q,train/episode
0.07403785,0,20.0,0.2007705,0.025994703,0.044270914,0.09166666666666667,0.8579166,0.17500585,0.05333333333333332,-2.407095,100.0
0.07432562,1,40.0,0.2007045,0.056215495,0.045982372,0.016666666666666666,0.8577159,0.18169685,0.08,-4.722729,200.0
0.07398852,2,60.0,0.2007633,0.05664997,0.04477702,0.041666666666666664,0.85747296,0.16711871,0.06999999999999999,-6.5214043,300.0
0.07518489,3,80.0,0.20107569,0.123224206,0.046446983,0.075,0.8580694,0.17636581,0.07,-8.080234,400.0
0.075651474,4,100.0,0.20135437,0.1290871,0.048117038,0.05833333333333333,0.8589063,0.18418686,0.08,-10.031644,500.0
0.07677478,5,120.0,0.20139463,0.13123019,0.049894135,0.06666666666666667,0.8590121,0.16726251,0.06999999999999999,-11.336759,600.0
0.07770664,6,140.0,0.20135109,0.15973379,0.052482083,0.11666666666666665,0.85896325,0.16729753,0.07666666666666667,-12.270886,700.0
0.07791894,7,160.0,0.20150389,0.13767627,0.054020528,0.13333333333333333,0.85947704,0.170512,0.12,-12.996331,800.0
0.078756884,8,180.0,0.20154428,0.1513515,0.056247115,0.10833333333333334,0.85983044,0.16811407,0.12833333333333333,-13.556426,900.0
0.07884095,9,200.0,0.20151518,0.107479215,0.05830662,0.19166666666666665,0.86012053,0.17157622,0.15,-13.726345,1000.0
0.07956871,10,220.0,0.20157792,0.170677,0.06132019,0.20833333333333334,0.8605309,0.15429486,0.22,-13.90986,1100.0
0.080104865,11,240.0,0.20175463,0.32754466,0.06435811,0.2833333333333333,0.8611968,0.13918053,0.255,-12.967548,1200.0
0.080201335,12,260.0,0.20203401,0.17676574,0.067078,0.5833333333333334,0.8618557,0.10486909,0.36000000000000004,-7.526483,1300.0
0.07992355,13,280.0,0.20202398,0.17669965,0.07012948,0.525,0.86199594,0.121092774,0.51,-7.77218,1400.0
0.07969001,14,300.0,0.20210756,0.136912,0.07319975,0.65,0.8619344,0.10153365,0.5583333333333335,-5.8796043,1500.0
0.07916013,15,320.0,0.20205311,0.2498547,0.074960545,0.7583333333333333,0.86190796,0.09558951,0.6633333333333333,-5.144805,1600.0
0.07894883,16,340.0,0.20200723,0.23132585,0.07654488,0.7583333333333333,0.86177856,0.082733266,0.725,-4.133539,1700.0
0.07866209,17,360.0,0.20194776,0.21871962,0.0778878,0.85,0.8617094,0.07195114,0.7766666666666667,-2.8734627,1800.0
0.07832459,18,380.0,0.20184614,0.21270502,0.079150334,0.875,0.8615813,0.077978134,0.8316666666666667,-3.0520241,1900.0
0.078045785,19,400.0,0.20177652,0.18738441,0.08064158,0.9,0.86145043,0.072420724,0.8433333333333334,-2.4971967,2000.0
0.07765745,20,420.0,0.20186579,0.24154545,0.08159501,0.8666666666666666,0.8613258,0.068767235,0.8966666666666668,-2.4875784,2100.0
0.07735524,21,440.0,0.20197296,0.2130454,0.082134105,0.8666666666666667,0.861252,0.07388402,0.8983333333333334,-2.4772646,2200.0
0.07696646,22,460.0,0.2019922,0.17316926,0.08265006,0.9416666666666668,0.8610191,0.066976085,0.93,-2.0691543,2300.0
0.07661033,23,480.0,0.20201819,0.24725206,0.08349466,0.9666666666666667,0.86091614,0.065315165,0.9016666666666667,-1.9073695,2400.0
0.07638751,24,500.0,0.20205528,0.19705357,0.08389157,0.9666666666666667,0.8608653,0.0645204,0.935,-1.889774,2500.0
0.07619094,25,520.0,0.20205687,0.2300446,0.08433655,1.0,0.86074543,0.06224514,0.9516666666666667,-1.6750027,2600.0
0.076025926,26,540.0,0.20198643,0.20365804,0.08475622,0.9916666666666667,0.8605826,0.058937132,0.9083333333333333,-1.5614144,2700.0
0.07575754,27,560.0,0.2019912,0.2843886,0.08500708,0.9916666666666667,0.8605415,0.058004785,0.9483333333333333,-1.4757496,2800.0
0.07549755,28,580.0,0.20203693,0.13583757,0.08535269,1.0,0.86039585,0.061602116,0.9366666666666666,-1.4511862,2900.0
0.07542437,29,600.0,0.2020673,0.17335296,0.08569786,0.9833333333333334,0.860275,0.06281579,0.9400000000000001,-1.6484448,3000.0
