train/critic_loss,test/success_rate,epoch,train/success_rate,stats_o/mean,stats_o/std,stats_g/mean,test/mean_Q,train/episode,stats_g/std,test/episode,test/ag_g_dist
0.12853678,0.20833333333333334,25,0.10000000000000002,0.19990432,0.8496328,0.3813226,-23.57894,2600.0,0.23226333,520.0,0.707154
0.1333423,0.3416666666666666,26,0.11333333333333334,0.19982868,0.8542325,0.38126507,-23.03588,2700.0,0.2321773,540.0,0.72566396
0.13276812,0.2333333333333333,27,0.11833333333333333,0.19979702,0.8586914,0.38117197,-23.771011,2800.0,0.23221211,560.0,0.7112009
0.12548855,0.2916666666666667,28,0.10833333333333332,0.19972233,0.8631179,0.38109675,-22.482239,2900.0,0.23200692,580.0,0.6612149
0.11961707,0.35833333333333334,29,0.11166666666666668,0.19961058,0.8673034,0.3808178,-19.331715,3000.0,0.23193316,600.0,0.57438606
0.12673466,0.2333333333333333,30,0.135,0.1994123,0.8715003,0.38106498,-22.348785,3100.0,0.23162557,620.0,0.62302434
0.14767246,0.3416666666666666,31,0.10000000000000002,0.1992423,0.87538886,0.3810607,-23.28662,3200.0,0.2316147,640.0,0.7119574
0.14231743,0.39999999999999997,32,0.14,0.1991169,0.8792488,0.38112643,-19.557207,3300.0,0.2314202,660.0,0.5876893
0.13982932,0.45,33,0.15333333333333335,0.19894254,0.88312906,0.38117686,-16.04445,3400.0,0.23129143,680.0,0.46284565
0.15057383,0.39999999999999997,34,0.15833333333333335,0.19884734,0.88673,0.38138357,-18.090141,3500.0,0.23106802,700.0,0.534591
0.14780407,0.4916666666666667,35,0.15166666666666667,0.19863355,0.8904454,0.38140216,-18.298632,3600.0,0.23088749,720.0,0.52176386
0.14710528,0.39166666666666666,36,0.17500000000000002,0.19847684,0.89380866,0.38143334,-19.20829,3700.0,0.23057427,740.0,0.56723565
0.15260394,0.4583333333333333,37,0.17,0.19828819,0.89703417,0.3816066,-15.721169,3800.0,0.23032057,760.0,0.4661282
0.16527568,0.3833333333333333,38,0.20833333333333334,0.19812651,0.90014917,0.3817207,-21.380182,3900.0,0.23008381,780.0,0.6033075
0.14901036,0.425,39,0.1466666666666667,0.19794382,0.90321654,0.38187894,-18.907114,4000.0,0.22976981,800.0,0.5554066
0.15244214,0.4666666666666666,40,0.1516666666666667,0.19781508,0.9061343,0.38191327,-16.204252,4100.0,0.22948356,820.0,0.4625596
0.17434303,0.4666666666666666,41,0.19833333333333333,0.19770665,0.90881354,0.38203725,-16.357351,4200.0,0.22917981,840.0,0.45899186
0.17045744,0.4166666666666667,42,0.21833333333333335,0.19763981,0.91134995,0.38231423,-17.91112,4300.0,0.22891529,860.0,0.5200234
0.16312392,0.4166666666666667,43,0.17833333333333332,0.1975692,0.9140033,0.38257298,-16.607483,4400.0,0.22858702,880.0,0.4707714
0.16727538,0.375,44,0.19000000000000003,0.19743259,0.91648537,0.3827019,-18.345955,4500.0,0.22830231,900.0,0.5353197
0.19052298,0.45,45,0.21333333333333335,0.1972549,0.9187928,0.38271585,-17.48922,4600.0,0.22815318,920.0,0.50329137
0.29588148,0.4083333333333334,46,0.17333333333333334,0.19704713,0.9210675,0.38280448,-19.385445,4700.0,0.2279756,940.0,0.5349204
0.2502401,0.44166666666666665,47,0.16,0.1969111,0.92328405,0.38281623,-16.701097,4800.0,0.227795,960.0,0.4694747
0.20517659,0.4833333333333334,48,0.18000000000000002,0.19678746,0.9254753,0.38276944,-16.902342,4900.0,0.22771604,980.0,0.48076105
0.1974563,0.5333333333333333,49,0.17833333333333332,0.1966706,0.9273922,0.38282254,-18.406105,5000.0,0.22752883,1000.0,0.50348365
