epoch,stats_g/mean,stats_o/mean,train/success_rate,train/critic_loss,train/episode,stats_o/std,test/success_rate,test/episode,test/mean_Q,stats_g/std
25,0.8386156,0.20166512,0.06,65138.8,2600.0,0.07607339,0.05000000000000001,520.0,103.11501,0.060999896
26,0.83854574,0.20165092,0.08833333333333333,63366.2,2700.0,0.07656213,0.075,540.0,96.877625,0.06101734
27,0.8386245,0.2016496,0.06666666666666667,69272.85,2800.0,0.07708877,0.09999999999999999,560.0,89.61204,0.060992643
28,0.8385832,0.20164709,0.051666666666666666,69670.48,2900.0,0.0773231,0.041666666666666664,580.0,104.44041,0.060993746
29,0.8385244,0.20156835,0.07333333333333333,66994.305,3000.0,0.077917606,0.041666666666666664,600.0,99.41931,0.0610145
30,0.83853674,0.20155795,0.07166666666666666,66388.12,3100.0,0.0782943,0.041666666666666664,620.0,89.55759,0.06100824
31,0.8384364,0.20153542,0.06,67335.445,3200.0,0.07902391,0.05833333333333334,640.0,102.605225,0.061030593
32,0.83846754,0.2015632,0.08166666666666667,71878.9,3300.0,0.07931181,0.08333333333333333,660.0,90.56643,0.061020765
33,0.8384652,0.20161797,0.06166666666666667,64002.27,3400.0,0.0796611,0.049999999999999996,680.0,78.05314,0.06101742
34,0.8384891,0.20157944,0.07,71464.1,3500.0,0.080037616,0.06666666666666667,700.0,90.374146,0.061012957
35,0.8385356,0.20159312,0.07166666666666667,68238.55,3600.0,0.08024529,0.09166666666666667,720.0,91.8652,0.06106551
36,0.8385957,0.20159169,0.07333333333333333,67675.98,3700.0,0.08045623,0.05833333333333334,740.0,93.82073,0.061092917
37,0.83855253,0.20155609,0.05833333333333334,68479.43,3800.0,0.08089099,0.075,760.0,92.16495,0.061064318
38,0.8385594,0.20154525,0.075,70708.44,3900.0,0.081221364,0.09166666666666667,780.0,94.70571,0.06105471
39,0.83857036,0.20156614,0.06666666666666667,63370.31,4000.0,0.08135844,0.075,800.0,87.78677,0.06102777
40,0.83852404,0.20153801,0.08166666666666667,62793.223,4100.0,0.081671536,0.06666666666666667,820.0,77.05831,0.061050806
41,0.83857566,0.20151351,0.07,72435.82,4200.0,0.081950635,0.025000000000000005,840.0,99.47294,0.06103165
42,0.83856875,0.20149596,0.08333333333333333,67476.96,4300.0,0.082386866,0.09166666666666667,860.0,91.85519,0.061017837
43,0.8385959,0.20148154,0.07333333333333333,67521.69,4400.0,0.08256753,0.05833333333333333,880.0,92.38458,0.061014984
44,0.8386062,0.20150024,0.056666666666666664,67040.68,4500.0,0.08276116,0.05833333333333333,900.0,80.72457,0.0610193
45,0.83857465,0.2014711,0.07833333333333332,67896.73,4600.0,0.08313121,0.041666666666666664,920.0,98.78402,0.06103042
46,0.83852834,0.20145309,0.08333333333333333,73752.2,4700.0,0.083438255,0.041666666666666664,940.0,100.23945,0.06105354
47,0.8385796,0.201402,0.056666666666666664,64403.938,4800.0,0.083614856,0.125,960.0,87.144646,0.0610451
48,0.83860254,0.2014087,0.07333333333333333,61317.094,4900.0,0.08385856,0.05833333333333333,980.0,92.6558,0.061054558
49,0.83865714,0.2014057,0.09000000000000001,58532.31,5000.0,0.08389631,0.11666666666666668,1000.0,84.36672,0.061039243
