stats_g/std,test/mean_Q,stats_o/std,stats_o/mean,train/episode,train/success_rate,epoch,stats_g/mean,test/ag_g_dist,test/episode,test/success_rate,train/critic_loss
0.2226728,-2.6043537,0.7708302,0.1962833,100.0,0.0,0,0.38247553,1.0377887,20.0,0.008333333333333333,0.123537876
0.2234381,-4.7763724,0.7621961,0.20081191,200.0,0.0016666666666666668,1,0.3821617,0.9688342,40.0,0.0,0.10518093
0.22476606,-6.9450784,0.7559641,0.20139825,300.0,0.0033333333333333335,2,0.38286853,0.9974982,60.0,0.008333333333333333,0.10869527
0.22578602,-8.596179,0.75537425,0.20140715,400.0,0.0033333333333333335,3,0.38213786,1.0019021,80.0,0.016666666666666666,0.1258113
0.22677903,-10.534369,0.75614667,0.2017479,500.0,0.0,4,0.3824667,0.9775321,100.0,0.025000000000000005,0.14001007
0.22630633,-12.250504,0.75741833,0.20181839,600.0,0.015,5,0.38273856,0.9939435,120.0,0.049999999999999996,0.13523574
0.2264461,-13.789436,0.7610257,0.20187272,700.0,0.024999999999999998,6,0.38348725,1.0122694,140.0,0.041666666666666664,0.14526308
0.22734661,-14.38155,0.7650973,0.20151603,800.0,0.02,7,0.38371518,0.88444513,160.0,0.05833333333333334,0.17782426
0.22763659,-15.89401,0.7700625,0.20137413,900.0,0.035,8,0.3833337,0.96545887,180.0,0.07500000000000001,0.1694902
0.2282443,-17.21546,0.7743867,0.20118618,1000.0,0.03166666666666667,9,0.38251385,0.9551213,200.0,0.075,0.17988223
0.22918181,-19.711685,0.77844787,0.2008649,1100.0,0.035,10,0.38172814,0.99475384,220.0,0.075,0.18587716
0.2290488,-18.975256,0.7829277,0.20062922,1200.0,0.07500000000000001,11,0.3816438,0.8834834,240.0,0.11666666666666668,0.19261956
0.2292002,-20.710646,0.7881022,0.20064007,1300.0,0.05833333333333333,12,0.38172224,0.9740607,260.0,0.1416666666666667,0.2305088
0.22938077,-20.390978,0.7934751,0.20058881,1400.0,0.07333333333333335,13,0.38180098,0.8518017,280.0,0.15000000000000002,0.21299784
0.22995107,-22.393526,0.7981343,0.20068228,1500.0,0.05666666666666667,14,0.38169202,0.91989964,300.0,0.11666666666666665,0.2454716
0.23067789,-20.395905,0.80256826,0.20061092,1600.0,0.051666666666666666,15,0.38151672,0.7957503,320.0,0.20000000000000004,0.24809611
0.23106854,-20.78688,0.80711144,0.20048936,1700.0,0.08333333333333333,16,0.3814061,0.81957054,340.0,0.17500000000000002,0.24274941
0.23131336,-24.65835,0.8125443,0.20030443,1800.0,0.08333333333333333,17,0.38140765,0.9109674,360.0,0.10833333333333334,0.29987934
0.2315623,-23.338793,0.81725764,0.20013337,1900.0,0.08833333333333333,18,0.3811532,0.8583887,380.0,0.20833333333333334,0.30742562
0.23172021,-23.057587,0.82260996,0.2000653,2000.0,0.07666666666666667,19,0.38112316,0.8015558,400.0,0.19166666666666665,0.2934645
0.23158334,-23.562506,0.82808155,0.20006265,2100.0,0.09666666666666668,20,0.38117656,0.824245,420.0,0.2333333333333333,0.32288805
0.23187383,-24.726015,0.83317703,0.20010303,2200.0,0.07833333333333332,21,0.38127103,0.8182304,440.0,0.18333333333333335,0.3256813
0.23202716,-24.945929,0.8380626,0.20005079,2300.0,0.09666666666666668,22,0.38152042,0.80282384,460.0,0.15833333333333333,0.35591277
0.2319311,-21.816505,0.84329915,0.19986157,2400.0,0.10833333333333335,23,0.38155255,0.7199304,480.0,0.275,0.38898602
0.23174591,-21.39736,0.8484767,0.19967802,2500.0,0.12166666666666666,24,0.3817381,0.69701767,500.0,0.25833333333333336,0.44860813
0.23153667,-21.142931,0.85339683,0.19956975,2600.0,0.09666666666666668,25,0.3817675,0.67953134,520.0,0.2916666666666667,0.3394657
0.2314055,-21.941055,0.85808223,0.19932126,2700.0,0.12666666666666668,26,0.3816059,0.69850063,540.0,0.2833333333333333,0.33137628
0.2312199,-21.74685,0.8627465,0.1991878,2800.0,0.15,27,0.38165864,0.67798805,560.0,0.3333333333333333,0.36719033
0.23098896,-19.134148,0.8675904,0.19891821,2900.0,0.135,28,0.3817459,0.57193965,580.0,0.39166666666666666,0.35871556
0.23083149,-18.09869,0.8722372,0.19869117,3000.0,0.14500000000000002,29,0.38163015,0.55729187,600.0,0.3666666666666667,0.40567586
0.23060746,-19.446894,0.8763692,0.19853634,3100.0,0.15166666666666667,30,0.38187218,0.5782065,620.0,0.4083333333333334,0.44259027
0.23070575,-21.540197,0.88031435,0.19833916,3200.0,0.135,31,0.38182783,0.65150946,640.0,0.3333333333333333,0.49904433
0.23047076,-19.40106,0.88430244,0.1982088,3300.0,0.13,32,0.38180766,0.57551473,660.0,0.3666666666666667,0.46488297
