stats_o/mean,test/ag_g_dist,test/mean_Q,test/success_rate,stats_g/std,train/episode,train/success_rate,train/critic_loss,stats_g/mean,stats_o/std,test/episode,epoch
0.19654973,0.6018529,-33.445072,0.008333333333333333,0.2361002,3700.0,0.011666666666666665,0.3934438,0.38948646,0.85698587,740.0,36
0.19651957,0.6581761,-35.692707,0.03333333333333333,0.23589866,3800.0,0.0033333333333333335,0.7295392,0.38970813,0.8595502,760.0,37
0.19655985,0.6458182,-35.139935,0.016666666666666666,0.23576446,3900.0,0.015,0.3417933,0.38994774,0.86205244,780.0,38
0.1966332,0.6861227,-37.22311,0.016666666666666666,0.23563568,4000.0,0.006666666666666667,0.46213627,0.38983384,0.8643449,800.0,39
0.19671386,0.511793,-32.18596,0.0,0.23539257,4100.0,0.011666666666666667,0.4267913,0.38989052,0.8667226,820.0,40
0.19685508,0.5707914,-32.67927,0.05833333333333334,0.23522915,4200.0,0.005,0.40881526,0.3899772,0.8688695,840.0,41
0.19689846,0.61759055,-35.931713,0.041666666666666664,0.23517402,4300.0,0.005,0.3680849,0.39005533,0.87080735,860.0,42
0.19689494,0.71570945,-38.870213,0.041666666666666664,0.23509312,4400.0,0.011666666666666667,0.3674951,0.39022592,0.87262607,880.0,43
0.19684774,0.67517424,-37.997574,0.0,0.23492534,4500.0,0.011666666666666667,0.4413321,0.39029637,0.87423986,900.0,44
0.19682007,0.5453939,-36.741634,0.03333333333333333,0.23483495,4600.0,0.011666666666666667,0.3784462,0.39036533,0.87595946,920.0,45
0.1968746,0.6083484,-37.674885,0.0,0.23466027,4700.0,0.008333333333333333,0.45400274,0.39054003,0.877654,940.0,46
0.1970359,0.6361058,-39.15006,0.03333333333333333,0.23455293,4800.0,0.01,0.45761383,0.39068517,0.87917286,960.0,47
0.19707064,0.66979975,-38.324455,0.025000000000000005,0.23447783,4900.0,0.008333333333333333,0.3167317,0.39069203,0.88068753,980.0,48
0.19710384,0.6009795,-37.909836,0.03333333333333333,0.23448563,5000.0,0.005,0.4240313,0.39066938,0.8822489,1000.0,49
