test/mean_Q,test/ag_g_dist,test/episode,test/success_rate,train/episode,train/critic_loss,epoch,stats_g/mean,train/success_rate,stats_g/std,stats_o/mean,stats_o/std
-2.266507,0.04098766,440.0,0.9083333333333333,2200.0,0.2888889,21,0.8388668,0.515,0.078692086,0.20123762,0.11942556
-2.2826774,0.042653173,460.0,0.975,2300.0,0.2973741,22,0.83875746,0.49333333333333335,0.0785179,0.2012303,0.12042243
-2.3348854,0.043710366,480.0,0.9583333333333334,2400.0,0.27109364,23,0.83881956,0.5716666666666667,0.078317545,0.20118694,0.12117732
-2.126591,0.040322315,500.0,0.9666666666666667,2500.0,0.30114362,24,0.8388408,0.5166666666666667,0.07842546,0.20117342,0.12212262
-2.5432656,0.046301376,520.0,0.9333333333333332,2600.0,0.29764757,25,0.83877516,0.49000000000000005,0.07855368,0.20119406,0.12317076
-2.4358928,0.043622654,540.0,0.9583333333333334,2700.0,0.3179553,26,0.8387558,0.5316666666666666,0.078403704,0.20110966,0.12392625
-2.1118264,0.03793628,560.0,0.9333333333333332,2800.0,0.21086328,27,0.83884555,0.5116666666666667,0.07822361,0.2011757,0.12444464
-2.4445477,0.04610518,580.0,0.975,2900.0,0.3059294,28,0.8387925,0.535,0.07827983,0.20116322,0.12515078
-2.4935658,0.045668233,600.0,0.9500000000000001,3000.0,0.30241126,29,0.838743,0.5399999999999999,0.07822154,0.2011301,0.12577868
-1.9085811,0.03826675,620.0,0.9583333333333334,3100.0,0.23371929,30,0.83876365,0.51,0.078245245,0.20112173,0.12648611
-2.0475466,0.04113829,640.0,0.975,3200.0,0.22975414,31,0.8386746,0.5416666666666666,0.07815863,0.201141,0.12704697
-1.8809457,0.039687652,660.0,1.0,3300.0,0.25742438,32,0.838723,0.515,0.07809338,0.20116849,0.12749696
-1.7789149,0.037190374,680.0,0.975,3400.0,0.20959465,33,0.83871883,0.5616666666666666,0.07798356,0.20123386,0.12792116
-2.105527,0.03786035,700.0,0.9583333333333334,3500.0,0.24553633,34,0.8387177,0.54,0.078084566,0.20128155,0.12843694
-1.7984214,0.03767107,720.0,0.975,3600.0,0.23225729,35,0.8387759,0.5266666666666667,0.078146935,0.20133515,0.12890173
-2.065319,0.040364947,740.0,0.9583333333333334,3700.0,0.29209116,36,0.83884174,0.5383333333333334,0.07814384,0.20138551,0.1293363
-2.1515858,0.043163214,760.0,0.9499999999999998,3800.0,0.38840437,37,0.83880526,0.5750000000000001,0.07804332,0.20145436,0.12971245
-2.1021779,0.042650085,780.0,0.9499999999999998,3900.0,0.29200348,38,0.8388436,0.5266666666666667,0.077948466,0.2014678,0.1301011
-1.8328832,0.040259693,800.0,0.9916666666666667,4000.0,0.28205964,39,0.8388403,0.5283333333333333,0.07796147,0.20150478,0.13041627
-2.0668552,0.03932104,820.0,0.975,4100.0,0.2710166,40,0.8387911,0.5483333333333333,0.07787893,0.20154172,0.13080363
-1.992364,0.041838918,840.0,0.9666666666666667,4200.0,0.2902646,41,0.8388464,0.5399999999999999,0.07791413,0.20155805,0.1311658
-1.8994808,0.039486498,860.0,0.9833333333333334,4300.0,0.22127889,42,0.8388373,0.56,0.07798474,0.20152242,0.13148879
-1.851933,0.04124037,880.0,0.9583333333333334,4400.0,0.35522115,43,0.8388591,0.5183333333333334,0.07808966,0.20151694,0.131842
-1.9013351,0.039481055,900.0,0.9833333333333334,4500.0,0.26460278,44,0.838864,0.5483333333333333,0.07801783,0.20157795,0.1320251
-1.9531208,0.042299975,920.0,0.9916666666666667,4600.0,0.2607554,45,0.83882433,0.5216666666666666,0.07813569,0.20156007,0.1322495
-1.9455334,0.041849833,940.0,0.9916666666666667,4700.0,0.2736455,46,0.83877116,0.5399999999999999,0.07818561,0.20150872,0.13256636
-1.9572634,0.040648594,960.0,0.9499999999999998,4800.0,0.37533298,47,0.8388203,0.525,0.07813066,0.20148088,0.13283554
-1.8559183,0.041209355,980.0,0.9833333333333334,4900.0,0.28628072,48,0.8388429,0.5583333333333333,0.078064464,0.20147848,0.13301772
-1.764417,0.037683878,1000.0,0.975,5000.0,0.30982345,49,0.8388989,0.5466666666666666,0.0779653,0.20149074,0.13323075
-1.9761556,0.041173782,1020.0,0.9916666666666667,5100.0,0.27989176,50,0.8389072,0.5633333333333334,0.07791955,0.20148355,0.13339107
-1.9130646,0.040081292,1040.0,0.9499999999999998,5200.0,0.2613845,51,0.8389198,0.5416666666666666,0.07788979,0.20144314,0.13363224
-1.6772504,0.035993457,1060.0,0.9916666666666667,5300.0,0.26674,52,0.8389172,0.5566666666666668,0.07780901,0.20142753,0.13376893
-1.7157041,0.03676955,1080.0,0.975,5400.0,0.25652662,53,0.8388981,0.515,0.07786293,0.2013673,0.13399708
-1.6145939,0.036444094,1100.0,0.975,5500.0,0.19883947,54,0.83888596,0.56,0.0778271,0.2013288,0.13412306
-1.8838301,0.039707325,1120.0,0.9916666666666667,5600.0,0.37041962,55,0.8389001,0.555,0.077752836,0.20132227,0.13428496
-1.8525616,0.04039957,1140.0,0.9833333333333334,5700.0,0.25084016,56,0.83888084,0.5750000000000001,0.07778823,0.20134705,0.13443771
-1.9157189,0.041351244,1160.0,0.9916666666666667,5800.0,0.26528218,57,0.83890724,0.5650000000000001,0.07780813,0.20134777,0.13463435
-1.8125333,0.04060697,1180.0,0.9833333333333334,5900.0,0.3980235,58,0.83887124,0.5566666666666666,0.077740215,0.20131914,0.13475375
-1.9413457,0.03986155,1200.0,1.0,6000.0,0.2843504,59,0.83888096,0.5549999999999999,0.077693306,0.2013085,0.1349011
