stats_o/mean,train/success_rate,stats_o/std,test/episode,test/mean_Q,test/reward_compute_count,epoch,stats_g/std,train/critic_loss,stats_g/mean,train/episode,test/ag_g_dist,train/reward_compute_count,test/success_rate
0.19640805,0.015000000000000001,0.8880761,700.0,-18.599989,35000.0,34,0.23198225,0.30703524,0.37431654,3500.0,0.7610567,175000.0,0.03333333333333333
0.19610077,0.013333333333333334,0.8911248,720.0,-16.217035,36000.0,35,0.23175584,0.3646913,0.37416562,3600.0,0.6059524,180000.0,0.05833333333333333
0.19582243,0.016666666666666666,0.89414555,740.0,-15.205284,37000.0,36,0.23149323,0.27085134,0.37433133,3700.0,0.5823119,185000.0,0.041666666666666664
0.1955747,0.011666666666666667,0.897095,760.0,-16.69777,38000.0,37,0.23118353,0.37522063,0.3744683,3800.0,0.6466208,190000.0,0.049999999999999996
0.19530703,0.016666666666666666,0.89982677,780.0,-15.826023,39000.0,38,0.23084617,0.29476428,0.37460104,3900.0,0.6420215,195000.0,0.041666666666666664
0.19501264,0.011666666666666667,0.90265304,800.0,-16.66508,40000.0,39,0.23056616,0.34614372,0.37468752,4000.0,0.68545866,200000.0,0.03333333333333333
0.19481534,0.013333333333333334,0.90528584,820.0,-14.852422,41000.0,40,0.23028271,0.31169805,0.37485313,4100.0,0.6164628,205000.0,0.10833333333333334
0.19462472,0.021666666666666667,0.9078927,840.0,-15.400166,42000.0,41,0.2300051,0.37558448,0.3750879,4200.0,0.63996685,210000.0,0.09166666666666667
0.19430085,0.013333333333333334,0.91023946,860.0,-14.354653,43000.0,42,0.22988693,0.30502573,0.37510237,4300.0,0.5924137,215000.0,0.075
0.19408405,0.016666666666666666,0.91263413,880.0,-14.908336,44000.0,43,0.22970562,0.3602461,0.37511745,4400.0,0.6077381,220000.0,0.09999999999999999
0.19397728,0.034999999999999996,0.9147293,900.0,-14.14284,45000.0,44,0.2294418,0.31909493,0.37530872,4500.0,0.5889565,225000.0,0.10833333333333332
0.19381577,0.023333333333333334,0.9168818,920.0,-14.155117,46000.0,45,0.22931136,0.30412722,0.3753369,4600.0,0.5984253,230000.0,0.08333333333333333
0.1935461,0.021666666666666667,0.9188774,940.0,-14.43794,47000.0,46,0.22917612,0.34848705,0.37540475,4700.0,0.5902143,235000.0,0.11666666666666665
0.19330162,0.013333333333333334,0.92092425,960.0,-14.934349,48000.0,47,0.22897156,0.33588377,0.3755642,4800.0,0.6329356,240000.0,0.06666666666666667
0.19321978,0.028333333333333332,0.9228093,980.0,-15.569057,49000.0,48,0.22878556,0.38602057,0.37580347,4900.0,0.6269341,245000.0,0.13333333333333333
0.19304271,0.015,0.9247468,1000.0,-12.765588,50000.0,49,0.22862102,0.29372427,0.3758533,5000.0,0.5272685,250000.0,0.15833333333333335
0.19285901,0.016666666666666666,0.92651445,1020.0,-13.223186,51000.0,50,0.22843988,0.38240576,0.37600318,5100.0,0.58275473,255000.0,0.125
0.19275539,0.03,0.92848057,1040.0,-13.449792,52000.0,51,0.22828428,0.37720704,0.37611842,5200.0,0.5643873,260000.0,0.10833333333333334
0.1926143,0.035,0.9301417,1060.0,-14.545518,53000.0,52,0.22814502,0.3841027,0.37620023,5300.0,0.6095654,265000.0,0.12500000000000003
0.19245811,0.02666666666666667,0.93183476,1080.0,-13.608499,54000.0,53,0.22798325,0.30604294,0.3763145,5400.0,0.60169125,270000.0,0.19166666666666665
0.1923676,0.015000000000000001,0.93349034,1100.0,-13.30544,55000.0,54,0.22780411,0.35387066,0.37645653,5500.0,0.55858755,275000.0,0.11666666666666665
0.19223958,0.035,0.9351168,1120.0,-13.647983,56000.0,55,0.22765173,0.32905805,0.37660465,5600.0,0.57535595,280000.0,0.09999999999999999
0.19208388,0.025000000000000005,0.9366861,1140.0,-12.807673,57000.0,56,0.2274987,0.36753678,0.3768408,5700.0,0.58062536,285000.0,0.18333333333333335
0.19192271,0.02,0.93825144,1160.0,-12.906241,58000.0,57,0.22734831,0.37489772,0.37707654,5800.0,0.5485865,290000.0,0.125
0.19181228,0.03166666666666667,0.93971616,1180.0,-11.367935,59000.0,58,0.2272265,0.3301278,0.3771319,5900.0,0.4729147,295000.0,0.09999999999999999
0.1917051,0.02,0.9411331,1200.0,-12.329877,60000.0,59,0.22714417,0.37137303,0.37726817,6000.0,0.5475722,300000.0,0.1416666666666667
