test/ag_g_dist,test/episode,stats_g/mean,test/mean_Q,train/episode,stats_g/std,train/success_rate,train/critic_loss,epoch,test/success_rate,stats_o/std,stats_o/mean
0.8361471,340.0,0.3486692,-19.91078,1700.0,0.1788594,0.0016666666666666668,0.16969411,16,0.08333333333333333,0.7836301,0.20040883
0.82618946,360.0,0.3497297,-21.651285,1800.0,0.18012936,0.008333333333333333,0.16331345,17,0.05000000000000001,0.7879854,0.20036797
0.77946806,380.0,0.3507323,-21.844511,1900.0,0.18165351,0.0033333333333333335,0.16161282,18,0.05833333333333333,0.79223126,0.20041537
0.7620397,400.0,0.35152796,-22.33726,2000.0,0.18287002,0.011666666666666665,0.1566245,19,0.15833333333333335,0.79646176,0.2007124
0.7840576,420.0,0.35203257,-23.121206,2100.0,0.18390237,0.021666666666666667,0.14972897,20,0.09166666666666667,0.80038005,0.200948
0.7595219,440.0,0.352837,-24.132492,2200.0,0.18486597,0.018333333333333333,0.18539433,21,0.11666666666666665,0.8044216,0.20110619
0.70124346,460.0,0.353269,-21.656889,2300.0,0.18594785,0.006666666666666667,0.17971408,22,0.08333333333333333,0.80821186,0.20116222
0.653184,480.0,0.3538141,-19.723944,2400.0,0.18695168,0.015000000000000001,0.1873588,23,0.1416666666666667,0.81212884,0.20117228
0.6688328,500.0,0.35420188,-21.544106,2500.0,0.18767534,0.005,0.20192392,24,0.15833333333333335,0.81579036,0.20136923
0.66816574,520.0,0.35444966,-21.622995,2600.0,0.18846239,0.006666666666666667,0.20665772,25,0.13333333333333333,0.8192925,0.2012073
0.68510836,540.0,0.35475448,-23.00097,2700.0,0.18907748,0.0016666666666666668,0.18120773,26,0.18333333333333335,0.8227916,0.20128079
0.75159675,560.0,0.35513052,-24.792175,2800.0,0.18972822,0.01,0.1901992,27,0.13333333333333333,0.82622355,0.20115513
0.67846155,580.0,0.35534438,-23.02046,2900.0,0.19031811,0.006666666666666667,0.21137713,28,0.18333333333333335,0.82964617,0.20127957
0.7187503,600.0,0.35554186,-23.63769,3000.0,0.19081783,0.013333333333333334,0.20166658,29,0.15833333333333333,0.83286405,0.20135589
0.67493135,620.0,0.35595796,-23.415674,3100.0,0.19115345,0.01,0.20364778,30,0.19999999999999998,0.8359782,0.20148773
0.6738866,640.0,0.35625944,-24.830439,3200.0,0.19162042,0.0033333333333333335,0.31952596,31,0.11666666666666665,0.8388006,0.20158483
0.6576664,660.0,0.3565826,-23.519455,3300.0,0.1922587,0.005,0.2271206,32,0.20000000000000004,0.84176993,0.20151837
0.62671417,680.0,0.35683998,-23.28221,3400.0,0.19276954,0.006666666666666667,0.26104552,33,0.21666666666666667,0.8444645,0.20152785
0.6604398,700.0,0.3572525,-23.21187,3500.0,0.19324155,0.006666666666666667,0.19292676,34,0.18333333333333335,0.8473521,0.20156758
0.6449391,720.0,0.35751483,-22.372925,3600.0,0.19364505,0.005,0.6148339,35,0.13333333333333333,0.85013944,0.20156084
0.6963056,740.0,0.35768083,-25.015594,3700.0,0.19392125,0.006666666666666667,0.22254777,36,0.13333333333333333,0.8527854,0.20154409
0.63209915,760.0,0.35774562,-23.3172,3800.0,0.19421752,0.006666666666666667,0.29588702,37,0.06666666666666667,0.8551201,0.201607
0.710145,780.0,0.3579431,-25.13906,3900.0,0.19463754,0.011666666666666667,0.23247695,38,0.15833333333333333,0.85789186,0.2016639
0.7583704,800.0,0.3579779,-28.204897,4000.0,0.19510768,0.005,0.20469588,39,0.1416666666666667,0.86066675,0.20177704
0.64872456,820.0,0.35813212,-23.6177,4100.0,0.19564785,0.011666666666666667,0.18913431,40,0.19166666666666665,0.86333865,0.20183891
0.72770005,840.0,0.3581698,-25.692192,4200.0,0.19609745,0.011666666666666667,0.19029315,41,0.15,0.86579376,0.20190306
0.6373325,860.0,0.35831746,-22.345026,4300.0,0.1963722,0.008333333333333333,0.21138227,42,0.17499999999999996,0.86789614,0.20196468
0.59276754,880.0,0.35838675,-21.961702,4400.0,0.1967025,0.01,0.24422021,43,0.23333333333333336,0.86989385,0.20189919
0.63017887,900.0,0.3584248,-23.364721,4500.0,0.1970355,0.011666666666666667,0.23392074,44,0.18333333333333335,0.8718956,0.20200145
0.62299365,920.0,0.35841975,-22.495407,4600.0,0.19746487,0.011666666666666667,0.23963945,45,0.17500000000000002,0.87382334,0.20209701
0.6667345,940.0,0.35853705,-24.59127,4700.0,0.19773875,0.01,0.27687362,46,0.15,0.87570906,0.20193489
0.69166183,960.0,0.35865065,-24.169731,4800.0,0.19803448,0.011666666666666667,0.2015497,47,0.14166666666666664,0.87750477,0.20182274
0.6226647,980.0,0.3587543,-23.383383,4900.0,0.19829857,0.008333333333333333,0.19953144,48,0.2333333333333333,0.879149,0.20176785
0.68818617,1000.0,0.35873696,-24.997458,5000.0,0.19855992,0.005,0.2707271,49,0.21666666666666667,0.88067704,0.20168127
