stats_g/mean,test/mean_Q,test/success_rate,train/critic_loss,stats_o/mean,stats_g/std,train/success_rate,epoch,test/ag_g_dist,train/episode,stats_o/std,test/episode
0.8424334,-2.3781927,0.0,0.0025742603,0.20280354,0.09187028,0.0016666666666666668,0,0.23722328,100.0,0.051846966,20.0
0.8446521,-4.3254585,0.0,0.002692689,0.20324664,0.09242428,0.005,1,0.22192828,200.0,0.0495076,40.0
0.8451794,-6.2707596,0.0,0.0028740603,0.20360976,0.09318898,0.0033333333333333335,2,0.21756966,300.0,0.04999152,60.0
0.8453899,-8.165046,0.008333333333333333,0.005170222,0.20362906,0.09561404,0.0016666666666666668,3,0.22947186,400.0,0.053399857,80.0
0.8449054,-10.134464,0.0,0.006849701,0.20356674,0.0978206,0.0016666666666666668,4,0.23722821,500.0,0.059434753,100.0
0.8448486,-11.632427,0.016666666666666666,0.017859915,0.20385557,0.099965535,0.0016666666666666668,5,0.23928694,600.0,0.06426428,120.0
0.8448308,-12.657277,0.008333333333333333,0.019103589,0.2040865,0.10093653,0.005,6,0.24771863,700.0,0.06970149,140.0
0.8449114,-12.621483,0.041666666666666664,0.038842596,0.20394804,0.10225817,0.006666666666666667,7,0.21986322,800.0,0.07576984,160.0
0.8450658,-11.849832,0.075,0.045062695,0.2039041,0.103803016,0.024999999999999998,8,0.1963613,900.0,0.08151659,180.0
0.8451779,-12.21333,0.09166666666666667,0.046793554,0.2037508,0.10431402,0.01833333333333333,9,0.2078492,1000.0,0.08694574,200.0
0.8451074,-11.126515,0.13333333333333333,0.08073152,0.20384823,0.10488963,0.030000000000000002,10,0.16654137,1100.0,0.09078028,220.0
0.8449786,-13.766406,0.10000000000000002,0.07906819,0.2036192,0.10514072,0.03,11,0.20229872,1200.0,0.09565262,240.0
0.8448178,-13.352173,0.125,0.067550935,0.20370688,0.1050654,0.041666666666666664,12,0.18201798,1300.0,0.09916366,260.0
0.84471875,-13.5362215,0.16666666666666666,0.13888894,0.20366363,0.10599604,0.045000000000000005,13,0.18541789,1400.0,0.10211143,280.0
0.84461254,-13.925509,0.225,0.10005239,0.20388412,0.106248684,0.07166666666666667,14,0.1856144,1500.0,0.10528483,300.0
0.8443981,-12.153343,0.2833333333333334,0.10546125,0.20387964,0.10625366,0.10833333333333335,15,0.15539978,1600.0,0.10720194,320.0
0.8443766,-11.541019,0.32499999999999996,0.10825858,0.20392798,0.106152855,0.12333333333333334,16,0.15627557,1700.0,0.1087876,340.0
0.8442812,-12.580829,0.4083333333333334,0.0971342,0.20397861,0.106271885,0.135,17,0.15931858,1800.0,0.11063822,360.0
0.8441267,-12.51091,0.4166666666666667,0.07933634,0.20388485,0.106482804,0.15333333333333335,18,0.16976239,1900.0,0.11144665,380.0
0.8443675,-12.849929,0.49166666666666664,0.14898714,0.20384999,0.10644468,0.19499999999999998,19,0.16896206,2000.0,0.11198911,400.0
0.8442666,-11.675706,0.47500000000000003,0.0785825,0.20385693,0.10621657,0.26666666666666666,20,0.13731372,2100.0,0.112181574,420.0
0.8444557,-11.124348,0.5583333333333332,0.09852416,0.20381041,0.105956085,0.24833333333333332,21,0.13184465,2200.0,0.11221471,440.0
0.8443834,-9.885922,0.625,0.08638891,0.20382215,0.105766915,0.23,22,0.12713072,2300.0,0.11232332,460.0
0.84451836,-13.953857,0.4666666666666666,0.1384757,0.20382482,0.10548409,0.2316666666666667,23,0.1678345,2400.0,0.11214298,480.0
0.8446238,-11.966954,0.5750000000000001,0.0709217,0.20385772,0.10532615,0.24666666666666667,24,0.15156722,2500.0,0.11176696,500.0
0.8446806,-13.296288,0.525,0.06903613,0.20387119,0.104947984,0.25333333333333335,25,0.15323469,2600.0,0.1110264,520.0
0.8448476,-14.906975,0.5,0.0736588,0.20388944,0.1046209,0.26,26,0.1679594,2700.0,0.11055998,540.0
0.8448995,-14.555481,0.5333333333333333,0.07227995,0.20393974,0.104521126,0.26333333333333336,27,0.15085532,2800.0,0.110339545,560.0
0.8449672,-13.225816,0.5750000000000001,0.13453114,0.20398565,0.104276694,0.24833333333333338,28,0.14438112,2900.0,0.10992589,580.0
0.84504324,-11.166926,0.6416666666666666,0.07987409,0.20395152,0.104174614,0.225,29,0.11759439,3000.0,0.10963263,600.0
0.8451145,-14.900073,0.5916666666666667,0.061376777,0.20392247,0.10400748,0.21333333333333335,30,0.15458214,3100.0,0.10929149,620.0
0.84518486,-15.192178,0.5499999999999999,0.06770318,0.20389773,0.10377703,0.26833333333333337,31,0.14202884,3200.0,0.10880852,640.0
0.84509945,-14.769424,0.6583333333333333,0.05569197,0.20385969,0.10360256,0.225,32,0.12049983,3300.0,0.10850421,660.0
0.8451905,-13.934247,0.65,0.054484144,0.20386179,0.103328615,0.2783333333333334,33,0.123904146,3400.0,0.10801629,680.0
0.8452153,-14.401605,0.6666666666666666,0.046522617,0.20390336,0.10309424,0.2866666666666667,34,0.123648174,3500.0,0.107670344,700.0
0.84534883,-13.739268,0.6666666666666666,0.04685765,0.20391089,0.10283775,0.22999999999999998,35,0.1308137,3600.0,0.10729874,720.0
0.84541434,-13.864418,0.6666666666666666,0.043817405,0.20391417,0.10259821,0.25666666666666665,36,0.122174375,3700.0,0.10693717,740.0
0.84550375,-14.1901655,0.7833333333333332,0.08119952,0.20396473,0.10255333,0.24333333333333332,37,0.10887221,3800.0,0.10673332,760.0
0.8455717,-14.922219,0.725,0.055823848,0.20397246,0.10238556,0.23500000000000001,38,0.12072655,3900.0,0.10639729,780.0
0.84560114,-14.971255,0.6666666666666666,0.10467721,0.20399113,0.10223401,0.26333333333333336,39,0.121981464,4000.0,0.10613803,800.0
0.8456704,-15.675506,0.65,0.047577947,0.20404784,0.102119185,0.2816666666666667,40,0.12540281,4100.0,0.10599498,820.0
0.84575766,-13.685979,0.7166666666666667,0.060694322,0.2040609,0.10196801,0.25333333333333335,41,0.09795603,4200.0,0.105831325,840.0
0.8457809,-15.087102,0.6833333333333332,0.053622175,0.20405453,0.10185557,0.25166666666666665,42,0.10649585,4300.0,0.10569378,860.0
0.8458452,-14.133437,0.6833333333333332,0.07095156,0.20408209,0.10183609,0.26166666666666666,43,0.10322835,4400.0,0.10551562,880.0
0.84586614,-17.360783,0.65,0.04771233,0.20407079,0.101834856,0.25833333333333336,44,0.13078584,4500.0,0.10540939,900.0
0.84593755,-14.199084,0.775,0.07982412,0.20408984,0.10186877,0.26833333333333337,45,0.1004292,4600.0,0.10533329,920.0
0.8459862,-14.840424,0.6749999999999999,0.06346766,0.20413469,0.10176913,0.27166666666666667,46,0.10070231,4700.0,0.10515032,940.0
0.84600043,-16.104996,0.7000000000000001,0.054865982,0.2041275,0.10171756,0.27666666666666667,47,0.11421659,4800.0,0.10495623,960.0
