train/critic_loss,test/mean_Q,train/success_rate,train/reward_compute_count,stats_o/std,test/ag_g_dist,stats_g/std,test/reward_compute_count,stats_o/mean,test/episode,test/success_rate,epoch,stats_g/mean,train/episode
0.047152866,-2.5123796,0.0016666666666666668,5000.0,0.060741406,0.4785583,0.124366455,1000.0,0.1766352,20.0,0.0,0,0.7410262,100.0
0.046469867,-4.48113,0.0016666666666666668,10000.0,0.058400113,0.4462653,0.12328785,2000.0,0.1761934,40.0,0.008333333333333333,1,0.74230814,200.0
0.042468917,-6.3078322,0.005,15000.0,0.057758044,0.42253104,0.12531184,3000.0,0.17683052,60.0,0.008333333333333333,2,0.7435693,300.0
0.04702558,-8.489161,0.008333333333333333,20000.0,0.06046118,0.46422324,0.1331805,4000.0,0.17732282,80.0,0.0,3,0.74502295,400.0
0.04836447,-10.264272,0.006666666666666667,25000.0,0.0635435,0.4527475,0.13942349,5000.0,0.17813294,100.0,0.008333333333333333,4,0.7475822,500.0
0.050172362,-12.073697,0.005,30000.0,0.065957576,0.48938242,0.14656034,6000.0,0.17849831,120.0,0.0,5,0.74825096,600.0
0.06025878,-12.780261,0.006666666666666667,35000.0,0.06927272,0.46174505,0.15518858,7000.0,0.17936927,140.0,0.05000000000000001,6,0.75222015,700.0
0.08386246,-13.202687,0.008333333333333333,40000.0,0.07127545,0.4087493,0.16057079,8000.0,0.17976193,160.0,0.016666666666666666,7,0.7544181,800.0
0.09012023,-14.977695,0.021666666666666667,45000.0,0.0749318,0.43995023,0.16600011,9000.0,0.18039386,180.0,0.025000000000000005,8,0.75747424,900.0
0.13263349,-15.537921,0.04,50000.0,0.078912385,0.41176155,0.17339553,10000.0,0.18073046,200.0,0.0,9,0.7603803,1000.0
0.10752704,-16.320366,0.03166666666666667,55000.0,0.08291576,0.44087768,0.18004817,11000.0,0.18125324,220.0,0.03333333333333333,10,0.76379496,1100.0
0.1413435,-16.743473,0.03,60000.0,0.08597106,0.41915175,0.18404657,12000.0,0.18176411,240.0,0.025000000000000005,11,0.767054,1200.0
0.1813548,-16.905767,0.03666666666666667,65000.0,0.087592326,0.3893535,0.1871255,13000.0,0.18220077,260.0,0.049999999999999996,12,0.7693643,1300.0
0.3189052,-18.80393,0.043333333333333335,70000.0,0.08971742,0.39154032,0.18977217,14000.0,0.18256336,280.0,0.0,13,0.7718672,1400.0
0.22074622,-18.399431,0.04,75000.0,0.09155776,0.36404884,0.19269311,15000.0,0.1830626,300.0,0.041666666666666664,14,0.77482265,1500.0
0.37996995,-18.460491,0.03166666666666667,80000.0,0.09284112,0.3465611,0.19521213,16000.0,0.18377803,320.0,0.05833333333333334,15,0.77785826,1600.0
0.24247973,-17.26034,0.03166666666666667,85000.0,0.094364546,0.29459268,0.19776912,17000.0,0.18429673,340.0,0.08333333333333333,16,0.78052807,1700.0
0.2017016,-19.710052,0.05833333333333333,90000.0,0.09576931,0.35995188,0.19943158,18000.0,0.18490411,360.0,0.06666666666666667,17,0.78401685,1800.0
0.7231371,-20.254486,0.043333333333333335,95000.0,0.09700576,0.33327374,0.20075774,19000.0,0.18534927,380.0,0.03333333333333333,18,0.7865665,1900.0
0.47582206,-19.097559,0.049999999999999996,100000.0,0.09831586,0.30293074,0.20282327,20000.0,0.185818,400.0,0.09166666666666667,19,0.78919584,2000.0
0.99053603,-19.657297,0.04833333333333334,105000.0,0.099119864,0.3124777,0.20412238,21000.0,0.1862203,420.0,0.075,20,0.79161096,2100.0
1.1115563,-20.057753,0.041666666666666664,110000.0,0.09970195,0.29658338,0.20469908,22000.0,0.18662466,440.0,0.13333333333333333,21,0.7937868,2200.0
1.4244299,-23.105478,0.05333333333333334,115000.0,0.101045035,0.28178552,0.20599073,23000.0,0.18685745,460.0,0.05833333333333334,22,0.79542047,2300.0
0.8066955,-23.22619,0.07666666666666667,120000.0,0.10190705,0.31755272,0.20689203,24000.0,0.1872933,480.0,0.03333333333333333,23,0.79763746,2400.0
0.96976215,-19.535393,0.06,125000.0,0.10249677,0.23443906,0.20762055,25000.0,0.18761629,500.0,0.1416666666666667,24,0.7994046,2500.0
