test/episode,train/reward_compute_count,test/mean_Q,train/episode,stats_o/std,train/critic_loss,stats_g/mean,epoch,test/ag_g_dist,stats_g/std,train/success_rate,stats_o/mean,test/success_rate,test/reward_compute_count
20.0,5000.0,-2.7704093,100.0,0.7294421,0.0027681452,0.36059812,0,0.99850434,0.13805445,0.0,0.2049452,0.0,1000.0
40.0,10000.0,-4.914736,200.0,0.71875924,0.0015743753,0.35945702,1,0.9886453,0.13910244,0.0,0.20615195,0.0,2000.0
60.0,15000.0,-6.929856,300.0,0.708772,0.0013990399,0.35976014,2,0.9436858,0.13913533,0.0,0.20596497,0.0,3000.0
80.0,20000.0,-8.898894,400.0,0.70096797,0.0005081172,0.3598976,3,0.96010417,0.13911723,0.0,0.20491095,0.0,4000.0
100.0,25000.0,-10.829623,500.0,0.6962736,0.00040282868,0.3602474,4,0.9478224,0.13816726,0.0,0.20471883,0.0,5000.0
120.0,30000.0,-12.698322,600.0,0.69250256,0.00045540277,0.3604866,5,0.94051546,0.13787457,0.0,0.20471013,0.0,6000.0
140.0,35000.0,-14.469884,700.0,0.6896507,0.00034412733,0.3608745,6,1.016302,0.13702339,0.0,0.20459373,0.0,7000.0
160.0,40000.0,-16.138113,800.0,0.68799686,0.0003420258,0.36112198,7,1.0034236,0.13718227,0.0,0.20454895,0.0,8000.0
180.0,45000.0,-17.73143,900.0,0.68679404,0.00040177404,0.36117867,8,0.951976,0.13695695,0.0,0.204374,0.0,9000.0
200.0,50000.0,-19.266808,1000.0,0.68570703,0.00041036765,0.3611944,9,0.93804026,0.13675246,0.0016666666666666668,0.20425485,0.0,10000.0
220.0,55000.0,-20.766619,1100.0,0.6847048,0.00070237805,0.36103997,10,0.9780099,0.13660997,0.0,0.2040657,0.0,11000.0
240.0,60000.0,-22.148064,1200.0,0.6835492,0.00052148703,0.36122188,11,0.9885559,0.13646522,0.0,0.2040012,0.0,12000.0
260.0,65000.0,-23.460266,1300.0,0.6826493,0.0007843852,0.36109194,12,0.96291417,0.13651247,0.0,0.20384525,0.0,13000.0
