test/episode,train/reward_compute_count,test/mean_Q,train/episode,stats_o/std,train/critic_loss,stats_g/mean,epoch,test/ag_g_dist,stats_g/std,train/success_rate,stats_o/mean,test/success_rate,test/reward_compute_count
280.0,70000.0,-24.779907,1400.0,0.6825916,0.0008721005,0.3609645,13,0.9741866,0.13694853,0.0016666666666666668,0.20376773,0.0,14000.0
300.0,75000.0,-25.93997,1500.0,0.6827814,0.00056811393,0.36075774,14,0.9796975,0.13780048,0.0,0.20368034,0.0,15000.0
320.0,80000.0,-27.052338,1600.0,0.6833527,0.0017123953,0.36047912,15,0.98896796,0.13883315,0.0,0.20366704,0.0,16000.0
340.0,85000.0,-28.10099,1700.0,0.68371266,0.0009795628,0.36012045,16,0.946585,0.13994403,0.0016666666666666668,0.20361896,0.0,17000.0
360.0,90000.0,-29.134087,1800.0,0.6842279,0.0015142508,0.35971245,17,0.9333369,0.14086527,0.0016666666666666668,0.20358177,0.0,18000.0
380.0,95000.0,-30.065271,1900.0,0.6846072,0.00089602073,0.35946628,18,0.93707377,0.14147992,0.0,0.20349269,0.0,19000.0
400.0,100000.0,-31.07337,2000.0,0.68491584,0.0011139252,0.35926744,19,0.9948699,0.1420947,0.0,0.2034371,0.0,20000.0
420.0,105000.0,-31.97168,2100.0,0.6852464,0.002252659,0.35894868,20,0.95101184,0.14279884,0.0,0.20335071,0.0,21000.0
440.0,110000.0,-32.727383,2200.0,0.6854844,0.0010456439,0.35852435,21,0.9634342,0.14329104,0.0,0.20318575,0.0,22000.0
460.0,115000.0,-33.544506,2300.0,0.68633145,0.00086878525,0.3580369,22,0.9534323,0.14408478,0.0,0.20304929,0.0,23000.0
480.0,120000.0,-34.275143,2400.0,0.68706346,0.0010005231,0.35746244,23,0.9725153,0.14494373,0.0,0.20292765,0.0,24000.0
500.0,125000.0,-34.978638,2500.0,0.68724084,0.0013989974,0.3571125,24,0.98008054,0.14540474,0.0,0.20276934,0.0,25000.0
520.0,130000.0,-35.69012,2600.0,0.68699855,0.002154583,0.35713258,25,0.93142724,0.14540102,0.0,0.20266992,0.0,26000.0
540.0,135000.0,-36.443043,2700.0,0.6865786,0.0025833568,0.3572116,26,0.9717324,0.14532208,0.0,0.20261787,0.0,27000.0
560.0,140000.0,-37.024105,2800.0,0.68630457,0.00073909416,0.35735026,27,0.95131654,0.14524068,0.0,0.20263477,0.0,28000.0
580.0,145000.0,-37.662292,2900.0,0.6860865,0.0024978814,0.3574635,28,0.9277571,0.14510098,0.0,0.20261283,0.0,29000.0
600.0,150000.0,-38.277134,3000.0,0.68572664,0.0008215971,0.35755453,29,0.9602291,0.14493479,0.0,0.20266281,0.0,30000.0
620.0,155000.0,-38.8083,3100.0,0.6854685,0.0008677261,0.35766354,30,0.9404232,0.14470145,0.0,0.20270634,0.0,31000.0
640.0,160000.0,-39.295345,3200.0,0.6850144,0.0012380367,0.3577033,31,0.9224524,0.14461015,0.0,0.20266478,0.0,32000.0
660.0,165000.0,-39.820713,3300.0,0.68479437,0.00053131575,0.35772732,32,1.003035,0.14447384,0.0,0.20265663,0.0,33000.0
680.0,170000.0,-40.31695,3400.0,0.6846302,0.0009035708,0.35775927,33,0.95894176,0.1443868,0.0,0.2026605,0.0,34000.0
700.0,175000.0,-40.769608,3500.0,0.68441343,0.00066118664,0.35781989,34,0.96432996,0.14430971,0.0,0.20266925,0.0,35000.0
720.0,180000.0,-41.200417,3600.0,0.6841579,0.0012165252,0.3578913,35,0.92676693,0.1442679,0.0016666666666666668,0.20268668,0.0,36000.0
740.0,185000.0,-41.623436,3700.0,0.6838253,0.0006724587,0.35796025,36,0.9299264,0.1442007,0.0016666666666666668,0.20265035,0.0,37000.0
760.0,190000.0,-42.073444,3800.0,0.68353623,0.00055158336,0.35803238,37,0.965467,0.14417623,0.0,0.20266499,0.0,38000.0
780.0,195000.0,-42.401722,3900.0,0.6833506,0.0029600263,0.35811505,38,1.0634437,0.14407018,0.0,0.20267713,0.0,39000.0
800.0,200000.0,-42.77094,4000.0,0.68313473,0.00024510227,0.3582016,39,0.97485924,0.14394271,0.0,0.20265613,0.0,40000.0
820.0,205000.0,-43.05885,4100.0,0.6829416,0.0024220983,0.35830545,40,0.98717356,0.14387731,0.0,0.20268218,0.0,41000.0
840.0,210000.0,-43.433884,4200.0,0.6827871,0.00056329457,0.3583708,41,0.9822581,0.14372887,0.0,0.20269144,0.0,42000.0
860.0,215000.0,-43.75413,4300.0,0.6825061,0.0015493488,0.358394,42,0.91365504,0.1436033,0.0,0.20270307,0.0,43000.0
880.0,220000.0,-44.057827,4400.0,0.6822043,0.00022070424,0.35848013,43,0.9455981,0.1434642,0.0,0.20270126,0.0,44000.0
900.0,225000.0,-44.338486,4500.0,0.68203706,0.00024094964,0.3585721,44,0.9826455,0.14336196,0.0,0.20272167,0.0,45000.0
920.0,230000.0,-44.637054,4600.0,0.681822,0.0004265056,0.35864678,45,0.9337866,0.14325707,0.0,0.20271493,0.008333333333333333,46000.0
940.0,235000.0,-44.888897,4700.0,0.68163115,0.00040482785,0.35871324,46,0.9565318,0.14314933,0.0,0.20269196,0.0,47000.0
960.0,240000.0,-45.11455,4800.0,0.6814699,0.00035122767,0.3587902,47,0.9758563,0.1430481,0.0,0.20268856,0.0,48000.0
980.0,245000.0,-45.384075,4900.0,0.68124413,0.00012833944,0.35885528,48,0.96940184,0.1429306,0.0,0.20270844,0.0,49000.0
1000.0,250000.0,-45.555973,5000.0,0.6810735,0.00019532935,0.35891613,49,0.9689775,0.142801,0.0,0.2027136,0.0,50000.0
1020.0,255000.0,-45.772526,5100.0,0.6808526,0.00021206842,0.35899058,50,0.93868876,0.14271407,0.0016666666666666668,0.20273559,0.0,51000.0
1040.0,260000.0,-46.002476,5200.0,0.6805718,0.00017555397,0.35902658,51,0.96920705,0.14257476,0.0,0.20271426,0.0,52000.0
1060.0,265000.0,-46.191998,5300.0,0.6804059,0.0006149446,0.35905883,52,0.9993439,0.14244768,0.0,0.20270796,0.0,53000.0
1080.0,270000.0,-46.387096,5400.0,0.680242,7.998401e-05,0.35911343,53,0.9497183,0.14236048,0.0,0.20269431,0.008333333333333333,54000.0
1100.0,275000.0,-46.55628,5500.0,0.68009716,5.4507964e-05,0.35920617,54,0.96396685,0.14230736,0.0,0.20269625,0.0,55000.0
1120.0,280000.0,-46.725925,5600.0,0.67992425,0.00010471106,0.3592558,55,0.97847575,0.14220968,0.0,0.20269601,0.0,56000.0
1140.0,285000.0,-46.86786,5700.0,0.67984724,0.0002398616,0.35925874,56,0.98943114,0.14215834,0.0016666666666666668,0.20269693,0.0,57000.0
1160.0,290000.0,-47.023785,5800.0,0.6797256,0.00032345986,0.35927644,57,1.0031198,0.14204171,0.0016666666666666668,0.20268886,0.0,58000.0
1180.0,295000.0,-47.21046,5900.0,0.67961603,0.00032581823,0.35932383,58,0.94674,0.14194296,0.0,0.20270945,0.0,59000.0
1200.0,300000.0,-47.31226,6000.0,0.67946744,5.591249e-05,0.35935578,59,0.94175786,0.14186986,0.0,0.20271201,0.0,60000.0
