stats_g/std,test/episode,test/success_rate,epoch,stats_o/std,train/critic_loss,stats_g/mean,test/ag_g_dist,test/mean_Q,train/episode,train/success_rate,stats_o/mean
0.07013283,20.0,0.10000000000000002,0,0.045292806,0.0025869918,0.83742476,0.17464869,0.004512499,100.0,0.05499999999999999,0.20100778
0.06999878,40.0,0.016666666666666666,1,0.04436563,0.002949858,0.837359,0.181446,0.00023848364,200.0,0.08,0.20112194
0.0694481,60.0,0.041666666666666664,2,0.04206727,0.003724884,0.8374583,0.16599339,0.00053222454,300.0,0.06333333333333334,0.2010865
0.06943174,80.0,0.06666666666666667,3,0.041050896,0.0010326855,0.83816653,0.1755353,-8.2611405e-05,400.0,0.06666666666666667,0.20127098
0.0694812,100.0,0.049999999999999996,4,0.040761948,0.0012241415,0.8390003,0.1778245,-0.0015710393,500.0,0.07666666666666667,0.20149799
0.06944501,120.0,0.075,5,0.0405243,0.00024302451,0.83906937,0.16249378,-0.0016115758,600.0,0.06333333333333334,0.20155986
0.06940053,140.0,0.09166666666666667,6,0.04081748,0.07420439,0.83896947,0.16365816,-0.012050502,700.0,0.056666666666666664,0.2015537
0.06939973,160.0,0.09166666666666667,7,0.04063715,0.0018576443,0.8392813,0.1706879,-0.002036804,800.0,0.07666666666666667,0.20163278
0.06939638,180.0,0.075,8,0.04027488,0.00085390935,0.83926296,0.16722286,-0.0019120878,900.0,0.05166666666666667,0.20162189
0.06943136,200.0,0.08333333333333333,9,0.039973963,0.0006624511,0.839113,0.18175173,-0.0043971143,1000.0,0.06666666666666667,0.20156233
0.069404274,220.0,0.08333333333333333,10,0.039854083,0.0007650473,0.8387792,0.16932867,-0.0028675897,1100.0,0.08333333333333333,0.2014909
0.06941508,240.0,0.10000000000000002,11,0.03969223,0.001756763,0.83870983,0.15560913,-0.004180686,1200.0,0.07,0.20148142
0.06936862,260.0,0.06666666666666667,12,0.03949629,0.00054121437,0.8388241,0.15986742,0.00018725543,1300.0,0.06666666666666667,0.2014926
0.0693249,280.0,0.03333333333333333,13,0.039512318,0.0008387945,0.83871526,0.17973137,-0.001040573,1400.0,0.07333333333333333,0.20146929
0.06934305,300.0,0.041666666666666664,14,0.039338242,0.0029947245,0.8386155,0.16694479,-0.0015186543,1500.0,0.06333333333333334,0.20144661
0.069342144,320.0,0.09166666666666667,15,0.03933273,0.0008052958,0.8384997,0.17704745,-0.0023597283,1600.0,0.07833333333333332,0.20139425
0.06932525,340.0,0.05833333333333333,16,0.03937716,0.00034019453,0.838489,0.1673503,-0.0018518353,1700.0,0.051666666666666666,0.20137195
0.06933337,360.0,0.041666666666666664,17,0.039115228,0.002400169,0.8385914,0.17520517,-0.001847488,1800.0,0.085,0.20139007
0.0693266,380.0,0.05833333333333334,18,0.0389713,0.0012525015,0.8385082,0.17506342,-0.0042425166,1900.0,0.085,0.20135789
0.069314025,400.0,0.08333333333333333,19,0.038807716,0.010145399,0.83844024,0.16660887,-0.0038307672,2000.0,0.07666666666666667,0.20133798
0.06935257,420.0,0.06666666666666667,20,0.03894939,0.0017019063,0.8384693,0.17052336,-0.0021004498,2100.0,0.061666666666666675,0.20133848
0.069370456,440.0,0.08333333333333333,21,0.038873572,0.0022897057,0.83844036,0.16844481,-0.0013294328,2200.0,0.06666666666666667,0.20132858
0.06939453,460.0,0.05833333333333334,22,0.038874798,0.00053131377,0.8382392,0.17727761,-0.0008877356,2300.0,0.06333333333333334,0.20127726
0.06939746,480.0,0.06666666666666667,23,0.038738083,0.001978342,0.8381362,0.1804351,-0.0020604685,2400.0,0.06166666666666667,0.20124482
0.0694161,500.0,0.09999999999999999,24,0.038835693,0.0073253587,0.83827233,0.17021318,-0.0022720303,2500.0,0.06333333333333334,0.2012912
0.06941072,520.0,0.05000000000000001,25,0.038808193,0.0022052415,0.8383207,0.17449975,-0.0034252407,2600.0,0.05833333333333333,0.20130926
0.06942575,540.0,0.075,26,0.03893867,0.0009832078,0.83825797,0.17029743,-0.0039916127,2700.0,0.08833333333333333,0.20128696
0.06943659,560.0,0.11666666666666665,27,0.039115783,0.0009542841,0.8381551,0.15678422,-0.0024052463,2800.0,0.065,0.20126016
0.06943757,580.0,0.041666666666666664,28,0.038986433,0.0004626334,0.8381474,0.18131836,0.0008578915,2900.0,0.051666666666666666,0.20125501
0.06945776,600.0,0.041666666666666664,29,0.038886003,0.0054424643,0.8381066,0.18085118,-0.00442767,3000.0,0.07333333333333333,0.20124461
