stats_o/mean,train/episode,stats_g/mean,train/critic_loss,test/episode,stats_o/std,epoch,test/ag_g_dist,train/success_rate,test/mean_Q,stats_g/std,test/success_rate
0.17810474,5100.0,0.7510553,0.51373386,1020.0,0.081303224,50,0.46130085,0.0016666666666666668,-36.09071,0.16161554,0.0
0.17811216,5200.0,0.7511646,0.4779502,1040.0,0.081287414,51,0.43459144,0.0,-35.678864,0.16177063,0.0
0.17811756,5300.0,0.7512102,0.5198049,1060.0,0.0811489,52,0.4593359,0.0033333333333333335,-37.73583,0.1615708,0.0
0.17815836,5400.0,0.75140303,0.59248084,1080.0,0.08110973,53,0.44136104,0.0016666666666666668,-37.210495,0.16153298,0.0
0.17818213,5500.0,0.75161093,0.8583886,1100.0,0.08107731,54,0.44434306,0.0,-38.266327,0.16153048,0.008333333333333333
0.17815773,5600.0,0.7515928,1.1781652,1120.0,0.08123436,55,0.44214925,0.0016666666666666668,-38.063927,0.16178295,0.008333333333333333
0.17816143,5700.0,0.75158304,0.5575487,1140.0,0.08133833,56,0.4643465,0.0,-39.156597,0.16197515,0.0
0.17821838,5800.0,0.7518193,0.5772404,1160.0,0.08139047,57,0.48102847,0.0,-38.517742,0.16206679,0.0
0.17825146,5900.0,0.75199604,0.90159535,1180.0,0.081475906,58,0.4462215,0.0033333333333333335,-38.945675,0.16214217,0.0
0.1782973,6000.0,0.7522273,0.77961636,1200.0,0.08150779,59,0.42342877,0.0016666666666666668,-38.651344,0.16218205,0.0
0.17831583,6100.0,0.75238043,0.94333124,1220.0,0.081610724,60,0.43480882,0.0,-38.202114,0.16237365,0.0
0.1783479,6200.0,0.7525049,0.4506601,1240.0,0.081748046,61,0.44763067,0.0,-38.64581,0.16260023,0.008333333333333333
0.17839271,6300.0,0.75263005,0.9324694,1260.0,0.08186395,62,0.455767,0.0,-38.377895,0.16271174,0.0
0.17844479,6400.0,0.75291485,0.7933704,1280.0,0.08202607,63,0.47565803,0.0,-38.88046,0.16279946,0.0
0.17846473,6500.0,0.75301653,0.7493765,1300.0,0.08222801,64,0.40355265,0.0016666666666666668,-36.6016,0.16293459,0.0
0.17850752,6600.0,0.7532707,0.49766073,1320.0,0.08260802,65,0.43970716,0.0,-37.306026,0.16315077,0.0
