train/reward_compute_count,train/critic_loss,test/success_rate,test/mean_Q,stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,test/reward_compute_count,epoch,stats_o/std,train/episode,test/episode
175000.0,0.15592834,0.13333333333333333,-21.704645,0.20699777,0.013333333333333334,0.36646125,0.16267477,0.7443313,35000.0,34,0.83768123,3500.0,700.0
180000.0,0.1781459,0.12500000000000003,-20.868254,0.20709775,0.015000000000000001,0.36660674,0.16314396,0.70038253,36000.0,35,0.8395576,3600.0,720.0
185000.0,0.18800914,0.13333333333333333,-21.603302,0.20735048,0.03666666666666666,0.36673018,0.16349241,0.7095023,37000.0,36,0.8412773,3700.0,740.0
190000.0,0.18037748,0.075,-24.509043,0.20758754,0.008333333333333333,0.36689362,0.16382873,0.7858391,38000.0,37,0.8428588,3800.0,760.0
195000.0,0.18354768,0.13333333333333333,-25.796463,0.20774795,0.013333333333333334,0.3670967,0.16411301,0.9069217,39000.0,38,0.84477633,3900.0,780.0
200000.0,0.29067755,0.06666666666666667,-23.872787,0.2079078,0.015,0.36726716,0.16432469,0.8114813,40000.0,39,0.8462637,4000.0,800.0
205000.0,0.17651391,0.11666666666666665,-24.381714,0.2080155,0.011666666666666667,0.36739954,0.16459966,0.8083336,41000.0,40,0.84751683,4100.0,820.0
210000.0,0.18079849,0.13333333333333333,-23.241861,0.20797414,0.028333333333333332,0.36751458,0.1648059,0.75568885,42000.0,41,0.8488057,4200.0,840.0
215000.0,0.18126547,0.19166666666666665,-20.731207,0.20810957,0.013333333333333334,0.3676081,0.16494837,0.6839692,43000.0,42,0.8500509,4300.0,860.0
220000.0,0.16863985,0.15,-22.954237,0.2081985,0.023333333333333334,0.36774516,0.16513535,0.72178394,44000.0,43,0.8512489,4400.0,880.0
225000.0,0.20863958,0.15,-22.445276,0.20823932,0.021666666666666667,0.367861,0.16527839,0.7169346,45000.0,44,0.85234183,4500.0,900.0
230000.0,0.28114024,0.15,-22.240736,0.20830071,0.021666666666666667,0.36801735,0.16541411,0.68309855,46000.0,45,0.85339737,4600.0,920.0
235000.0,0.17946379,0.13333333333333333,-22.601347,0.20828779,0.021666666666666667,0.36819705,0.1656054,0.70071363,47000.0,46,0.8547022,4700.0,940.0
240000.0,0.18357372,0.13333333333333333,-23.270746,0.20824142,0.016666666666666666,0.36836305,0.16583598,0.7262637,48000.0,47,0.85587424,4800.0,960.0
245000.0,0.19564311,0.10000000000000002,-23.534927,0.20818813,0.02,0.36855713,0.16604044,0.72377586,49000.0,48,0.85703564,4900.0,980.0
250000.0,0.22434048,0.10833333333333334,-24.633944,0.20815997,0.02,0.36865994,0.16624247,0.7053962,50000.0,49,0.8582881,5000.0,1000.0
255000.0,0.20680195,0.10000000000000002,-22.775652,0.20822169,0.013333333333333334,0.3688116,0.1664944,0.6967599,51000.0,50,0.85930806,5100.0,1020.0
260000.0,0.20485778,0.125,-22.582937,0.20830381,0.015,0.36894205,0.16664271,0.6763482,52000.0,51,0.86043954,5200.0,1040.0
265000.0,0.19098108,0.075,-25.088663,0.20834136,0.02,0.3690513,0.16678484,0.7462387,53000.0,52,0.8615237,5300.0,1060.0
270000.0,0.26272175,0.10000000000000002,-24.393522,0.20834754,0.018333333333333333,0.3691803,0.16696222,0.71205455,54000.0,53,0.8625447,5400.0,1080.0
275000.0,0.201225,0.13333333333333333,-22.247261,0.20843406,0.015000000000000001,0.36940527,0.1671081,0.6841071,55000.0,54,0.8635327,5500.0,1100.0
