test/success_rate,epoch,stats_o/std,test/episode,test/mean_Q,train/success_rate,stats_o/mean,stats_g/std,test/ag_g_dist,train/critic_loss,train/episode,stats_g/mean
0.0,0,0.04998386,20.0,-2.7972977,0.0016666666666666668,0.20068544,0.07088721,0.17464869,0.09126276,100.0,0.8373906
0.008333333333333333,1,0.048771758,40.0,-4.839288,0.0016666666666666668,0.20075764,0.07012035,0.1815077,0.09032849,200.0,0.83739305
0.0,2,0.04813553,60.0,-6.7425747,0.0033333333333333335,0.20093672,0.070272855,0.16662876,0.08324856,300.0,0.83746094
0.0,3,0.05068597,80.0,-8.8631,0.013333333333333334,0.2010681,0.07409481,0.1842466,0.092088364,400.0,0.83797294
0.0,4,0.05428466,100.0,-10.650177,0.0033333333333333335,0.20137332,0.07803242,0.18501778,0.096150875,500.0,0.8386789
0.008333333333333333,5,0.05900833,120.0,-11.732079,0.0033333333333333335,0.20149477,0.080988206,0.1644323,0.099912226,600.0,0.8384795
0.05000000000000001,6,0.06226547,140.0,-11.965398,0.023333333333333334,0.20149238,0.08165935,0.15651928,0.13802195,700.0,0.83822876
0.07500000000000001,7,0.06697144,160.0,-11.435662,0.03,0.20147495,0.08124785,0.14890659,0.13129945,800.0,0.83856624
0.16666666666666666,8,0.073248476,180.0,-10.136325,0.08000000000000002,0.20151226,0.080877826,0.12355735,0.15797533,900.0,0.83866984
0.4166666666666667,9,0.07959775,200.0,-7.4602,0.10833333333333334,0.20159395,0.0805923,0.09684966,0.19279657,1000.0,0.8388621
0.5666666666666668,10,0.08548114,220.0,-5.081656,0.22999999999999998,0.20187946,0.0801751,0.07068121,0.31809637,1100.0,0.83869594
0.6916666666666668,11,0.091235794,240.0,-3.6224957,0.28833333333333333,0.2020259,0.07997653,0.048225757,0.24464715,1200.0,0.8387287
0.75,12,0.09622098,260.0,-3.3128338,0.39166666666666666,0.20204993,0.07948938,0.047055036,0.22732027,1300.0,0.83877057
0.75,13,0.100301854,280.0,-3.608698,0.39166666666666666,0.20204853,0.07937486,0.0579907,0.25520873,1400.0,0.83861405
0.7999999999999999,14,0.10396716,300.0,-2.8566043,0.38000000000000006,0.20206286,0.079707615,0.043570895,0.27884343,1500.0,0.83845615
0.9166666666666666,15,0.10672035,320.0,-2.6784046,0.44,0.20204817,0.07924683,0.04519527,0.26109996,1600.0,0.8385424
0.8583333333333334,16,0.10869529,340.0,-2.9745064,0.465,0.20194328,0.079105146,0.0466124,0.2840411,1700.0,0.8385381
0.8333333333333334,17,0.11055804,360.0,-2.7046244,0.4483333333333333,0.20198981,0.07889513,0.044884343,0.26888496,1800.0,0.8386881
0.9416666666666668,18,0.11256894,380.0,-2.441315,0.4683333333333333,0.20190217,0.07887755,0.04281712,0.29524162,1900.0,0.8387529
0.8583333333333334,19,0.114027716,400.0,-2.421787,0.4616666666666666,0.20184387,0.07859256,0.042568993,0.31686306,2000.0,0.83874303
0.875,20,0.11529285,420.0,-2.4522579,0.505,0.20182307,0.0786024,0.043347728,0.31960532,2100.0,0.8386655
0.9583333333333334,21,0.1166699,440.0,-2.0831988,0.47500000000000003,0.20192039,0.07861615,0.040264513,0.23747744,2200.0,0.8386995
0.9666666666666667,22,0.11766515,460.0,-2.2501476,0.5166666666666667,0.2018954,0.07837479,0.042573076,0.3832507,2300.0,0.8386252
0.9666666666666667,23,0.11882997,480.0,-2.16559,0.49666666666666665,0.20193128,0.07819126,0.04259187,0.27656397,2400.0,0.83868814
0.9833333333333334,24,0.119869865,500.0,-2.175464,0.47833333333333333,0.20199484,0.078125246,0.04093189,0.23831332,2500.0,0.8387208
0.9499999999999998,25,0.1207762,520.0,-2.3717906,0.49333333333333335,0.20197427,0.07798473,0.043539066,0.2536451,2600.0,0.8387184
0.9583333333333334,26,0.121715926,540.0,-2.0751073,0.48333333333333334,0.20193605,0.07789056,0.04020646,0.26105288,2700.0,0.8386483
0.9583333333333334,27,0.12240219,560.0,-1.8669473,0.52,0.20199601,0.07780285,0.036709193,0.27807495,2800.0,0.8387428
0.9500000000000001,28,0.123101205,580.0,-2.2815695,0.5183333333333333,0.2019528,0.07779569,0.044136938,0.30617985,2900.0,0.8386903
0.9833333333333334,29,0.12384019,600.0,-2.1298962,0.49666666666666665,0.20193045,0.077818274,0.04338031,0.33600792,3000.0,0.8386256
