test/mean_Q,train/episode,test/success_rate,stats_g/mean,stats_o/std,stats_g/std,epoch,train/critic_loss,train/success_rate,stats_o/mean,test/episode,test/ag_g_dist
-3.2871017,2000.0,0.07500000000000001,0.84568375,0.11449552,0.11371047,19,0.13624196,0.006666666666666667,0.20475201,400.0,0.080535255
-2.4919803,2100.0,0.3,0.84610635,0.115461625,0.11431223,20,0.11804721,0.0033333333333333335,0.20470949,420.0,0.05805989
-2.4132717,2200.0,0.06666666666666667,0.84655863,0.11602572,0.11469387,21,0.12185565,0.011666666666666667,0.20474003,440.0,0.054092932
-2.6664236,2300.0,0.2833333333333333,0.8468576,0.116436064,0.11481822,22,0.11300806,0.006666666666666667,0.20480485,460.0,0.05716051
-2.5231895,2400.0,0.19166666666666665,0.84717935,0.11715394,0.11508382,23,0.18155916,0.01,0.2048695,480.0,0.06543389
-2.2698169,2500.0,0.2916666666666667,0.8474989,0.117760666,0.115213335,24,0.16280597,0.01,0.20491655,500.0,0.056876402
-2.7467136,2600.0,0.325,0.84785444,0.118228786,0.11517539,25,0.16715343,0.018333333333333337,0.20499355,520.0,0.06664177
-2.7647188,2700.0,0.10833333333333334,0.8481608,0.1184342,0.11516302,26,0.11277907,0.008333333333333333,0.20502008,540.0,0.06465028
-2.3096411,2800.0,0.21666666666666667,0.84841114,0.11863623,0.11500937,27,0.118525445,0.006666666666666667,0.20511533,560.0,0.0567338
-2.5452209,2900.0,0.3333333333333333,0.8487138,0.11884355,0.115083374,28,0.16760802,0.006666666666666667,0.20516859,580.0,0.057455312
-2.1416018,3000.0,0.35833333333333334,0.8489323,0.118964024,0.11499792,29,0.11780252,0.015,0.20522392,600.0,0.048268974
-2.5570786,3100.0,0.2333333333333333,0.8491914,0.118951015,0.11482072,30,0.1929739,0.01,0.20525426,620.0,0.061691716
-2.3139517,3200.0,0.15,0.8492749,0.11913908,0.114757024,31,0.16740942,0.01,0.20523818,640.0,0.0557202
-2.60634,3300.0,0.19166666666666665,0.8493027,0.1191836,0.11478713,32,0.17278059,0.006666666666666667,0.20522946,660.0,0.05651331
-2.274735,3400.0,0.30833333333333335,0.84948945,0.11927399,0.114615105,33,0.2814264,0.0033333333333333335,0.20528077,680.0,0.05433755
-2.3055742,3500.0,0.05000000000000001,0.84958833,0.119303286,0.1144731,34,0.11073783,0.005,0.2053367,700.0,0.055565625
-2.336055,3600.0,0.47500000000000003,0.84976983,0.119322754,0.11433741,35,0.14941238,0.011666666666666667,0.20539726,720.0,0.05383795
-2.2503204,3700.0,0.13333333333333333,0.84984905,0.11948047,0.11417339,36,0.3944907,0.015,0.20542498,740.0,0.0494263
-2.2138026,3800.0,0.25,0.84992456,0.119523965,0.1141603,37,0.19485156,0.005,0.20544057,760.0,0.05268986
-2.345517,3900.0,0.15000000000000002,0.8499554,0.11949825,0.11398107,38,0.14372699,0.013333333333333334,0.20551336,780.0,0.052353233
-2.2833812,4000.0,0.25,0.8499742,0.119486846,0.11374285,39,0.24097872,0.005,0.20551755,800.0,0.05059163
-2.2517984,4100.0,0.25,0.8500181,0.1195549,0.113587715,40,0.18600754,0.005,0.20549972,820.0,0.052540433
-2.1596742,4200.0,0.2583333333333333,0.8500683,0.11946105,0.113363445,41,0.2029757,0.006666666666666667,0.20551081,840.0,0.047362354
-2.1610048,4300.0,0.3666666666666667,0.8501363,0.11949349,0.11313226,42,0.13609566,0.008333333333333333,0.20550565,860.0,0.04923278
-2.0745451,4400.0,0.35833333333333334,0.8501943,0.11947373,0.11300645,43,0.28451207,0.008333333333333333,0.2055545,880.0,0.04581192
-2.3251488,4500.0,0.2833333333333333,0.8501892,0.119409434,0.11290988,44,0.16444713,0.01,0.20552379,900.0,0.054707933
-2.6660328,4600.0,0.4166666666666667,0.8502104,0.11938443,0.112758555,45,0.22817223,0.011666666666666667,0.20553412,920.0,0.057962418
-2.288192,4700.0,0.13333333333333333,0.8501951,0.11943602,0.1127369,46,0.14094795,0.005,0.20552723,940.0,0.05502634
-2.200949,4800.0,0.2833333333333334,0.8502119,0.11931467,0.112540364,47,0.0997564,0.0033333333333333335,0.20549966,960.0,0.05203086
-2.2107925,4900.0,0.375,0.8502245,0.11928449,0.11242113,48,0.30183592,0.011666666666666667,0.20551307,980.0,0.04794945
-2.221566,5000.0,0.39166666666666666,0.8502241,0.11923888,0.112317294,49,0.1891396,0.01,0.2055297,1000.0,0.053301588
-2.1086783,5100.0,0.3666666666666667,0.85033196,0.119212665,0.11218848,50,0.14738397,0.008333333333333333,0.20555763,1020.0,0.049589377
-2.2562144,5200.0,0.21666666666666665,0.85030514,0.1191867,0.112016946,51,0.14923483,0.008333333333333333,0.20556755,1040.0,0.056704503
-2.2799766,5300.0,0.35833333333333334,0.85039854,0.11912737,0.112018086,52,0.17233689,0.005,0.20562774,1060.0,0.05792893
-2.1356256,5400.0,0.39166666666666666,0.8503952,0.11902329,0.11190792,53,0.117014386,0.01,0.20565462,1080.0,0.0512106
-2.16011,5500.0,0.2916666666666667,0.8503804,0.1190359,0.11175021,54,0.11313647,0.015,0.20567548,1100.0,0.054323483
-2.109943,5600.0,0.19999999999999998,0.85045475,0.11891382,0.11159366,55,0.13423015,0.01,0.20568593,1120.0,0.050938454
-2.1194744,5700.0,0.4166666666666667,0.8504591,0.11874774,0.11144891,56,0.119210385,0.006666666666666667,0.20568867,1140.0,0.050384343
-2.0519946,5800.0,0.3166666666666667,0.850447,0.11873398,0.111412786,57,0.1568265,0.008333333333333333,0.20569034,1160.0,0.050664525
-2.1039717,5900.0,0.3416666666666666,0.85046405,0.118707664,0.11125618,58,0.2983909,0.008333333333333333,0.20569426,1180.0,0.052619163
-2.035848,6000.0,0.4166666666666667,0.8504967,0.11861765,0.1111061,59,0.11821959,0.011666666666666667,0.20570366,1200.0,0.0496185
-2.0879471,6100.0,0.3,0.85047984,0.118530065,0.11098817,60,0.1411352,0.008333333333333333,0.20570235,1220.0,0.046951015
-2.109815,6200.0,0.2916666666666667,0.8504694,0.118526004,0.11086833,61,0.18714333,0.006666666666666667,0.20567282,1240.0,0.049603105
-2.1474123,6300.0,0.35000000000000003,0.8504832,0.11844906,0.11075712,62,0.1524106,0.008333333333333333,0.205651,1260.0,0.051453013
-2.0034118,6400.0,0.39999999999999997,0.85044813,0.118424855,0.11068448,63,0.1701441,0.006666666666666667,0.20561357,1280.0,0.04855224
-2.0357256,6500.0,0.2833333333333334,0.8504761,0.118420266,0.11062621,64,0.14298034,0.006666666666666667,0.20562,1300.0,0.053721055
-2.2871995,6600.0,0.2333333333333333,0.8504493,0.118378766,0.110534586,65,0.09461862,0.008333333333333333,0.20561697,1320.0,0.06321868
-1.9496971,6700.0,0.26666666666666666,0.85044265,0.11835129,0.11042467,66,0.16347153,0.005,0.20559663,1340.0,0.050070178
-2.1089022,6800.0,0.44166666666666665,0.8504408,0.118449755,0.11032472,67,0.10637975,0.01,0.20562603,1360.0,0.054430973
-2.1499338,6900.0,0.35000000000000003,0.85039353,0.11842108,0.11023539,68,0.124904595,0.006666666666666667,0.20561028,1380.0,0.053317565
-2.2791955,7000.0,0.26666666666666666,0.8504011,0.11838671,0.11016684,69,0.12948257,0.01,0.2056076,1400.0,0.060091645
-2.1647253,7100.0,0.35000000000000003,0.850404,0.11831323,0.11000118,70,0.12781963,0.011666666666666667,0.20563728,1420.0,0.054629747
-2.143122,7200.0,0.3083333333333333,0.8503995,0.11826859,0.10997187,71,0.14733662,0.011666666666666665,0.20563535,1440.0,0.050326485
-2.123079,7300.0,0.35000000000000003,0.8504429,0.118278585,0.10985298,72,0.17479064,0.015,0.20563656,1460.0,0.05476142
-2.0431166,7400.0,0.4083333333333334,0.85043496,0.118233114,0.1097548,73,0.22662069,0.011666666666666667,0.2056158,1480.0,0.046061352
-1.8979787,7500.0,0.43333333333333335,0.8504641,0.11826834,0.10971904,74,0.10903432,0.008333333333333333,0.20562504,1500.0,0.038637396
-2.1331904,7600.0,0.3416666666666666,0.85044646,0.11825365,0.1096612,75,0.09603714,0.015,0.20563169,1520.0,0.05524568
-2.0814006,7700.0,0.2333333333333333,0.8504575,0.118246354,0.10958978,76,0.12116492,0.011666666666666667,0.20561884,1540.0,0.04873678
-2.1785562,7800.0,0.35000000000000003,0.85046434,0.11817936,0.109485365,77,0.11660197,0.011666666666666667,0.2056262,1560.0,0.05393867
-2.249994,7900.0,0.3166666666666667,0.8504324,0.11814151,0.10942646,78,0.13615163,0.006666666666666667,0.20564704,1580.0,0.06011346
-2.1116052,8000.0,0.35000000000000003,0.85044956,0.11810527,0.109369636,79,0.11821106,0.005,0.20564449,1600.0,0.05000333
-2.0540571,8100.0,0.375,0.85039705,0.1180827,0.10934795,80,0.095498376,0.011666666666666667,0.20564683,1620.0,0.05039392
-2.2720852,8200.0,0.4166666666666667,0.8504134,0.11806657,0.10926229,81,0.12654124,0.011666666666666667,0.20567377,1640.0,0.054780032
-2.09002,8300.0,0.3583333333333334,0.850404,0.11797968,0.109173335,82,0.1840667,0.008333333333333333,0.20567077,1660.0,0.054514784
-2.1245143,8400.0,0.2833333333333333,0.85044307,0.11796073,0.10912267,83,0.16051823,0.016666666666666666,0.20568913,1680.0,0.05126519
-2.0239007,8500.0,0.30833333333333335,0.85042214,0.11787806,0.10902241,84,0.13395558,0.015,0.20568173,1700.0,0.050121766
-2.2621305,8600.0,0.325,0.8504109,0.11775527,0.10892483,85,0.14125438,0.006666666666666667,0.2056772,1720.0,0.054319233
-2.1287053,8700.0,0.30833333333333335,0.85039186,0.117773056,0.10891611,86,0.29100326,0.0033333333333333335,0.20565684,1740.0,0.052082445
-2.0798626,8800.0,0.36666666666666664,0.85040313,0.11771169,0.108805954,87,0.17826986,0.01,0.20565039,1760.0,0.05103317
-2.2763212,8900.0,0.35833333333333334,0.8503895,0.11769646,0.1087491,88,0.20597279,0.013333333333333334,0.2056724,1780.0,0.05758135
-2.123208,9000.0,0.35833333333333334,0.85036796,0.11767993,0.10864667,89,0.11677479,0.008333333333333333,0.20565458,1800.0,0.05185603
-2.2571452,9100.0,0.30833333333333335,0.8503504,0.11764875,0.108541965,90,0.14293797,0.015,0.20565176,1820.0,0.056382064
-2.155609,9200.0,0.3416666666666666,0.8503318,0.11763216,0.10850372,91,0.12547679,0.01,0.20565695,1840.0,0.056656897
-2.2016616,9300.0,0.26666666666666666,0.850324,0.11760459,0.10843528,92,0.16119863,0.013333333333333334,0.20564635,1860.0,0.05794554
-2.0054142,9400.0,0.2833333333333333,0.850297,0.11757579,0.10840168,93,0.14299409,0.01,0.20565526,1880.0,0.048256453
-2.2280045,9500.0,0.34166666666666673,0.8502651,0.1175316,0.108361565,94,0.17544566,0.01,0.20564085,1900.0,0.058655504
-2.1202931,9600.0,0.325,0.85025936,0.117502354,0.10830603,95,0.42175445,0.02,0.20564324,1920.0,0.050001737
-2.1065514,9700.0,0.17500000000000002,0.8502943,0.11748076,0.10831201,96,0.16018143,0.005,0.2056484,1940.0,0.052781615
-2.1570187,9800.0,0.4166666666666667,0.85032505,0.11742409,0.10824233,97,0.12113696,0.005,0.20566513,1960.0,0.05098344
-2.1140482,9900.0,0.39166666666666666,0.85033983,0.11740767,0.108216286,98,0.11709363,0.01,0.20568897,1980.0,0.049683064
-2.0851233,10000.0,0.3416666666666666,0.8503205,0.1173595,0.10815889,99,0.10747454,0.01,0.20568413,2000.0,0.052148197
