test/mean_Q,train/episode,stats_g/mean,stats_g/std,stats_o/mean,epoch,test/episode,train/success_rate,test/ag_g_dist,test/success_rate,train/critic_loss,stats_o/std
0.00078901835,100.0,0.837457,0.07020025,0.2013471,0,20.0,0.051666666666666666,0.17464869,0.10000000000000002,0.0023671787,0.044541106
-0.003130608,200.0,0.83735704,0.06992506,0.20112424,1,40.0,0.08,0.181446,0.016666666666666666,0.0032532641,0.043067176
0.002422766,300.0,0.83745533,0.06952233,0.20108904,2,60.0,0.065,0.16599339,0.041666666666666664,0.0012638648,0.041565474
-0.0017842281,400.0,0.8381557,0.06955582,0.2012902,3,80.0,0.06666666666666667,0.1755353,0.06666666666666667,0.00042578694,0.040858615
-0.0023487813,500.0,0.8389902,0.06958844,0.20150797,4,100.0,0.07666666666666667,0.17782448,0.049999999999999996,0.00043062874,0.040494908
0.00048604538,600.0,0.8390741,0.06954841,0.20155512,5,120.0,0.065,0.16249378,0.075,0.00022752506,0.040337667
-0.0035001843,700.0,0.8389721,0.069498874,0.20154877,6,140.0,0.056666666666666664,0.16365816,0.09166666666666667,0.005332768,0.040726505
0.0032685942,800.0,0.8392747,0.06949339,0.20163067,7,160.0,0.07833333333333334,0.1706879,0.09166666666666667,0.000624821,0.040705778
-0.0018996015,900.0,0.8392804,0.0694739,0.20160687,8,180.0,0.053333333333333344,0.16722286,0.075,0.0007258354,0.04027648
-0.0009629559,1000.0,0.83912635,0.06951023,0.20155378,9,200.0,0.06833333333333334,0.18175173,0.08333333333333333,0.0007379059,0.03992092
0.00080579077,1100.0,0.838799,0.069471546,0.20148207,10,220.0,0.08333333333333333,0.16932867,0.08333333333333333,0.00076100806,0.039681867
0.0017881308,1200.0,0.8387317,0.06948503,0.20146663,11,240.0,0.07166666666666667,0.15560913,0.10000000000000002,0.0008351573,0.03969779
-0.0011127937,1300.0,0.8388474,0.06942969,0.20147832,12,260.0,0.06666666666666667,0.1598674,0.06666666666666667,0.00019752844,0.039501917
0.0012465398,1400.0,0.8387354,0.06937406,0.20146225,13,280.0,0.075,0.17973137,0.03333333333333333,0.0022167054,0.03949063
3.654094e-05,1500.0,0.83864146,0.06939507,0.20143639,14,300.0,0.06333333333333334,0.16694479,0.041666666666666664,0.00066662085,0.03930782
-0.0043405546,1600.0,0.8385248,0.06938814,0.20137836,15,320.0,0.07833333333333332,0.17704745,0.09166666666666667,0.0054340404,0.039267458
0.0016012621,1700.0,0.8385126,0.06937166,0.20135462,16,340.0,0.051666666666666666,0.1673503,0.05833333333333333,0.00015345502,0.039345503
0.00015553655,1800.0,0.8386133,0.06938439,0.20137288,17,360.0,0.08333333333333333,0.17520517,0.041666666666666664,0.00064586336,0.039090708
-0.001626663,1900.0,0.83853465,0.069377534,0.2013427,18,380.0,0.08666666666666667,0.17506342,0.05833333333333334,0.0008369728,0.039010715
-0.0032854471,2000.0,0.8384679,0.069368176,0.20132035,19,400.0,0.07666666666666667,0.16660887,0.08333333333333333,0.00033698246,0.03888711
0.0008992639,2100.0,0.8384885,0.06941061,0.20132758,20,420.0,0.061666666666666675,0.17052336,0.06666666666666667,0.0007577652,0.03917928
-0.0029861794,2200.0,0.8384591,0.06942787,0.20131715,21,440.0,0.065,0.16844481,0.08333333333333333,0.0004894366,0.03898718
0.008212195,2300.0,0.83825564,0.06945374,0.20126207,22,460.0,0.065,0.17727761,0.05833333333333334,0.0002422417,0.039039165
-0.0035493057,2400.0,0.83815145,0.06945685,0.20123176,23,480.0,0.060000000000000005,0.1804351,0.06666666666666667,0.0011578841,0.038975365
-0.0019781499,2500.0,0.8382928,0.06946726,0.20127393,24,500.0,0.06333333333333334,0.17021318,0.09999999999999999,0.0032588225,0.039031744
0.0017459089,2600.0,0.83834004,0.06945829,0.20129661,25,520.0,0.06,0.17449975,0.05000000000000001,0.0012406386,0.03900588
-0.00072827167,2700.0,0.83827525,0.06947221,0.20127304,26,540.0,0.08833333333333333,0.17029743,0.075,0.001960701,0.039111834
0.0047575394,2800.0,0.8381698,0.069485754,0.20124285,27,560.0,0.06666666666666667,0.15678422,0.11666666666666665,0.00048476193,0.039204165
2.1725427e-06,2900.0,0.83816266,0.06948312,0.20123993,28,580.0,0.051666666666666666,0.18131836,0.041666666666666664,9.855143e-05,0.039065253
-0.00055723486,3000.0,0.83811855,0.06950461,0.20122568,29,600.0,0.07333333333333332,0.18085118,0.041666666666666664,0.0012676775,0.0389874
