stats_g/mean,test/mean_Q,stats_g/std,stats_o/mean,train/critic_loss,test/success_rate,test/episode,stats_o/std,epoch,train/success_rate,train/episode,test/ag_g_dist
0.38701746,-2.883976,0.22404636,0.20167752,0.094495915,0.0,20.0,0.7529256,0,0.0,100.0,1.0105745
0.3906313,-4.7718472,0.22462092,0.20198949,0.10480082,0.008333333333333333,40.0,0.7454931,1,0.0016666666666666668,200.0,0.9629957
0.39095607,-7.179873,0.22550051,0.20163386,0.10545639,0.0,60.0,0.745536,2,0.0016666666666666668,300.0,1.0269995
0.39085194,-8.930383,0.22617757,0.20181434,0.11735525,0.025000000000000005,80.0,0.7448371,3,0.005,400.0,0.99054664
0.3880506,-10.762696,0.22695537,0.20146029,0.12174671,0.0,100.0,0.74523705,4,0.008333333333333333,500.0,0.9675558
0.3875322,-12.321193,0.22699349,0.2011724,0.13773538,0.016666666666666666,120.0,0.7475725,5,0.011666666666666667,600.0,0.96623755
0.3870215,-13.771579,0.22735877,0.20092697,0.14002351,0.008333333333333333,140.0,0.75079393,6,0.013333333333333334,700.0,0.9302294
0.3866919,-15.13399,0.2281398,0.20089214,0.16228038,0.025000000000000005,160.0,0.7549283,7,0.006666666666666667,800.0,0.89193076
0.3856047,-16.788794,0.22862656,0.2004673,0.18186867,0.025000000000000005,180.0,0.7591946,8,0.011666666666666667,900.0,0.9757271
0.3844718,-17.730423,0.22928308,0.20020922,0.19907366,0.025000000000000005,200.0,0.76360923,9,0.03,1000.0,0.9729462
0.38446072,-20.066322,0.22978796,0.20021617,0.19586444,0.025000000000000005,220.0,0.7677834,10,0.021666666666666667,1100.0,1.0098772
0.384797,-19.778286,0.22978975,0.19990407,0.19605345,0.041666666666666664,240.0,0.77239347,11,0.021666666666666667,1200.0,0.93146557
0.38464364,-22.151201,0.22990786,0.19959871,0.19569428,0.03333333333333333,260.0,0.77751917,12,0.023333333333333334,1300.0,0.9905887
0.38445124,-20.989996,0.23032369,0.19950001,0.20812686,0.06666666666666667,280.0,0.7822307,13,0.03833333333333333,1400.0,0.8407461
0.38414717,-22.711168,0.23113017,0.19940992,0.24228649,0.09999999999999999,300.0,0.78683925,14,0.03666666666666667,1500.0,0.9046739
0.38377038,-23.566208,0.23181792,0.19919331,0.27701128,0.041666666666666664,320.0,0.79193026,15,0.024999999999999998,1600.0,0.9030676
0.383437,-23.25442,0.23212604,0.1989979,0.24665117,0.10000000000000002,340.0,0.79698586,16,0.021666666666666667,1700.0,0.86713696
0.38331923,-27.245901,0.232601,0.19891603,0.25498763,0.05000000000000001,360.0,0.8012306,17,0.035,1800.0,0.99502796
0.38321713,-25.340948,0.23282073,0.19889987,0.25155753,0.075,380.0,0.8060005,18,0.043333333333333335,1900.0,0.8530988
0.38335434,-25.348337,0.23270814,0.19885395,0.27827874,0.08333333333333333,400.0,0.8105915,19,0.05000000000000001,2000.0,0.84386975
0.3833281,-25.593973,0.232651,0.19889443,0.2663792,0.09166666666666667,420.0,0.81547564,20,0.043333333333333335,2100.0,0.85682434
0.3833507,-27.669836,0.23270996,0.19897431,0.3429481,0.09166666666666667,440.0,0.8197177,21,0.03,2200.0,0.8848068
0.3832829,-30.572256,0.2329338,0.19879334,0.34222463,0.025000000000000005,460.0,0.8241989,22,0.04833333333333333,2300.0,0.9278942
0.38345137,-26.779615,0.23283081,0.19863498,0.36349806,0.09166666666666667,480.0,0.8284952,23,0.06333333333333334,2400.0,0.8070195
0.38364926,-25.275581,0.23263259,0.19855465,0.40609017,0.15833333333333333,500.0,0.832859,24,0.06833333333333334,2500.0,0.75842094
0.38402447,-24.717375,0.23243089,0.19844837,0.3526988,0.11666666666666668,520.0,0.8371176,25,0.055,2600.0,0.7103098
0.3842422,-25.902277,0.23225307,0.19831698,0.34605345,0.1416666666666667,540.0,0.8412807,26,0.06166666666666667,2700.0,0.72885066
0.38457975,-27.315943,0.23226608,0.19825326,0.3703157,0.15000000000000002,560.0,0.8450114,27,0.06666666666666667,2800.0,0.73238724
0.38458535,-29.863083,0.23207034,0.19808841,0.38273466,0.10833333333333335,580.0,0.848599,28,0.085,2900.0,0.8376956
0.38490915,-24.841097,0.23188622,0.19787185,0.40115464,0.15000000000000002,600.0,0.852182,29,0.04,3000.0,0.64383465
0.38535056,-29.048807,0.23154092,0.1977733,0.4353137,0.09166666666666667,620.0,0.85553676,30,0.065,3100.0,0.75848293
0.38548517,-28.314499,0.23147754,0.197643,0.4157383,0.16666666666666666,640.0,0.858404,31,0.06,3200.0,0.7190199
0.3856146,-28.594843,0.23126076,0.19742358,0.3913797,0.10000000000000002,660.0,0.86148614,32,0.05833333333333333,3300.0,0.74162817
0.38568488,-24.69841,0.2310776,0.19732274,0.43644452,0.225,680.0,0.8642594,33,0.07166666666666667,3400.0,0.6411662
0.38594422,-26.013184,0.23076673,0.19710024,0.41766778,0.1416666666666667,700.0,0.8669572,34,0.05833333333333333,3500.0,0.682512
0.3861933,-28.890287,0.23062189,0.19693927,0.43737006,0.15000000000000002,720.0,0.86940217,35,0.06666666666666667,3600.0,0.6878848
0.3863357,-25.775185,0.23032929,0.1968636,0.47607425,0.3,740.0,0.8719072,36,0.08666666666666667,3700.0,0.6407938
0.38687387,-29.299017,0.23002829,0.19682051,0.4250792,0.14166666666666664,760.0,0.8742866,37,0.10166666666666667,3800.0,0.6957164
0.38724902,-29.99391,0.22986765,0.19676526,0.46734276,0.17500000000000002,780.0,0.8768663,38,0.075,3900.0,0.7120976
