stats_o/mean,stats_g/std,train/episode,train/critic_loss,test/episode,epoch,test/mean_Q,stats_g/mean,test/success_rate,stats_o/std,train/success_rate,test/ag_g_dist
0.2031021,0.09382974,100.0,0.08876745,20.0,0,-2.898255,0.8418474,0.0,0.045301367,0.0016666666666666668,0.23726432
0.20358415,0.09326918,200.0,0.08544742,40.0,1,-4.853556,0.8444786,0.0,0.04628727,0.005,0.22233039
0.20406407,0.09384961,300.0,0.08288229,60.0,2,-6.8169785,0.8450074,0.008333333333333333,0.04979451,0.0033333333333333335,0.21822345
0.20418854,0.095750004,400.0,0.09333316,80.0,3,-8.53404,0.8452535,0.008333333333333333,0.056926187,0.0033333333333333335,0.2311179
0.20392197,0.09737053,500.0,0.09746406,100.0,4,-10.6228,0.84484535,0.0,0.061682034,0.0016666666666666668,0.2393118
0.20382671,0.09987909,600.0,0.10113745,120.0,5,-12.043614,0.84491783,0.008333333333333333,0.06657462,0.0033333333333333335,0.24495594
0.20368116,0.10142898,700.0,0.11833984,140.0,6,-12.802311,0.84511274,0.008333333333333333,0.072529584,0.006666666666666667,0.2505326
0.20364845,0.10414552,800.0,0.15122749,160.0,7,-13.050446,0.84486324,0.025000000000000005,0.079835914,0.013333333333333334,0.23474824
0.20319946,0.10586136,900.0,0.18974203,180.0,8,-12.08125,0.84463865,0.10000000000000002,0.08681748,0.023333333333333334,0.1938775
0.20311476,0.10754933,1000.0,0.18160106,200.0,9,-12.09942,0.84482384,0.15833333333333333,0.093060695,0.035,0.20303626
0.2031069,0.10925552,1100.0,0.21159871,220.0,10,-10.60162,0.8448124,0.25,0.09779752,0.045000000000000005,0.16152366
0.20320652,0.10983435,1200.0,0.24165826,240.0,11,-11.470122,0.84496194,0.27499999999999997,0.10204458,0.08333333333333333,0.1853431
0.2032756,0.10978258,1300.0,0.3591069,260.0,12,-11.736888,0.84489983,0.3,0.10481461,0.12333333333333334,0.17073548
