test/reward_compute_count,stats_o/mean,stats_o/std,stats_g/std,epoch,test/episode,train/critic_loss,stats_g/mean,test/mean_Q,train/reward_compute_count,train/episode,train/success_rate,test/ag_g_dist,test/success_rate
1000.0,0.20154645,0.7471408,0.22937043,0,20.0,0.04217984,0.37626418,-2.022607,5000.0,100.0,0.0,0.9633053,0.0
2000.0,0.2047625,0.75025797,0.23078151,1,40.0,0.03265479,0.37769356,-4.0566278,10000.0,200.0,0.0,0.9749724,0.0
3000.0,0.20453386,0.75020105,0.2317137,2,60.0,0.028270366,0.37887815,-6.0075364,15000.0,300.0,0.0,0.97197634,0.0
4000.0,0.20380329,0.7491142,0.23147182,3,80.0,0.027584538,0.37985143,-7.864596,20000.0,400.0,0.0,1.0308158,0.0
5000.0,0.20390363,0.75017196,0.23089664,4,100.0,0.03359187,0.37957105,-9.567258,25000.0,500.0,0.0,0.9712016,0.0
6000.0,0.20398991,0.7501438,0.23141885,5,120.0,0.03280854,0.38029125,-11.157496,30000.0,600.0,0.0,0.97970605,0.0
7000.0,0.20367156,0.7516473,0.23143055,6,140.0,0.03065717,0.38084832,-13.057355,35000.0,700.0,0.0016666666666666668,1.0616417,0.0
8000.0,0.2033389,0.7534068,0.23080336,7,160.0,0.030395063,0.38072392,-14.175115,40000.0,800.0,0.0,0.9754904,0.0
9000.0,0.20350106,0.75675946,0.23059726,8,180.0,0.03162759,0.38144365,-14.994858,45000.0,900.0,0.0,0.9451081,0.0
10000.0,0.20328541,0.7605342,0.23088546,9,200.0,0.03831667,0.38133755,-16.741346,50000.0,1000.0,0.0,1.019062,0.0
11000.0,0.20323844,0.76378125,0.23132806,10,220.0,0.0413527,0.38116583,-17.316435,55000.0,1100.0,0.0,0.99900055,0.008333333333333333
12000.0,0.20301048,0.76747197,0.23202418,11,240.0,0.041665707,0.38079205,-18.367592,60000.0,1200.0,0.0,1.0470753,0.0
13000.0,0.20254855,0.7718528,0.23291855,12,260.0,0.043653812,0.3801755,-18.580822,65000.0,1300.0,0.0016666666666666668,0.97509867,0.0
14000.0,0.20226668,0.7755329,0.23329945,13,280.0,0.052195895,0.3799182,-20.346983,70000.0,1400.0,0.0016666666666666668,1.0666193,0.0
15000.0,0.20185463,0.7794757,0.2338397,14,300.0,0.047333535,0.3796649,-21.500528,75000.0,1500.0,0.0,1.0898418,0.0
16000.0,0.20149297,0.784363,0.23393314,15,320.0,0.05401237,0.37967268,-20.816566,80000.0,1600.0,0.0,0.9555955,0.0
17000.0,0.20115142,0.78846216,0.23409545,16,340.0,0.055518817,0.37987337,-21.466187,85000.0,1700.0,0.0016666666666666668,0.95645934,0.0
18000.0,0.20083897,0.79240656,0.23414402,17,360.0,0.05892943,0.37985316,-21.751167,90000.0,1800.0,0.0,0.9716406,0.008333333333333333
19000.0,0.20065947,0.79644483,0.23451848,18,380.0,0.053769737,0.37935877,-22.272532,95000.0,1900.0,0.0,0.9338336,0.008333333333333333
20000.0,0.20040059,0.80134565,0.23453413,19,400.0,0.06617507,0.3792757,-22.957281,100000.0,2000.0,0.0,0.9610054,0.008333333333333333
21000.0,0.20018005,0.80585116,0.23472507,20,420.0,0.06713611,0.37911454,-22.213936,105000.0,2100.0,0.0016666666666666668,0.89732456,0.008333333333333333
22000.0,0.19990976,0.8097059,0.23468317,21,440.0,0.07470635,0.37897944,-22.754135,110000.0,2200.0,0.0016666666666666668,0.9075491,0.025000000000000005
23000.0,0.19976199,0.8143761,0.23461808,22,460.0,0.08038044,0.3790783,-24.47795,115000.0,2300.0,0.0,0.9986084,0.0
24000.0,0.19938247,0.81938726,0.2346981,23,480.0,0.08216331,0.37897238,-23.048243,120000.0,2400.0,0.0,0.89637446,0.016666666666666666
25000.0,0.19899297,0.8240164,0.23464195,24,500.0,0.08330216,0.37881503,-22.086182,125000.0,2500.0,0.0016666666666666668,0.8573234,0.008333333333333333
26000.0,0.1988709,0.82827204,0.23472755,25,520.0,0.073425874,0.37892032,-24.160446,130000.0,2600.0,0.005,0.93792725,0.008333333333333333
27000.0,0.19873638,0.83204633,0.23468502,26,540.0,0.07801695,0.3788701,-24.411001,135000.0,2700.0,0.0,0.91282177,0.0
28000.0,0.19857354,0.8358957,0.23456891,27,560.0,0.11017037,0.37870464,-22.987406,140000.0,2800.0,0.0033333333333333335,0.88682204,0.016666666666666666
29000.0,0.19838874,0.8399074,0.23455639,28,580.0,0.082788765,0.37866196,-23.967665,145000.0,2900.0,0.0016666666666666668,0.9203426,0.008333333333333333
30000.0,0.19828467,0.8435251,0.234553,29,600.0,0.09597226,0.37877035,-23.826468,150000.0,3000.0,0.0033333333333333335,0.90499514,0.016666666666666666
31000.0,0.1981226,0.84690684,0.23465435,30,620.0,0.09534252,0.3785269,-22.20986,155000.0,3100.0,0.0016666666666666668,0.83375835,0.0
32000.0,0.19802709,0.8502973,0.23468636,31,640.0,0.11497047,0.37853524,-22.69634,160000.0,3200.0,0.0,0.84248894,0.008333333333333333
33000.0,0.19789696,0.8536131,0.23460163,32,660.0,0.0907495,0.37859288,-23.14727,165000.0,3300.0,0.0,0.8778069,0.008333333333333333
34000.0,0.19771904,0.8570056,0.23457159,33,680.0,0.10123309,0.37857214,-22.962479,170000.0,3400.0,0.0033333333333333335,0.8787317,0.008333333333333333
35000.0,0.19742684,0.860202,0.2345512,34,700.0,0.095475614,0.3785274,-24.318502,175000.0,3500.0,0.0016666666666666668,0.95171595,0.0
36000.0,0.19727452,0.8633961,0.23457302,35,720.0,0.107841186,0.37821665,-23.70282,180000.0,3600.0,0.005,0.8464257,0.025000000000000005
37000.0,0.1972179,0.8659651,0.23443957,36,740.0,0.09630155,0.37829039,-19.976477,185000.0,3700.0,0.0,0.76513845,0.016666666666666666
38000.0,0.19711459,0.8684942,0.23431598,37,760.0,0.11915962,0.3783081,-20.771536,190000.0,3800.0,0.008333333333333333,0.76466626,0.03333333333333333
39000.0,0.1969397,0.8706688,0.234217,38,780.0,0.09448719,0.3782116,-22.28659,195000.0,3900.0,0.0,0.83435434,0.008333333333333333
40000.0,0.19673938,0.8731437,0.23408915,39,800.0,0.11929074,0.3781259,-24.532463,200000.0,4000.0,0.0,0.90230227,0.025000000000000005
41000.0,0.1966279,0.87560827,0.23386712,40,820.0,0.11012151,0.37832776,-21.620047,205000.0,4100.0,0.0033333333333333335,0.8005112,0.03333333333333333
42000.0,0.19647424,0.8781044,0.23361094,41,840.0,0.12979245,0.37852183,-22.363312,210000.0,4200.0,0.005,0.86125684,0.025000000000000005
43000.0,0.1963356,0.8803275,0.2335793,42,860.0,0.095852606,0.37847176,-20.692568,215000.0,4300.0,0.005,0.8010399,0.041666666666666664
44000.0,0.1961089,0.8826048,0.23357417,43,880.0,0.15965472,0.37833866,-21.696146,220000.0,4400.0,0.0016666666666666668,0.8484857,0.016666666666666666
45000.0,0.19603537,0.8847843,0.2334119,44,900.0,0.11944187,0.37839484,-21.112043,225000.0,4500.0,0.005,0.7920006,0.016666666666666666
46000.0,0.19600993,0.88675004,0.23335464,45,920.0,0.10338261,0.37831092,-20.983433,230000.0,4600.0,0.0033333333333333335,0.78593487,0.008333333333333333
47000.0,0.19588296,0.88847,0.2332875,46,940.0,0.12434262,0.37822762,-22.026606,235000.0,4700.0,0.0,0.8202862,0.008333333333333333
48000.0,0.19582383,0.89054537,0.23317532,47,960.0,0.13936055,0.37835392,-22.464617,240000.0,4800.0,0.0033333333333333335,0.8321822,0.008333333333333333
49000.0,0.195798,0.8924911,0.23297216,48,980.0,0.11693502,0.3785708,-20.641361,245000.0,4900.0,0.0016666666666666668,0.78889674,0.03333333333333333
50000.0,0.1956259,0.8943693,0.23288922,49,1000.0,0.13265441,0.37849286,-19.767702,250000.0,5000.0,0.0033333333333333335,0.7656433,0.025000000000000005
51000.0,0.19561501,0.8961265,0.23278068,50,1020.0,0.14268003,0.3785309,-20.820496,255000.0,5100.0,0.0016666666666666668,0.81433773,0.03333333333333333
52000.0,0.1956561,0.8978064,0.23264275,51,1040.0,0.12151768,0.3785968,-20.267828,260000.0,5200.0,0.0016666666666666668,0.7870094,0.016666666666666666
53000.0,0.1956578,0.899404,0.23257445,52,1060.0,0.13166644,0.37853524,-22.439058,265000.0,5300.0,0.005,0.848646,0.016666666666666666
54000.0,0.19561763,0.90099484,0.23243456,53,1080.0,0.10810525,0.3786211,-21.573156,270000.0,5400.0,0.008333333333333333,0.8364485,0.03333333333333333
55000.0,0.19553359,0.9027011,0.23228253,54,1100.0,0.22260058,0.37873697,-19.339737,275000.0,5500.0,0.0016666666666666668,0.71523947,0.041666666666666664
56000.0,0.19545417,0.90424585,0.23223476,55,1120.0,0.14595242,0.37878236,-22.267942,280000.0,5600.0,0.0033333333333333335,0.82251596,0.016666666666666666
57000.0,0.19540258,0.9056794,0.23210756,56,1140.0,0.12712127,0.3789533,-21.942017,285000.0,5700.0,0.0033333333333333335,0.8452012,0.025000000000000005
58000.0,0.1953433,0.907275,0.23208618,57,1160.0,0.14043577,0.37906185,-20.933367,290000.0,5800.0,0.005,0.7885625,0.049999999999999996
59000.0,0.19519873,0.9088025,0.23200242,58,1180.0,0.12556614,0.37906083,-19.717033,295000.0,5900.0,0.006666666666666667,0.6919598,0.025000000000000005
60000.0,0.1950848,0.9102513,0.23197933,59,1200.0,0.16155931,0.3790832,-21.124315,300000.0,6000.0,0.0016666666666666668,0.78246975,0.016666666666666666
