epoch,test/episode,stats_o/mean,stats_o/std,stats_g/std,test/ag_g_dist,train/success_rate,train/reward_compute_count,stats_g/mean,test/success_rate,train/critic_loss,train/episode,test/mean_Q,test/reward_compute_count
43,880.0,0.20026727,0.71415824,0.23094167,1.0586096,0.0,220000.0,0.37407613,0.0,0.00095718144,4400.0,-44.01746,44000.0
44,900.0,0.20029427,0.71412593,0.23084731,1.0364708,0.0,225000.0,0.3741081,0.0,0.007987236,4500.0,-44.15114,45000.0
45,920.0,0.2002796,0.71409243,0.23087503,1.0274407,0.0,230000.0,0.37401304,0.0,0.002108116,4600.0,-44.641613,46000.0
46,940.0,0.2002064,0.7139738,0.23091228,1.0474968,0.0,235000.0,0.37391677,0.0,0.0011578621,4700.0,-44.8979,47000.0
47,960.0,0.20017622,0.71389884,0.23091233,1.0791767,0.0,240000.0,0.3739476,0.0,0.0008440572,4800.0,-45.049774,48000.0
48,980.0,0.20016862,0.71373636,0.2308649,1.0424206,0.0,245000.0,0.37401453,0.0,0.0010303017,4900.0,-45.30002,49000.0
49,1000.0,0.20012003,0.71375513,0.23089756,1.0188612,0.0,250000.0,0.37393925,0.0,0.00068245706,5000.0,-45.52887,50000.0
50,1020.0,0.20008902,0.7135548,0.23086853,1.0798959,0.0,255000.0,0.373984,0.0,0.0008608748,5100.0,-45.74412,51000.0
51,1040.0,0.20007809,0.71354395,0.23086572,1.0512613,0.0,260000.0,0.37396303,0.0,0.00044844332,5200.0,-45.917725,52000.0
52,1060.0,0.20004661,0.7134373,0.23091276,1.084069,0.0,265000.0,0.37386355,0.0,0.0005453285,5300.0,-46.060318,53000.0
53,1080.0,0.19999714,0.71333736,0.23091261,1.0671877,0.0,270000.0,0.37395263,0.0,0.0014768526,5400.0,-46.22646,54000.0
54,1100.0,0.20002408,0.71325064,0.23089547,1.0071391,0.0,275000.0,0.37398592,0.0,0.00047390966,5500.0,-46.458454,55000.0
55,1120.0,0.20004492,0.71320933,0.23087351,1.0612798,0.0,280000.0,0.37397859,0.0,0.00028432359,5600.0,-46.60568,56000.0
56,1140.0,0.20005633,0.7131546,0.230866,1.1065068,0.0,285000.0,0.3740654,0.0,0.00045398533,5700.0,-46.788452,57000.0
57,1160.0,0.20006244,0.71317595,0.23093386,1.0649008,0.0,290000.0,0.37408814,0.0,0.0014534784,5800.0,-46.939632,58000.0
58,1180.0,0.2000523,0.7131395,0.23095226,0.96109813,0.0,295000.0,0.37407604,0.0,0.0025501924,5900.0,-47.075703,59000.0
59,1200.0,0.20001405,0.7131295,0.23098846,1.0301385,0.0,300000.0,0.374055,0.0,0.0016807485,6000.0,-47.20448,60000.0
