stats_g/mean,test/ag_g_dist,test/mean_Q,train/success_rate,train/critic_loss,train/reward_compute_count,test/success_rate,test/episode,stats_o/std,stats_o/mean,stats_g/std,train/episode,test/reward_compute_count,epoch
0.6787774,0.1171965,-32.223404,0.0,9.2844966e-05,110000.0,0.0,440.0,0.65143186,0.32948646,0.017664257,2200.0,22000.0,21
0.6788328,0.11727867,-33.065945,0.0,2.044675e-05,115000.0,0.0,460.0,0.6510798,0.329506,0.017587211,2300.0,23000.0,22
0.67887765,0.114595115,-33.885185,0.0,2.3388697e-05,120000.0,0.0,480.0,0.6503299,0.32948843,0.017512487,2400.0,24000.0,23
0.6789077,0.116469584,-34.673576,0.0,1.129037e-05,125000.0,0.0,500.0,0.64968467,0.32941207,0.017445823,2500.0,25000.0,24
0.6789252,0.11671471,-35.41611,0.0,1.7964185e-05,130000.0,0.0,520.0,0.6493033,0.3293606,0.017377697,2600.0,26000.0,25
0.6789482,0.11795107,-36.117992,0.0,1.737777e-05,135000.0,0.0,540.0,0.64886546,0.32933724,0.01731455,2700.0,27000.0,26
0.67896825,0.118637525,-36.780773,0.0,1.8151528e-05,140000.0,0.0,560.0,0.6485538,0.32925394,0.017261047,2800.0,28000.0,27
0.6789865,0.11884003,-37.41429,0.0,2.7531118e-05,145000.0,0.0,580.0,0.6482537,0.32919165,0.017204743,2900.0,29000.0,28
0.6789997,0.11782056,-38.003822,0.0,1.4050766e-05,150000.0,0.0,600.0,0.64785665,0.32914892,0.017156664,3000.0,30000.0,29
0.6790164,0.11791849,-38.577663,0.0,1.8394849e-05,155000.0,0.0,620.0,0.6475592,0.32915413,0.017112011,3100.0,31000.0,30
0.6790287,0.11883658,-39.120316,0.0,7.5143835e-06,160000.0,0.0,640.0,0.6472656,0.32914564,0.017068414,3200.0,32000.0,31
0.6790411,0.118559696,-39.648907,0.0,1.3199827e-06,165000.0,0.0,660.0,0.6469662,0.329121,0.017029708,3300.0,33000.0,32
0.67904955,0.116746075,-40.142815,0.0,3.4409725e-06,170000.0,0.0,680.0,0.6468839,0.329106,0.016982937,3400.0,34000.0,33
0.6790617,0.11822027,-40.615685,0.0,4.6623118e-06,175000.0,0.0,700.0,0.6464991,0.3290835,0.01694275,3500.0,35000.0,34
0.6790729,0.11925578,-41.05631,0.0,1.1689813e-05,180000.0,0.0,720.0,0.64619744,0.32904866,0.016903462,3600.0,36000.0,35
0.679086,0.11880421,-41.49223,0.0,2.1173066e-05,185000.0,0.0,740.0,0.64594764,0.32904878,0.016868772,3700.0,37000.0,36
0.67909664,0.11819508,-41.890903,0.0,7.718637e-06,190000.0,0.0,760.0,0.6457795,0.32900593,0.016835514,3800.0,38000.0,37
0.6791069,0.11728743,-42.273273,0.0,7.868504e-06,195000.0,0.0,780.0,0.6455164,0.32902265,0.016801966,3900.0,39000.0,38
0.67911464,0.1182856,-42.635044,0.0,2.9548657e-06,200000.0,0.0,800.0,0.6452661,0.3290113,0.016767733,4000.0,40000.0,39
0.6791255,0.118102215,-42.975346,0.0,2.6085575e-06,205000.0,0.0,820.0,0.6450839,0.3289784,0.016739998,4100.0,41000.0,40
0.6791355,0.119751096,-43.306763,0.0,3.3494962e-06,210000.0,0.0,840.0,0.6449205,0.32895458,0.016711878,4200.0,42000.0,41
