test/ag_g_dist,test/success_rate,stats_g/std,stats_g/mean,train/episode,test/episode,stats_o/std,test/mean_Q,train/success_rate,epoch,stats_o/mean,train/critic_loss
0.17513096,0.0,0.075461745,0.8372946,100.0,20.0,0.05032311,-2.9566653,0.0016666666666666668,0,0.20081474,0.33468947
0.18231718,0.0,0.07353375,0.83735657,200.0,40.0,0.047842216,-5.1787963,0.0016666666666666668,1,0.20103966,0.5855957
0.16777575,0.0,0.073033266,0.83745956,300.0,60.0,0.046713393,-7.1086106,0.0016666666666666668,2,0.20108712,0.62744546
0.1798569,0.0,0.07538562,0.83810854,400.0,80.0,0.048891883,-8.970601,0.0,3,0.20138858,0.59803027
0.18003802,0.0,0.07972256,0.8386176,500.0,100.0,0.054818142,-10.695358,0.0016666666666666668,4,0.2016118,0.6050826
0.16030289,0.0,0.081099175,0.838582,600.0,120.0,0.056855123,-11.842378,0.0033333333333333335,5,0.20166582,0.59934545
0.15391375,0.05833333333333333,0.08041955,0.8384454,700.0,140.0,0.060091984,-11.97092,0.006666666666666667,6,0.20187384,0.59035426
0.15004309,0.07500000000000001,0.07987859,0.83903646,800.0,160.0,0.06496416,-11.718179,0.023333333333333334,7,0.20183043,0.58501965
0.113637716,0.225,0.07988476,0.83918047,900.0,180.0,0.07202337,-9.826488,0.055,8,0.20178896,0.6109123
0.088474415,0.4000000000000001,0.08007501,0.83929867,1000.0,200.0,0.078612134,-7.938738,0.07833333333333335,9,0.20195751,0.6581153
0.07000184,0.5833333333333334,0.07993369,0.83923465,1100.0,220.0,0.08374647,-6.3328233,0.16333333333333333,10,0.20200403,0.61438155
0.049837667,0.6166666666666667,0.07980086,0.8393164,1200.0,240.0,0.08823842,-5.344229,0.17166666666666672,11,0.2022186,0.5441982
0.05244152,0.6583333333333333,0.07923097,0.83937186,1300.0,260.0,0.092438936,-5.945516,0.21666666666666667,12,0.2021727,0.53960043
0.06158505,0.7416666666666667,0.07882824,0.8392294,1400.0,280.0,0.096027076,-5.951088,0.28833333333333333,13,0.20191859,0.6025837
0.050638855,0.7666666666666666,0.078674816,0.83915067,1500.0,300.0,0.098987065,-5.764338,0.22999999999999998,14,0.20192617,0.5795715
0.04679149,0.7583333333333333,0.07847124,0.83912486,1600.0,320.0,0.101018906,-6.13792,0.26833333333333337,15,0.20184392,0.58148265
0.043682247,0.7666666666666666,0.078283526,0.8391755,1700.0,340.0,0.10308191,-6.2977467,0.25,16,0.20182057,0.6405224
0.048484787,0.7583333333333334,0.077961266,0.8393392,1800.0,360.0,0.10446452,-7.004345,0.305,17,0.20203888,0.5529937
0.0454292,0.7916666666666666,0.07770508,0.8393171,1900.0,380.0,0.10592791,-6.8589153,0.32833333333333337,18,0.20198946,0.53371006
0.04249962,0.7666666666666666,0.07754586,0.8393045,2000.0,400.0,0.10699736,-6.7685533,0.32,19,0.2019313,0.5378049
0.046456605,0.875,0.077216215,0.83925486,2100.0,420.0,0.10765935,-6.9218535,0.3499999999999999,20,0.20191364,0.48859644
0.046968553,0.9083333333333332,0.077082895,0.83925444,2200.0,440.0,0.10833097,-7.3298087,0.36166666666666664,21,0.20189781,0.5514639
0.047059726,0.9583333333333334,0.07694222,0.83914715,2300.0,460.0,0.10891184,-6.900744,0.4033333333333333,22,0.2018087,0.5594087
0.04313794,0.9583333333333334,0.07674249,0.8391855,2400.0,480.0,0.1094174,-6.9215035,0.37833333333333335,23,0.20180607,0.4613054
0.042637765,0.9583333333333334,0.07657036,0.83919,2500.0,500.0,0.10979152,-7.2322335,0.4033333333333333,24,0.20183711,0.49726692
0.041144144,0.9833333333333334,0.07628915,0.83915234,2600.0,520.0,0.10998652,-7.108748,0.4000000000000001,25,0.20186518,0.5744087
0.04046215,0.9833333333333334,0.076204516,0.8390755,2700.0,540.0,0.11029325,-7.189077,0.4283333333333334,26,0.20179273,0.62606525
0.03631011,1.0,0.076058574,0.83910495,2800.0,560.0,0.11057269,-7.0143166,0.435,27,0.20179218,0.5215246
0.04410085,0.9666666666666668,0.07594102,0.83902574,2900.0,580.0,0.110792704,-7.1285567,0.425,28,0.20179433,0.5188443
0.04507558,0.9916666666666667,0.075892836,0.8389645,3000.0,600.0,0.11083355,-7.339865,0.4083333333333334,29,0.20174046,0.5194352
