train/success_rate,train/episode,test/mean_Q,epoch,test/episode,stats_g/mean,test/ag_g_dist,stats_o/mean,stats_o/std,test/success_rate,train/critic_loss,stats_g/std
0.39999999999999997,780.0,-1.9484596,38,780.0,0.87881154,0.024576813,0.26380324,0.030903647,0.9333333333333332,0.06090424,0.08436084
0.2833333333333333,800.0,-2.0475938,39,800.0,0.87888527,0.023809223,0.26382014,0.03094151,0.9416666666666668,0.057375994,0.084468134
0.2833333333333334,820.0,-2.5941288,40,820.0,0.8789657,0.034573887,0.26384658,0.030966243,0.9083333333333332,0.046418313,0.08453568
0.30833333333333335,840.0,-2.1923752,41,840.0,0.8791236,0.024924055,0.26388887,0.03099429,0.9250000000000002,0.055811238,0.08459059
0.3333333333333333,860.0,-1.8930994,42,860.0,0.8790838,0.02244834,0.2638843,0.031023309,0.9333333333333332,0.045837935,0.08464748
0.3333333333333333,880.0,-2.456133,43,880.0,0.8792073,0.02738896,0.26391947,0.031018848,0.9083333333333333,0.064088404,0.084622025
0.3,900.0,-2.2539375,44,900.0,0.8792045,0.024254633,0.2639268,0.031039407,0.9249999999999999,0.056203622,0.084655546
0.38333333333333336,920.0,-2.0026982,45,920.0,0.8792772,0.021415547,0.2639464,0.031045655,0.9499999999999998,0.044979323,0.084651954
0.35833333333333334,940.0,-2.03113,46,940.0,0.8793342,0.022803515,0.26396057,0.031054666,0.9333333333333332,0.08168466,0.08466657
0.4083333333333334,960.0,-2.173591,47,960.0,0.87938327,0.02343029,0.2639713,0.031100566,0.9249999999999999,0.049621403,0.08481348
0.36666666666666664,980.0,-2.4058418,48,980.0,0.87945914,0.022987112,0.2639957,0.03110447,0.9249999999999999,0.056447115,0.0847905
0.4000000000000001,1000.0,-2.3382933,49,1000.0,0.87955934,0.02147313,0.26401958,0.031100014,0.9416666666666668,0.054501627,0.08475
0.2583333333333333,1020.0,-2.407768,50,1020.0,0.8795392,0.026763579,0.26401502,0.031105125,0.9249999999999999,0.06375035,0.08475537
0.3416666666666666,1040.0,-2.6550393,51,1040.0,0.8795156,0.015244207,0.26400524,0.03111058,0.9083333333333333,0.044004977,0.08475023
0.27499999999999997,1060.0,-2.9191525,52,1060.0,0.87955064,0.024716608,0.26401442,0.031103944,0.8833333333333333,0.08804288,0.08471682
0.4166666666666667,1080.0,-2.3822575,53,1080.0,0.8795541,0.018087165,0.26401573,0.031105787,0.9249999999999999,0.05893652,0.08469415
0.225,1100.0,-2.6595948,54,1100.0,0.8794225,0.023027683,0.26397997,0.03112947,0.9083333333333332,0.056792706,0.08476293
0.3833333333333333,1120.0,-2.3745644,55,1120.0,0.87946445,0.021152109,0.26398596,0.03113394,0.9249999999999999,0.046961937,0.084762625
0.35000000000000003,1140.0,-2.1036465,56,1140.0,0.87960887,0.018114373,0.26402313,0.031131798,0.9416666666666668,0.04800872,0.08473432
0.3,1160.0,-2.192511,57,1160.0,0.8794806,0.018830344,0.26398495,0.031117747,0.9416666666666668,0.24475671,0.08467435
0.30833333333333335,1180.0,-2.25857,58,1180.0,0.87930435,0.016310794,0.26393694,0.031134158,0.9583333333333334,0.06025326,0.08471302
0.2333333333333333,1200.0,-2.6666152,59,1200.0,0.87926674,0.021463221,0.26392922,0.031140119,0.9249999999999999,0.046250973,0.08471798
