stats_g/mean,test/mean_Q,test/success_rate,train/success_rate,train/episode,test/episode,stats_g/std,stats_o/std,test/ag_g_dist,epoch,stats_o/mean,train/critic_loss
0.7885073,-12.659497,0.39999999999999997,0.125,2200.0,440.0,0.18860336,0.096173525,0.19469951,21,0.18424982,0.12866253
0.79023844,-12.772433,0.4083333333333334,0.12833333333333333,2300.0,460.0,0.18908168,0.09697958,0.19877686,22,0.1845605,0.115980744
0.79169893,-12.981904,0.375,0.11666666666666668,2400.0,480.0,0.18891765,0.097537644,0.18918057,23,0.1849616,0.21662708
0.7932906,-10.73944,0.45,0.15833333333333335,2500.0,500.0,0.18869169,0.09772625,0.16347751,24,0.18527965,0.10832312
0.7945316,-11.891253,0.4583333333333333,0.17,2600.0,520.0,0.18817453,0.09798946,0.19538677,25,0.1855096,0.33789206
0.79539555,-11.2777405,0.5333333333333333,0.17,2700.0,540.0,0.1881816,0.09845831,0.18189378,26,0.18570499,0.13519429
0.79647636,-12.251645,0.44166666666666665,0.16166666666666665,2800.0,560.0,0.18793927,0.09900535,0.18032096,27,0.18583597,0.19305198
0.7974195,-11.063066,0.45,0.17666666666666667,2900.0,580.0,0.18752474,0.099201106,0.1702336,28,0.18600269,0.26715848
0.7983766,-11.698247,0.5,0.155,3000.0,600.0,0.18722022,0.09942719,0.1730965,29,0.18616776,0.23746537
0.79924417,-11.973052,0.5333333333333333,0.20000000000000004,3100.0,620.0,0.18696862,0.09955131,0.17076866,30,0.18630521,0.23317091
0.80028963,-11.077149,0.5166666666666667,0.16666666666666666,3200.0,640.0,0.18676543,0.09971253,0.16127618,31,0.18647999,0.19610597
0.8009595,-10.00922,0.55,0.19000000000000003,3300.0,660.0,0.18642181,0.09986908,0.16143897,32,0.18663879,0.23281644
0.80171496,-11.510551,0.5,0.17833333333333332,3400.0,680.0,0.1861475,0.100190185,0.18983532,33,0.18681814,0.37468672
0.8021291,-12.44273,0.4916666666666667,0.205,3500.0,700.0,0.18593568,0.10030192,0.17899238,34,0.18687133,0.17986457
0.8027282,-13.819679,0.5,0.20833333333333334,3600.0,720.0,0.18577637,0.10057636,0.19264533,35,0.18699045,0.24901432
0.80320007,-12.187964,0.5499999999999999,0.20166666666666666,3700.0,740.0,0.18545169,0.10071882,0.18081033,36,0.18711297,0.21379149
0.8037701,-11.727569,0.5166666666666667,0.23333333333333336,3800.0,760.0,0.18501218,0.10081435,0.1765639,37,0.1872365,0.60771567
0.80444574,-11.6968,0.5666666666666668,0.22999999999999998,3900.0,780.0,0.18455684,0.10088261,0.18014728,38,0.18736081,0.5970649
0.80502754,-14.675725,0.39166666666666666,0.19666666666666668,4000.0,800.0,0.18415825,0.100897454,0.20432377,39,0.18748896,0.31972125
0.805531,-10.777612,0.5750000000000001,0.20166666666666666,4100.0,820.0,0.183918,0.100880064,0.1827039,40,0.1876014,0.25866258
0.8058714,-12.2064085,0.5583333333333333,0.21333333333333335,4200.0,840.0,0.18364483,0.100901164,0.1963861,41,0.18772219,0.46919394
0.806231,-10.415297,0.6083333333333334,0.21,4300.0,860.0,0.18336308,0.10087576,0.1797791,42,0.18778665,0.4673879
0.80665964,-9.936167,0.625,0.18666666666666668,4400.0,880.0,0.18313779,0.10107568,0.17497778,43,0.18786056,0.2791989
0.80702573,-11.679732,0.5166666666666667,0.19333333333333336,4500.0,900.0,0.18280369,0.101120025,0.19820249,44,0.18795724,0.4164008
0.807378,-10.834561,0.5583333333333333,0.18166666666666664,4600.0,920.0,0.18259202,0.10120844,0.18426652,45,0.18810481,0.27724767
0.8076771,-11.888859,0.5,0.20666666666666667,4700.0,940.0,0.18242867,0.101276875,0.17785037,46,0.18817268,0.3429321
0.80814934,-10.259151,0.5666666666666667,0.18666666666666668,4800.0,960.0,0.18219511,0.101480246,0.187577,47,0.18831123,0.25488672
0.80849904,-10.259239,0.625,0.19666666666666666,4900.0,980.0,0.18204083,0.10160143,0.17808788,48,0.18841875,0.3402536
0.8088639,-10.948273,0.65,0.18000000000000002,5000.0,1000.0,0.18176334,0.10169319,0.18513839,49,0.18848963,0.4319047
