test/ag_g_dist,stats_o/mean,stats_o/std,stats_g/std,test/mean_Q,test/episode,train/episode,epoch,train/reward_compute_count,stats_g/mean,train/critic_loss,test/reward_compute_count,test/success_rate,train/success_rate
0.47859833,0.17695397,0.058090925,0.122454554,-3.015686,20.0,100.0,0,5000.0,0.7413061,0.0039497525,1000.0,0.0,0.0033333333333333335
0.4483976,0.176503,0.05690081,0.121541016,-5.050513,40.0,200.0,1,10000.0,0.7426178,0.005666508,2000.0,0.0,0.0
0.4288423,0.17703027,0.056714226,0.12201222,-7.042486,60.0,300.0,2,15000.0,0.7434788,0.0042490317,3000.0,0.008333333333333333,0.0033333333333333335
0.46657577,0.1773843,0.058191214,0.1261955,-9.0203085,80.0,400.0,3,20000.0,0.7450714,0.01825512,4000.0,0.0,0.0033333333333333335
0.44023743,0.17801435,0.060634613,0.13179602,-10.595744,100.0,500.0,4,25000.0,0.74709386,0.024060858,5000.0,0.008333333333333333,0.016666666666666666
0.46832576,0.17843316,0.06218806,0.13643876,-12.178005,120.0,600.0,5,30000.0,0.7482725,0.024648318,6000.0,0.008333333333333333,0.006666666666666667
0.42862836,0.17932351,0.06593802,0.14514233,-13.31306,140.0,700.0,6,35000.0,0.7507758,0.04068697,7000.0,0.025000000000000005,0.011666666666666667
0.35101405,0.17979328,0.067507535,0.14912324,-12.567723,160.0,800.0,7,40000.0,0.7529251,0.042428035,8000.0,0.10833333333333334,0.028333333333333332
0.40882313,0.17987221,0.06896781,0.15239675,-14.781224,180.0,900.0,8,45000.0,0.7538865,0.042537346,9000.0,0.075,0.026666666666666672
0.389287,0.18034297,0.071024425,0.15729347,-15.415131,200.0,1000.0,9,50000.0,0.7558656,0.0492824,10000.0,0.075,0.03166666666666667
0.37271687,0.18095519,0.07368354,0.16114394,-14.815251,220.0,1100.0,10,55000.0,0.7590994,0.16340078,11000.0,0.08333333333333333,0.041666666666666664
0.33248174,0.18154879,0.07577255,0.16345032,-14.641155,240.0,1200.0,11,60000.0,0.76333994,0.094537735,12000.0,0.08333333333333333,0.065
0.32790223,0.1819802,0.07799581,0.16638754,-14.8007345,260.0,1300.0,12,65000.0,0.7665222,0.1586603,13000.0,0.125,0.06833333333333334
0.32625732,0.18231924,0.07927783,0.1680528,-13.011948,280.0,1400.0,13,70000.0,0.7688529,0.09034886,14000.0,0.225,0.12666666666666668
0.27003375,0.18268664,0.08099698,0.17030565,-13.181424,300.0,1500.0,14,75000.0,0.7717461,0.17738603,15000.0,0.19999999999999998,0.09666666666666668
0.2573708,0.18335913,0.08193233,0.17103912,-13.782238,320.0,1600.0,15,80000.0,0.7751462,0.12882961,16000.0,0.26666666666666666,0.115
0.2179548,0.18390198,0.082549565,0.17166503,-11.982544,340.0,1700.0,16,85000.0,0.7779109,0.13195534,17000.0,0.3416666666666666,0.10333333333333333
0.22196488,0.18456288,0.08358594,0.17221482,-13.127282,360.0,1800.0,17,90000.0,0.7814126,0.15270917,18000.0,0.3333333333333333,0.105
0.21395327,0.18517108,0.08453355,0.17282794,-12.957196,380.0,1900.0,18,95000.0,0.78401214,0.15713738,19000.0,0.3333333333333333,0.15666666666666665
0.21428268,0.1856535,0.085135914,0.17287345,-13.584914,400.0,2000.0,19,100000.0,0.78635645,0.25078905,20000.0,0.2916666666666667,0.15333333333333335
0.19011568,0.18617897,0.08610452,0.17350936,-13.149231,420.0,2100.0,20,105000.0,0.7887688,0.36667058,21000.0,0.3833333333333333,0.14
0.19462733,0.18666065,0.08719043,0.17382206,-14.167252,440.0,2200.0,21,110000.0,0.79097456,0.55640274,22000.0,0.3416666666666666,0.145
0.21152337,0.18696101,0.08785384,0.17432337,-14.981831,460.0,2300.0,22,115000.0,0.79262894,0.2890837,23000.0,0.25833333333333336,0.14333333333333334
0.21600763,0.18740976,0.08855473,0.1744241,-13.943252,480.0,2400.0,23,120000.0,0.7941885,0.4964036,24000.0,0.3499999999999999,0.165
0.17913754,0.18767644,0.08960316,0.17483008,-12.917671,500.0,2500.0,24,125000.0,0.7956845,0.40822527,25000.0,0.35000000000000003,0.14833333333333334
0.2099681,0.18789577,0.09110733,0.1758774,-14.329071,520.0,2600.0,25,130000.0,0.79661864,0.53023493,26000.0,0.2833333333333334,0.1366666666666667
0.21383488,0.18805571,0.092700444,0.17665863,-13.236954,540.0,2700.0,26,135000.0,0.7973811,0.47675836,27000.0,0.3583333333333334,0.15833333333333333
0.20722346,0.18816775,0.09360936,0.17715804,-13.841283,560.0,2800.0,27,140000.0,0.7982159,0.27565953,28000.0,0.3333333333333333,0.13833333333333334
0.18379928,0.18828888,0.09456042,0.17772307,-11.81942,580.0,2900.0,28,145000.0,0.7988033,0.41373602,29000.0,0.35000000000000003,0.13
0.19716354,0.18842669,0.0952901,0.17807786,-14.141673,600.0,3000.0,29,150000.0,0.7994841,0.58057743,30000.0,0.375,0.13833333333333334
0.18394451,0.1885124,0.09609427,0.17833735,-11.904109,620.0,3100.0,30,155000.0,0.8002191,0.73449373,31000.0,0.43333333333333335,0.17666666666666667
0.17376661,0.18854898,0.09678462,0.17863624,-16.294176,640.0,3200.0,31,160000.0,0.8008459,0.4058384,32000.0,0.2916666666666667,0.13
0.16189267,0.18855417,0.09727118,0.17857186,-9.807697,660.0,3300.0,32,165000.0,0.8013255,0.5399377,33000.0,0.5833333333333334,0.17166666666666666
0.19718345,0.18868244,0.097733594,0.17860542,-13.172367,680.0,3400.0,33,170000.0,0.80204827,0.7341543,34000.0,0.39999999999999997,0.17666666666666667
