test/success_rate,test/episode,train/episode,train/critic_loss,stats_g/mean,test/ag_g_dist,stats_g/std,stats_o/mean,epoch,stats_o/std,test/mean_Q,train/success_rate
0.0,20.0,100.0,0.0047908644,0.74124867,0.47819957,0.12214861,0.17697382,0,0.058961783,-2.5584302,0.0
0.0,40.0,200.0,0.0041066315,0.7424074,0.44647327,0.121274374,0.17641538,1,0.057880443,-4.6115155,0.0
0.0,60.0,300.0,0.006067836,0.74317044,0.42390513,0.12287686,0.17686914,2,0.057926405,-6.5425887,0.0
0.0,80.0,400.0,0.008778957,0.7447465,0.46240696,0.12416332,0.177357,3,0.05743247,-8.688545,0.0
0.0,100.0,500.0,0.0077724024,0.7465737,0.44498134,0.12591062,0.17786276,4,0.0576217,-10.501149,0.0016666666666666668
0.0,120.0,600.0,0.013799981,0.7463719,0.46945405,0.1282533,0.17781885,5,0.05876115,-12.368915,0.0
0.0,140.0,700.0,0.020506294,0.747446,0.4522113,0.13231416,0.17808276,6,0.060521755,-13.8939085,0.0016666666666666668
0.0,160.0,800.0,0.037492067,0.74776286,0.3971018,0.13467427,0.17820688,7,0.0616491,-14.988274,0.0
0.0,180.0,900.0,0.019272365,0.74840313,0.44908628,0.13732347,0.17827062,8,0.06309882,-16.933144,0.0016666666666666668
0.016666666666666666,200.0,1000.0,0.026184544,0.7497835,0.42859578,0.1412136,0.17864162,9,0.06495149,-17.71193,0.0
0.0,220.0,1100.0,0.03630325,0.75078636,0.41794887,0.14588009,0.17882983,10,0.067647025,-18.757746,0.0
0.008333333333333333,240.0,1200.0,0.026170924,0.7519302,0.41967487,0.1505663,0.17910433,11,0.07094778,-19.296122,0.0
0.0,260.0,1300.0,0.049485628,0.7537928,0.3738719,0.15577261,0.17960049,12,0.07446172,-18.923323,0.0016666666666666668
0.008333333333333333,280.0,1400.0,0.052526835,0.7560637,0.35677108,0.16093177,0.18023543,13,0.077888474,-18.879988,0.0016666666666666668
0.008333333333333333,300.0,1500.0,0.04908629,0.759137,0.3106954,0.16520491,0.18117511,14,0.081107244,-18.485918,0.0
0.008333333333333333,320.0,1600.0,0.06439944,0.7624092,0.31401747,0.16691391,0.18203926,15,0.082649164,-18.425785,0.0
0.0,340.0,1700.0,0.08227446,0.76455086,0.30001244,0.16833091,0.1826371,16,0.0839803,-19.27513,0.0
0.008333333333333333,360.0,1800.0,0.08040488,0.76651126,0.35379162,0.16874194,0.18313329,17,0.08437743,-19.869995,0.008333333333333333
0.0,380.0,1900.0,0.081144445,0.76787883,0.38624692,0.16914862,0.1834919,18,0.084859975,-20.232544,0.005
