train/success_rate,stats_g/std,stats_o/mean,test/mean_Q,test/episode,test/reward_compute_count,train/reward_compute_count,train/critic_loss,epoch,test/success_rate,stats_o/std,test/ag_g_dist,train/episode,stats_g/mean
0.0,0.22949232,0.20022887,-2.5474985,20.0,1000.0,5000.0,0.061240207,0,0.0,0.7545695,0.97303754,100.0,0.3771317
0.0,0.231086,0.19970228,-4.5261083,40.0,2000.0,10000.0,0.0750727,1,0.0,0.755498,0.9780736,200.0,0.3779637
0.0,0.232229,0.1973065,-6.295546,60.0,3000.0,15000.0,0.08124104,2,0.0,0.76008123,0.9834466,300.0,0.3779386
0.0016666666666666668,0.23170875,0.19574416,-8.042598,80.0,4000.0,20000.0,0.08863749,3,0.0,0.7678718,1.0379614,400.0,0.37820247
0.0016666666666666668,0.2314883,0.1946307,-9.026462,100.0,5000.0,25000.0,0.091849186,4,0.0,0.7763591,0.9743905,500.0,0.37742424
0.0,0.23284988,0.19425954,-10.191428,120.0,6000.0,30000.0,0.093148,5,0.0,0.7815607,1.0016832,600.0,0.3779191
0.0,0.23431765,0.19286041,-11.900212,140.0,7000.0,35000.0,0.10342064,6,0.0,0.7859344,1.0865976,700.0,0.37794086
0.0,0.2342871,0.19215436,-12.88731,160.0,8000.0,40000.0,0.111883886,7,0.0,0.7881951,0.9790569,800.0,0.37746373
0.0,0.23400736,0.19210778,-13.976701,180.0,9000.0,45000.0,0.10885012,8,0.0,0.7901924,0.94866467,900.0,0.37819362
0.0,0.23390174,0.19200845,-15.808339,200.0,10000.0,50000.0,0.11984044,9,0.0,0.79179686,1.0211014,1000.0,0.37824723
0.0016666666666666668,0.23409534,0.19215244,-16.589087,220.0,11000.0,55000.0,0.12568228,10,0.0,0.79304975,0.9796505,1100.0,0.37817526
0.0,0.23418535,0.19276088,-18.144339,240.0,12000.0,60000.0,0.12625085,11,0.0,0.79480153,1.0265177,1200.0,0.3781561
0.0016666666666666668,0.2346317,0.19284916,-18.788828,260.0,13000.0,65000.0,0.121195756,12,0.0,0.79813224,0.9773086,1300.0,0.37766364
0.0016666666666666668,0.23486124,0.1926107,-19.298668,280.0,14000.0,70000.0,0.13908456,13,0.0,0.8017685,1.0245546,1400.0,0.37751833
0.0,0.23512864,0.19257148,-20.556654,300.0,15000.0,75000.0,0.14066762,14,0.0,0.80505115,1.0462046,1500.0,0.37754306
0.0,0.23536666,0.19256438,-20.160656,320.0,16000.0,80000.0,0.14578155,15,0.008333333333333333,0.80904484,0.9185205,1600.0,0.37752166
0.0,0.23566103,0.19269533,-21.848198,340.0,17000.0,85000.0,0.16614032,16,0.0,0.81249636,0.9551514,1700.0,0.3776815
0.0,0.23577629,0.1924699,-22.5729,360.0,18000.0,90000.0,0.15791775,17,0.0,0.8158038,0.9854409,1800.0,0.37770477
0.0033333333333333335,0.23605151,0.192315,-22.386377,380.0,19000.0,95000.0,0.1522377,18,0.0,0.8191002,0.9301979,1900.0,0.37725997
0.0,0.23601885,0.19209199,-22.148733,400.0,20000.0,100000.0,0.17381932,19,0.0,0.8232419,0.91066736,2000.0,0.37696728
0.0,0.23617278,0.19188412,-21.506317,420.0,21000.0,105000.0,0.17415778,20,0.016666666666666666,0.8272185,0.89314526,2100.0,0.3769056
0.0016666666666666668,0.2361319,0.19183393,-22.883413,440.0,22000.0,110000.0,0.17460896,21,0.0,0.8309374,0.9304337,2200.0,0.37684843
0.0,0.23603173,0.19179286,-24.684835,460.0,23000.0,115000.0,0.17742388,22,0.008333333333333333,0.83495516,0.96595496,2300.0,0.37696436
0.0016666666666666668,0.23607062,0.19189851,-23.204826,480.0,24000.0,120000.0,0.16764987,23,0.025000000000000005,0.8387154,0.8813381,2400.0,0.3769864
0.0016666666666666668,0.23593111,0.19207847,-23.206556,500.0,25000.0,125000.0,0.22123122,24,0.0,0.84257764,0.8778004,2500.0,0.37690187
0.0016666666666666668,0.23596607,0.1922596,-25.445158,520.0,26000.0,130000.0,0.19676824,25,0.0,0.84564227,0.971278,2600.0,0.3770723
0.0016666666666666668,0.23588876,0.19223912,-24.698263,540.0,27000.0,135000.0,0.22324044,26,0.0,0.84865874,0.9250799,2700.0,0.3771117
0.0016666666666666668,0.23580103,0.19215864,-24.532114,560.0,28000.0,140000.0,0.20000339,27,0.0,0.8517201,0.9299267,2800.0,0.37702587
0.0,0.23571046,0.19191773,-26.191446,580.0,29000.0,145000.0,0.19969516,28,0.0,0.85476416,0.9197593,2900.0,0.3771471
0.0033333333333333335,0.23566286,0.1918577,-25.532309,600.0,30000.0,150000.0,0.24179949,29,0.0,0.8575259,0.96513814,3000.0,0.37734246
