test/success_rate,stats_o/mean,stats_g/mean,test/reward_compute_count,train/success_rate,train/episode,train/reward_compute_count,stats_o/std,train/critic_loss,test/mean_Q,stats_g/std,test/ag_g_dist,epoch,test/episode
0.0,0.2073326,0.36034837,1000.0,0.0,100.0,5000.0,0.71257657,0.053602684,-2.8958652,0.13807942,0.9958746,0,20.0
0.0,0.20743753,0.3586199,2000.0,0.0,200.0,10000.0,0.71013993,0.058617193,-5.0536304,0.14091565,0.9826564,1,40.0
0.0,0.20559108,0.35814008,3000.0,0.0,300.0,15000.0,0.7081365,0.077749856,-6.9833283,0.14259198,0.9431059,2,60.0
0.0,0.20454185,0.35765585,4000.0,0.0,400.0,20000.0,0.70698947,0.07652479,-8.760212,0.14418578,0.95242757,3,80.0
0.008333333333333333,0.20430155,0.3574396,5000.0,0.0016666666666666668,500.0,25000.0,0.7072361,0.08291105,-10.413216,0.14430472,0.92811775,4,100.0
0.0,0.20418806,0.35758272,6000.0,0.0016666666666666668,600.0,30000.0,0.7077659,0.08377462,-11.966777,0.14454126,0.9142358,5,120.0
0.016666666666666666,0.20408534,0.35766926,7000.0,0.0016666666666666668,700.0,35000.0,0.7122448,0.08713458,-13.36855,0.14517787,0.95955294,6,140.0
0.0,0.20407782,0.3574392,8000.0,0.0,800.0,40000.0,0.7190829,0.08469548,-14.610518,0.14680883,0.9380522,7,160.0
0.0,0.20368874,0.35726294,9000.0,0.0,900.0,45000.0,0.72807926,0.10328424,-15.106753,0.14788945,0.92232615,8,180.0
0.016666666666666666,0.20396845,0.35752246,10000.0,0.0,1000.0,50000.0,0.736101,0.09484658,-15.779381,0.1486651,0.8842614,9,200.0
0.0,0.20386569,0.3578761,11000.0,0.0016666666666666668,1100.0,55000.0,0.74224585,0.09355027,-16.496193,0.14926709,0.9082026,10,220.0
0.008333333333333333,0.20364313,0.3584135,12000.0,0.005,1200.0,60000.0,0.74770194,0.110592365,-17.97986,0.15021825,0.9246452,11,240.0
0.008333333333333333,0.20380203,0.358672,13000.0,0.0016666666666666668,1300.0,65000.0,0.75310874,0.12090991,-17.913492,0.15130267,0.89965576,12,260.0
0.008333333333333333,0.20394088,0.35907555,14000.0,0.0033333333333333335,1400.0,70000.0,0.7597709,0.10088583,-18.53084,0.15237476,0.89539963,13,280.0
0.008333333333333333,0.20395823,0.3595794,15000.0,0.0,1500.0,75000.0,0.76537746,0.10894602,-19.30919,0.15314053,0.89493656,14,300.0
0.016666666666666666,0.20388441,0.35993907,16000.0,0.0033333333333333335,1600.0,80000.0,0.76975626,0.10106429,-20.444618,0.15395899,0.86713284,15,320.0
0.016666666666666666,0.2038096,0.36044803,17000.0,0.005,1700.0,85000.0,0.77472264,0.11280117,-20.17135,0.15499337,0.8386133,16,340.0
0.008333333333333333,0.2036838,0.36060235,18000.0,0.005,1800.0,90000.0,0.7794865,0.121319465,-20.190664,0.15570982,0.85180384,17,360.0
0.016666666666666666,0.20372505,0.36099854,19000.0,0.0033333333333333335,1900.0,95000.0,0.7837615,0.13867639,-21.683695,0.15647624,0.8489736,18,380.0
0.03333333333333333,0.20385468,0.36150095,20000.0,0.005,2000.0,100000.0,0.7877148,0.12704264,-21.025543,0.15713929,0.8413004,19,400.0
0.016666666666666666,0.20397054,0.3618717,21000.0,0.0016666666666666668,2100.0,105000.0,0.79103225,0.13655156,-22.533697,0.15764572,0.85693616,20,420.0
0.016666666666666666,0.20397381,0.36215755,22000.0,0.0,2200.0,110000.0,0.79431707,0.1350376,-22.736826,0.15800664,0.8877783,21,440.0
0.016666666666666666,0.20399205,0.36233953,23000.0,0.005,2300.0,115000.0,0.79743224,0.16284649,-23.058693,0.15848826,0.85476184,22,460.0
0.016666666666666666,0.20399715,0.3624874,24000.0,0.005,2400.0,120000.0,0.8002127,0.13955778,-24.02326,0.15916209,0.87984735,23,480.0
0.03333333333333333,0.20383918,0.3628311,25000.0,0.0016666666666666668,2500.0,125000.0,0.8033454,0.13298893,-24.427185,0.15970473,0.8469909,24,500.0
0.025000000000000005,0.20389076,0.36325124,26000.0,0.0033333333333333335,2600.0,130000.0,0.80659556,0.12986022,-22.744757,0.16028525,0.8027231,25,520.0
0.05833333333333333,0.20423703,0.36369023,27000.0,0.008333333333333333,2700.0,135000.0,0.80960304,0.16951971,-23.067673,0.16067295,0.8006131,26,540.0
0.025000000000000005,0.20445985,0.3640361,28000.0,0.011666666666666667,2800.0,140000.0,0.8125785,0.13512766,-24.593834,0.1612061,0.8315711,27,560.0
0.05000000000000001,0.2045406,0.36435506,29000.0,0.006666666666666667,2900.0,145000.0,0.8151207,0.1314183,-23.868494,0.16154489,0.77977735,28,580.0
0.025000000000000005,0.20467015,0.3645793,30000.0,0.011666666666666667,3000.0,150000.0,0.8177261,0.14231916,-23.97358,0.16189693,0.7882397,29,600.0
0.0,0.20474552,0.3649443,31000.0,0.01,3100.0,155000.0,0.82062536,0.19117536,-24.268106,0.16216776,0.76956195,30,620.0
0.016666666666666666,0.20470949,0.3651847,32000.0,0.005,3200.0,160000.0,0.82286865,0.15783465,-23.437277,0.16255614,0.68281096,31,640.0
0.03333333333333333,0.2046581,0.3653867,33000.0,0.005,3300.0,165000.0,0.8252141,0.18403982,-25.633024,0.16304663,0.80717325,32,660.0
0.025000000000000005,0.20472933,0.3655943,34000.0,0.0033333333333333335,3400.0,170000.0,0.82757425,0.15386476,-23.091492,0.16336253,0.7680909,33,680.0
