test/mean_Q,train/success_rate,train/episode,stats_g/std,train/critic_loss,stats_g/mean,stats_o/std,epoch,stats_o/mean,test/success_rate,test/episode,test/ag_g_dist
-0.76392674,0.2916666666666667,800.0,0.084083915,0.014978594,0.88365346,0.03047902,39,0.2640161,0.9416666666666668,800.0,0.022756338
-1.2542514,0.21666666666666665,820.0,0.08417568,0.02154093,0.88363427,0.030510252,40,0.26400888,0.9083333333333332,820.0,0.027554506
-0.9055562,0.225,840.0,0.08420793,0.018632201,0.8837333,0.030530905,41,0.2640311,0.9499999999999998,840.0,0.024269009
-0.83967805,0.26666666666666666,860.0,0.08423898,0.02042756,0.8836302,0.030554553,42,0.264005,0.9416666666666668,860.0,0.021383518
-1.3104337,0.25,880.0,0.08425907,0.020470362,0.8836551,0.030568814,43,0.26401052,0.9083333333333333,880.0,0.025822379
-1.1947374,0.25833333333333336,900.0,0.08428779,0.0665315,0.8836465,0.030585041,44,0.2640141,0.9249999999999999,900.0,0.025161162
-0.85784364,0.26666666666666666,920.0,0.08429558,0.020846209,0.88368464,0.0305978,45,0.26402378,0.9499999999999998,920.0,0.021693
-0.81190974,0.20833333333333334,940.0,0.08432463,0.029453961,0.8836136,0.030616948,46,0.26400408,0.9499999999999998,940.0,0.01996505
-1.0668727,0.2833333333333334,960.0,0.08450874,0.02133905,0.88353366,0.030676717,47,0.26397794,0.9416666666666668,960.0,0.024353372
-1.2472173,0.2333333333333333,980.0,0.084501125,0.026428053,0.88357997,0.03068465,48,0.26399118,0.9249999999999999,980.0,0.025103219
-1.0459808,0.30833333333333335,1000.0,0.08449691,0.019575208,0.8836506,0.030693853,49,0.26401418,0.9416666666666668,1000.0,0.02577061
-1.1874834,0.23333333333333336,1020.0,0.08452276,0.033807654,0.8836012,0.030712849,50,0.2639981,0.9249999999999999,1020.0,0.021920487
-1.3769904,0.25833333333333336,1040.0,0.084583014,0.023727203,0.8834918,0.030738065,51,0.26396865,0.9166666666666666,1040.0,0.020325841
-1.6479101,0.21666666666666667,1060.0,0.08462136,0.024199976,0.88347244,0.030757159,52,0.26396617,0.9083333333333333,1060.0,0.024214357
-1.160209,0.325,1080.0,0.0846215,0.016170839,0.8834433,0.030765468,53,0.26396188,0.9416666666666668,1080.0,0.020245375
-1.4559903,0.28333333333333327,1100.0,0.084745914,0.019314306,0.8832204,0.030807247,54,0.26389626,0.9249999999999999,1100.0,0.023667797
-1.2068869,0.2916666666666667,1120.0,0.08482247,0.025037834,0.8832112,0.03083624,55,0.2638949,0.9333333333333332,1120.0,0.021346426
-0.8832152,0.3083333333333333,1140.0,0.084787644,0.014304731,0.8833771,0.030838743,56,0.26393157,0.9500000000000001,1140.0,0.017500872
-1.1310387,0.24166666666666667,1160.0,0.08474492,0.020432448,0.8832598,0.030835351,57,0.26389703,0.9416666666666668,1160.0,0.019851645
-0.7395913,0.32499999999999996,1180.0,0.084790625,0.024289973,0.8830597,0.030858273,58,0.26384073,0.9666666666666667,1180.0,0.018768769
-1.4458169,0.24166666666666667,1200.0,0.08481463,0.021318993,0.8829708,0.030870676,59,0.26381612,0.9249999999999999,1200.0,0.02327328
