stats_o/mean,stats_o/std,epoch,test/mean_Q,train/success_rate,test/success_rate,train/episode,stats_g/std,stats_g/mean,test/episode,train/critic_loss
0.20202939,0.08604009,17,-1.6577307,0.8566666666666666,0.9333333333333332,1800.0,0.07645782,0.83956224,360.0,0.1225456
0.20201172,0.08814174,18,-1.4320186,0.9133333333333334,0.9666666666666667,1900.0,0.07599863,0.8395012,380.0,0.14838384
0.20196694,0.089776,19,-1.1673845,0.9133333333333334,0.9833333333333334,2000.0,0.07591472,0.83943397,400.0,0.09560034
0.20192437,0.09151057,20,-1.1491975,0.93,1.0,2100.0,0.07551155,0.8393362,420.0,0.09116647
0.20185082,0.09316256,21,-1.0099443,0.915,1.0,2200.0,0.07531641,0.8393287,440.0,0.08174442
0.20178431,0.09426818,22,-1.2322265,0.9133333333333334,0.975,2300.0,0.07514767,0.83919865,460.0,0.11644893
0.20177986,0.09536546,23,-1.1030767,0.9233333333333333,1.0,2400.0,0.074837595,0.8391776,480.0,0.08979899
0.20189185,0.0966714,24,-1.261878,0.9433333333333334,0.9833333333333334,2500.0,0.07456094,0.83917576,500.0,0.053214505
0.20191067,0.097725354,25,-1.0664908,0.9483333333333333,0.9916666666666667,2600.0,0.07433275,0.8391307,520.0,0.06769245
0.20186369,0.09861878,26,-1.0614861,0.9500000000000001,0.9833333333333334,2700.0,0.07410156,0.83902186,540.0,0.058894318
0.20190318,0.09981883,27,-0.9272062,0.9316666666666666,1.0,2800.0,0.07389832,0.83904904,560.0,0.092124365
0.20187621,0.10056316,28,-1.2035384,0.9616666666666666,0.9833333333333334,2900.0,0.07357336,0.838984,580.0,0.095574915
0.20186408,0.10132881,29,-1.1319594,0.9199999999999999,0.9833333333333334,3000.0,0.07358443,0.83890814,600.0,0.09339076
0.2018406,0.10188315,30,-0.8951678,0.9516666666666667,1.0,3100.0,0.07334418,0.83889586,620.0,0.11291668
0.20187192,0.10261669,31,-0.9835913,0.9283333333333333,1.0,3200.0,0.0732658,0.838782,640.0,0.10019648
0.2018265,0.10317492,32,-1.0160025,0.9466666666666667,1.0,3300.0,0.07318842,0.8387978,660.0,0.07135897
0.20189297,0.103349954,33,-0.9615674,0.9499999999999998,1.0,3400.0,0.0730315,0.8388012,680.0,0.1569169
0.20190243,0.10383052,34,-0.87506455,0.9483333333333333,1.0,3500.0,0.072989725,0.8388073,700.0,0.08745971
0.2019618,0.10429045,35,-0.9326299,0.9466666666666667,1.0,3600.0,0.072985224,0.8388455,720.0,0.14965767
0.2020797,0.1048009,36,-1.3150023,0.9333333333333332,0.9833333333333334,3700.0,0.07304456,0.8389004,740.0,0.105468415
0.20213701,0.10533898,37,-1.0836285,0.9433333333333334,0.9833333333333334,3800.0,0.07295504,0.83884287,760.0,0.09413004
0.20215632,0.105790764,38,-0.98247594,0.935,0.9916666666666667,3900.0,0.07281219,0.8388532,780.0,0.068723924
0.20215075,0.10605249,39,-0.9834458,0.9533333333333333,1.0,4000.0,0.07272869,0.8388483,800.0,0.18223292
0.2021494,0.10637046,40,-0.99525195,0.9366666666666666,0.9916666666666667,4100.0,0.07269022,0.8387656,820.0,0.11469177
0.20216049,0.10657851,41,-1.0184864,0.9516666666666667,0.9833333333333334,4200.0,0.07255276,0.83880323,840.0,0.05131066
0.20214887,0.10683622,42,-1.2010876,0.9616666666666666,0.9916666666666667,4300.0,0.07248471,0.83880854,860.0,0.072300754
0.20217924,0.10712579,43,-0.9790117,0.9416666666666665,1.0,4400.0,0.07238174,0.8388266,880.0,0.10490358
0.20219885,0.10740379,44,-1.2288092,0.9516666666666667,0.9833333333333334,4500.0,0.07232624,0.83883023,900.0,0.097833015
0.20219319,0.10776272,45,-1.1039413,0.94,0.9666666666666667,4600.0,0.07238444,0.8388107,920.0,0.061714564
0.20219828,0.1081123,46,-1.1056454,0.9533333333333333,0.9666666666666667,4700.0,0.07234768,0.83875924,940.0,0.054828823
0.20220251,0.10839859,47,-1.0481125,0.9349999999999999,0.9833333333333334,4800.0,0.072316445,0.83880585,960.0,0.050825562
0.20223874,0.10864065,48,-1.0121149,0.9333333333333332,0.9916666666666667,4900.0,0.07230244,0.8388397,980.0,0.053817447
0.20226668,0.10888696,49,-0.85507536,0.9516666666666667,1.0,5000.0,0.07218268,0.83889985,1000.0,0.16394277
