train/success_rate,test/episode,stats_o/mean,epoch,stats_g/mean,train/critic_loss,train/reward_compute_count,test/mean_Q,train/episode,stats_o/std,stats_g/std,test/reward_compute_count,test/ag_g_dist,test/success_rate
0.0,300.0,0.20323692,14,0.3811541,0.00024946104,75000.0,-25.509438,1500.0,0.71744174,0.22923543,15000.0,1.1057845,0.0
0.0,320.0,0.20310712,15,0.3813561,0.00036659068,80000.0,-26.730864,1600.0,0.71719813,0.22919516,16000.0,0.98051006,0.0
0.0,340.0,0.2031507,16,0.38184085,0.00041565625,85000.0,-27.804384,1700.0,0.7164366,0.22921966,17000.0,1.0021019,0.0
0.0,360.0,0.20309143,17,0.38199493,0.00033043383,90000.0,-28.881989,1800.0,0.71612614,0.22907381,18000.0,1.0218486,0.0
0.0,380.0,0.20315231,18,0.3817157,0.0021832578,95000.0,-29.958136,1900.0,0.7156556,0.22915404,19000.0,0.98191375,0.0
0.0,400.0,0.20316924,19,0.3815966,0.00017110769,100000.0,-30.868402,2000.0,0.7155754,0.2289974,20000.0,1.0040343,0.0
0.0,420.0,0.20331322,20,0.38157657,0.00035067275,105000.0,-31.788055,2100.0,0.71530837,0.22905378,21000.0,0.9723778,0.0
0.0,440.0,0.20320757,21,0.38147208,0.0003621989,110000.0,-32.653126,2200.0,0.71502465,0.22903846,22000.0,1.0060216,0.0
0.0,460.0,0.2032847,22,0.38166568,0.00030878352,115000.0,-33.45729,2300.0,0.71472377,0.22889708,23000.0,1.0386692,0.0
0.0,480.0,0.20329021,23,0.38166013,0.00039688827,120000.0,-34.249313,2400.0,0.7145904,0.22899055,24000.0,1.005185,0.0
0.0,500.0,0.2031853,24,0.38165545,0.0013905492,125000.0,-34.97854,2500.0,0.7143166,0.22891258,25000.0,0.96605015,0.0
0.0,520.0,0.20316976,25,0.38181165,0.0008286915,130000.0,-35.811047,2600.0,0.71416813,0.22904618,26000.0,1.0674243,0.0
0.0,540.0,0.20312072,26,0.38190237,0.00028030807,135000.0,-36.436184,2700.0,0.71400976,0.22904693,27000.0,1.0148382,0.0
0.0,560.0,0.2030222,27,0.381893,0.00043812953,140000.0,-37.03732,2800.0,0.71383864,0.22891526,28000.0,1.0164244,0.0
0.0,580.0,0.20304139,28,0.38198987,0.0016105532,145000.0,-37.699253,2900.0,0.7136111,0.22885148,29000.0,1.0397109,0.0
0.0,600.0,0.20312552,29,0.3822112,0.0004889158,150000.0,-38.249973,3000.0,0.7134506,0.22886176,30000.0,1.043368,0.0
0.0,620.0,0.20310944,30,0.38200483,0.00035213344,155000.0,-38.871155,3100.0,0.7132469,0.2289503,31000.0,0.9417796,0.0
0.0,640.0,0.2031105,31,0.38208947,0.0017084175,160000.0,-39.4409,3200.0,0.7130453,0.22902502,32000.0,0.9735406,0.0
0.0,660.0,0.20309544,32,0.38219437,0.0015194658,165000.0,-39.92631,3300.0,0.71286887,0.22899108,33000.0,1.0127102,0.0
0.0,680.0,0.20306714,33,0.382261,0.0017710552,170000.0,-40.293583,3400.0,0.7128311,0.22895135,34000.0,1.0455759,0.0
0.0,700.0,0.20297636,34,0.38225117,0.00055359775,175000.0,-40.8174,3500.0,0.7127664,0.22896786,35000.0,1.0960263,0.0
0.0,720.0,0.20290172,35,0.38204834,0.00083810324,180000.0,-41.35783,3600.0,0.71270615,0.2289591,36000.0,0.95845526,0.0
0.0,740.0,0.20291801,36,0.3820462,0.0012067662,185000.0,-41.760395,3700.0,0.71251196,0.22890417,37000.0,0.9346215,0.0
0.0,760.0,0.20288295,37,0.3820571,0.00055252475,190000.0,-42.08742,3800.0,0.71243685,0.2288693,38000.0,0.9550791,0.0
0.0,780.0,0.2028318,38,0.38194945,0.0017254729,195000.0,-42.537113,3900.0,0.7123259,0.22888184,39000.0,1.0028671,0.0
0.0,800.0,0.20279308,39,0.3818705,0.0019559704,200000.0,-42.880024,4000.0,0.7122218,0.22891922,40000.0,1.0587546,0.0
0.0,820.0,0.20276158,40,0.3819448,0.0008157866,205000.0,-43.11865,4100.0,0.7121895,0.22880416,41000.0,0.98558503,0.0
0.0,840.0,0.20271975,41,0.38203892,0.00042325244,210000.0,-43.48004,4200.0,0.7121174,0.22874175,42000.0,1.0578996,0.0
0.0,860.0,0.20274036,42,0.3820776,0.00048827546,215000.0,-43.77766,4300.0,0.7121177,0.2287523,43000.0,1.0031222,0.0
0.0,880.0,0.2027177,43,0.38191852,0.00066591025,220000.0,-44.07901,4400.0,0.71211773,0.22883172,44000.0,1.0697438,0.0
0.0,900.0,0.20272769,44,0.3819867,0.0035287694,225000.0,-44.47156,4500.0,0.7121356,0.22876026,45000.0,1.0110408,0.0
0.0,920.0,0.20276149,45,0.38185182,0.0011472473,230000.0,-44.673767,4600.0,0.7121315,0.22882433,46000.0,1.021679,0.0
0.0,940.0,0.20266102,46,0.38171044,0.004812092,235000.0,-44.863995,4700.0,0.712015,0.22887926,47000.0,1.0307311,0.0
0.0,960.0,0.20262913,47,0.3817319,0.00068843813,240000.0,-45.21407,4800.0,0.7119623,0.2288569,48000.0,1.063636,0.0
0.0,980.0,0.20266248,48,0.38188568,0.003050707,245000.0,-45.406647,4900.0,0.7118022,0.22875547,49000.0,1.0147638,0.0
0.0,1000.0,0.20265059,49,0.38183808,0.002304211,250000.0,-45.586273,5000.0,0.7118301,0.22879477,50000.0,1.0027213,0.0
0.0,1020.0,0.20262532,50,0.38185033,0.00097638695,255000.0,-45.87239,5100.0,0.71165055,0.2288049,51000.0,1.077157,0.0
0.0,1040.0,0.20262565,51,0.381829,0.00092252577,260000.0,-45.982513,5200.0,0.7116626,0.22880088,52000.0,1.0324844,0.0
0.0,1060.0,0.20264156,52,0.3817288,0.00032681544,265000.0,-46.152187,5300.0,0.71158385,0.22885682,53000.0,1.0664543,0.0
0.0,1080.0,0.20262869,53,0.3818203,0.0008001658,270000.0,-46.296192,5400.0,0.7114726,0.22880888,54000.0,1.0499243,0.0
0.0,1100.0,0.20265006,54,0.38190302,0.0011543912,275000.0,-46.567204,5500.0,0.7113851,0.22872068,55000.0,0.9855232,0.0
0.0,1120.0,0.20267196,55,0.38187194,0.0003005122,280000.0,-46.700237,5600.0,0.7113727,0.22874452,56000.0,1.0426085,0.0
0.0,1140.0,0.20267959,56,0.3819337,0.0014465427,285000.0,-46.905834,5700.0,0.7113278,0.2287188,57000.0,1.0907165,0.0
0.0,1160.0,0.20268898,57,0.3819113,0.00055274536,290000.0,-47.029957,5800.0,0.71136254,0.22879048,58000.0,1.0592221,0.0
0.0,1180.0,0.20268494,58,0.38188395,0.0008945744,295000.0,-47.118824,5900.0,0.711328,0.22877824,59000.0,0.96026915,0.0
0.0,1200.0,0.2026348,59,0.38183877,0.0014543064,300000.0,-47.232586,6000.0,0.7113207,0.2288243,60000.0,1.0139695,0.0
