test/mean_Q,epoch,test/episode,stats_g/std,train/critic_loss,train/success_rate,test/ag_g_dist,train/episode,stats_o/std,test/success_rate,stats_g/mean,stats_o/mean
-22.696081,14,300.0,0.097155355,0.28125605,0.006666666666666667,0.25088438,1500.0,0.067187294,0.0,0.8498776,0.20424129
-21.934301,15,320.0,0.0980292,0.27072206,0.0033333333333333335,0.21855664,1600.0,0.06951604,0.016666666666666666,0.8495005,0.20418505
-22.058273,16,340.0,0.09873304,0.26451015,0.005,0.22793484,1700.0,0.07183864,0.008333333333333333,0.8493143,0.20415884
-23.72792,17,360.0,0.099309154,0.51404965,0.01,0.23992592,1800.0,0.074162506,0.0,0.8490626,0.20409381
-24.02601,18,380.0,0.100304484,0.42422083,0.0,0.25008798,1900.0,0.076826856,0.016666666666666666,0.8488272,0.20405585
-25.964968,19,400.0,0.1010362,0.4092939,0.0016666666666666668,0.24807422,2000.0,0.07888915,0.0,0.8487744,0.2040729
-25.37568,20,420.0,0.10174086,0.46305168,0.01,0.22788586,2100.0,0.081434414,0.008333333333333333,0.84874916,0.2040744
-25.085722,21,440.0,0.10261782,0.32232663,0.01,0.21737371,2200.0,0.08370689,0.008333333333333333,0.84888214,0.20409481
-23.80773,22,460.0,0.10364496,0.59641784,0.011666666666666667,0.21931005,2300.0,0.08589679,0.025000000000000005,0.8489482,0.20398964
-26.31191,23,480.0,0.10465751,0.4477738,0.015,0.23387992,2400.0,0.08780998,0.025000000000000005,0.84905624,0.20402525
-25.362185,24,500.0,0.10557729,0.59344107,0.021666666666666667,0.22346081,2500.0,0.08918557,0.025000000000000005,0.8491461,0.2040229
-25.96583,25,520.0,0.10655055,0.5281796,0.02,0.22887713,2600.0,0.09017974,0.03333333333333333,0.8491714,0.20404881
-27.241638,26,540.0,0.10731253,0.62427926,0.01,0.23761429,2700.0,0.09129349,0.025000000000000005,0.84942913,0.20411704
-26.611547,27,560.0,0.10760062,0.585132,0.021666666666666667,0.2177385,2800.0,0.09198085,0.025000000000000005,0.84926695,0.20413536
-26.008354,28,580.0,0.10768213,0.63689184,0.018333333333333333,0.21702081,2900.0,0.09267347,0.03333333333333333,0.84918183,0.20411511
-24.147501,29,600.0,0.10796813,0.627259,0.026666666666666672,0.19540925,3000.0,0.09360612,0.06666666666666667,0.8492444,0.20412602
-27.268995,30,620.0,0.10815891,0.61984,0.021666666666666667,0.23220384,3100.0,0.09428299,0.016666666666666666,0.8491023,0.2041039
-26.73841,31,640.0,0.108296275,0.6594982,0.035,0.20460016,3200.0,0.09494639,0.049999999999999996,0.8490987,0.20411795
-27.82924,32,660.0,0.10836214,0.5377398,0.03166666666666667,0.20643365,3300.0,0.09561553,0.08333333333333333,0.8489823,0.20413126
-26.595078,33,680.0,0.10840959,0.54347676,0.045000000000000005,0.19736739,3400.0,0.09634075,0.05000000000000001,0.8490221,0.20418637
-26.74473,34,700.0,0.108242415,0.7821827,0.05166666666666667,0.19608283,3500.0,0.096878774,0.05833333333333333,0.8490531,0.20424671
-26.386414,35,720.0,0.10836235,0.6633788,0.03833333333333334,0.20205855,3600.0,0.09762502,0.08333333333333333,0.8490849,0.20427068
-26.104597,36,740.0,0.10830972,0.7427698,0.04666666666666667,0.19272625,3700.0,0.098454125,0.125,0.8489905,0.2042963
-27.528624,37,760.0,0.108439624,0.9847501,0.045000000000000005,0.20367889,3800.0,0.09919224,0.125,0.84896827,0.20433398
-27.002798,38,780.0,0.108511455,0.63681006,0.05333333333333334,0.1969258,3900.0,0.099958144,0.125,0.84891814,0.20432489
-25.694212,39,800.0,0.10844574,1.0643375,0.06333333333333334,0.18675716,4000.0,0.10071704,0.21666666666666665,0.8488169,0.20437205
