epoch,test/success_rate,test/mean_Q,stats_o/mean,stats_g/mean,test/ag_g_dist,train/episode,train/success_rate,stats_o/std,test/episode,train/critic_loss,stats_g/std
35,0.025000000000000005,-22.668295,0.18511666,0.37372217,0.5994069,3600.0,0.0033333333333333335,0.9027803,720.0,0.45077193,0.24204631
36,0.0,-28.342346,0.18495278,0.37384513,0.6559631,3700.0,0.0016666666666666668,0.90626067,740.0,0.3815446,0.2418295
37,0.016666666666666666,-27.10784,0.18477549,0.37385407,0.6763451,3800.0,0.0016666666666666668,0.9096117,760.0,0.58852285,0.24166922
38,0.008333333333333333,-28.065195,0.1845649,0.37389922,0.74242115,3900.0,0.0016666666666666668,0.9128914,780.0,0.32445696,0.24157228
39,0.008333333333333333,-25.770744,0.18429607,0.37355676,0.68156165,4000.0,0.0033333333333333335,0.9159634,800.0,0.63171226,0.24142842
40,0.008333333333333333,-27.542303,0.18395473,0.37332353,0.63270235,4100.0,0.0,0.9191374,820.0,0.3825489,0.24131761
41,0.008333333333333333,-29.01037,0.1837705,0.3732655,0.7065738,4200.0,0.005,0.92199373,840.0,0.54509026,0.24126434
42,0.008333333333333333,-27.01998,0.18361783,0.37340483,0.61835545,4300.0,0.0016666666666666668,0.92466,860.0,0.69033974,0.24125965
43,0.008333333333333333,-28.286577,0.18337743,0.37336692,0.738002,4400.0,0.006666666666666667,0.927289,880.0,0.36291456,0.24117972
44,0.025000000000000005,-24.457975,0.18320505,0.37344083,0.62986445,4500.0,0.0,0.929876,900.0,0.49927697,0.24101464
45,0.0,-26.053858,0.18302085,0.37346402,0.6012483,4600.0,0.0016666666666666668,0.93242604,920.0,0.35537836,0.24091701
46,0.008333333333333333,-23.033075,0.18282217,0.3734857,0.5964195,4700.0,0.0016666666666666668,0.93481106,940.0,0.35646582,0.24088977
47,0.0,-25.967054,0.18268876,0.37358102,0.62564915,4800.0,0.008333333333333333,0.9372415,960.0,0.48071992,0.24082012
48,0.0,-23.91897,0.18259251,0.3736038,0.62142307,4900.0,0.0033333333333333335,0.9395643,980.0,0.5720307,0.24068391
49,0.008333333333333333,-25.707253,0.1824132,0.37361112,0.6447769,5000.0,0.0,0.94182914,1000.0,0.4120572,0.24060251
