test/success_rate,train/success_rate,stats_g/std,train/critic_loss,stats_o/std,test/episode,stats_g/mean,test/mean_Q,train/episode,stats_o/mean,epoch
0.0,0.0,0.16514571,10.822703,0.07604476,640.0,0.7510299,-49.84917,3200.0,0.17917496,31
0.0,0.0,0.16477993,9.358209,0.075803034,660.0,0.7509158,-49.88376,3300.0,0.1791691,32
0.0,0.0016666666666666668,0.16443564,8.77573,0.07547023,680.0,0.7509077,-49.7048,3400.0,0.1791877,33
0.0,0.0033333333333333335,0.16431287,9.276109,0.07527969,700.0,0.7508171,-49.713688,3500.0,0.1791572,34
0.0,0.0,0.1641301,15.273349,0.07525632,720.0,0.7507841,-49.95223,3600.0,0.17912264,35
0.0,0.0,0.16384737,13.442889,0.07501359,740.0,0.7505913,-49.96614,3700.0,0.17908382,36
0.0,0.0,0.16356243,11.915029,0.07491138,760.0,0.7504119,-49.89838,3800.0,0.17905109,37
0.0,0.0,0.16313085,12.355065,0.07475439,780.0,0.75041336,-50.00063,3900.0,0.17907351,38
0.0,0.0016666666666666668,0.16279387,13.742615,0.074491665,800.0,0.75029737,-49.84311,4000.0,0.17903735,39
0.0,0.0016666666666666668,0.16253886,12.748944,0.0743129,820.0,0.7502422,-49.73546,4100.0,0.17902644,40
0.0,0.0033333333333333335,0.16243944,14.55085,0.07410815,840.0,0.750237,-49.73622,4200.0,0.17901613,41
0.0,0.0,0.16206063,13.838654,0.073889345,860.0,0.75015277,-50.053417,4300.0,0.17900229,42
0.0,0.0016666666666666668,0.16181295,13.188156,0.073706485,880.0,0.75014704,-49.753162,4400.0,0.17900343,43
0.0,0.0016666666666666668,0.16155548,15.427101,0.07350233,900.0,0.75014377,-49.76062,4500.0,0.1789941,44
0.0,0.0016666666666666668,0.16141176,14.078602,0.07333436,920.0,0.75011724,-49.759293,4600.0,0.17898233,45
0.0,0.0016666666666666668,0.16119182,16.124847,0.073173754,940.0,0.7500415,-49.916523,4700.0,0.1789425,46
0.0,0.0,0.16097148,13.568515,0.07297543,960.0,0.75005,-50.00421,4800.0,0.17893326,47
0.0,0.0,0.16069846,14.479012,0.0727499,980.0,0.7500196,-49.900654,4900.0,0.17893328,48
0.0,0.0016666666666666668,0.16047996,15.203134,0.07269008,1000.0,0.74992657,-49.772015,5000.0,0.17889573,49
