test/ag_g_dist,train/episode,test/reward_compute_count,test/episode,stats_g/std,test/mean_Q,stats_o/std,epoch,stats_o/mean,train/success_rate,stats_g/mean,test/success_rate,train/reward_compute_count,train/critic_loss
0.17467332,100.0,1000.0,20.0,0.070581935,-2.512148,0.045119982,0,0.20106821,0.0016666666666666668,0.83714455,0.0,5000.0,0.00022103587
0.18144809,200.0,2000.0,40.0,0.07021706,-4.560763,0.045283183,1,0.20119792,0.0016666666666666668,0.837056,0.008333333333333333,10000.0,0.00021552276
0.166045,300.0,3000.0,60.0,0.06992834,-6.6064262,0.04429998,2,0.20108235,0.005,0.837159,0.0,15000.0,0.00019020909
0.17563568,400.0,4000.0,80.0,0.06988888,-8.605756,0.043168206,3,0.20127134,0.005,0.83790344,0.0,20000.0,0.0001336373
0.17792065,500.0,5000.0,100.0,0.06999686,-10.554913,0.043504898,4,0.20151283,0.005,0.83874625,0.0,25000.0,0.00024668593
0.16249378,600.0,6000.0,120.0,0.07021386,-12.41929,0.042781126,5,0.20157535,0.0033333333333333335,0.8388439,0.0,30000.0,0.0001936665
0.16365893,700.0,7000.0,140.0,0.069871664,-14.201266,0.042483192,6,0.20155026,0.005,0.8387732,0.0,35000.0,0.00020161674
0.1706879,800.0,8000.0,160.0,0.0698944,-15.892089,0.042036265,7,0.20163275,0.006666666666666667,0.83910483,0.008333333333333333,40000.0,0.00013084854
0.16722286,900.0,9000.0,180.0,0.070125304,-17.544996,0.04169919,8,0.20161645,0.0033333333333333335,0.83912134,0.0,45000.0,0.00020549103
0.18175183,1000.0,10000.0,200.0,0.0699235,-19.063248,0.04131807,9,0.2015719,0.0016666666666666668,0.83899575,0.0,50000.0,0.00010964659
0.16932867,1100.0,11000.0,220.0,0.07001557,-20.52803,0.04097097,10,0.20148142,0.0033333333333333335,0.83868116,0.0,55000.0,0.00017278544
0.15560986,1200.0,12000.0,240.0,0.069850236,-21.977484,0.040893115,11,0.20146541,0.005,0.8386213,0.0,60000.0,0.00015848206
0.15986742,1300.0,13000.0,260.0,0.069992594,-23.282608,0.041026495,12,0.20150779,0.0016666666666666668,0.838758,0.0,65000.0,0.00054405007
0.17973137,1400.0,14000.0,280.0,0.06980396,-24.576561,0.040845126,13,0.2014925,0.0033333333333333335,0.8386523,0.008333333333333333,70000.0,0.00025682824
0.16694479,1500.0,15000.0,300.0,0.06972829,-25.76116,0.040554605,14,0.20146275,0.0033333333333333335,0.8385536,0.008333333333333333,75000.0,0.00032213778
0.17704745,1600.0,16000.0,320.0,0.06970175,-26.949,0.040350713,15,0.20140135,0.0,0.83843946,0.025000000000000005,80000.0,0.00010338109
0.1673503,1700.0,17000.0,340.0,0.0696645,-28.068396,0.040182102,16,0.20137852,0.005,0.83843297,0.008333333333333333,85000.0,0.00015488488
0.17520517,1800.0,18000.0,360.0,0.06965678,-29.161186,0.04001718,17,0.20139126,0.0033333333333333335,0.8385329,0.0,90000.0,0.0002929701
0.17506342,1900.0,19000.0,380.0,0.06962849,-30.130919,0.03999548,18,0.20135826,0.0033333333333333335,0.8384592,0.0,95000.0,0.00018888646
0.16660887,2000.0,20000.0,400.0,0.069603674,-31.116455,0.04011435,19,0.20132597,0.005,0.8383932,0.0,100000.0,0.00073282793
0.17052336,2100.0,21000.0,420.0,0.06962796,-32.019154,0.040146116,20,0.20133936,0.0033333333333333335,0.83842355,0.0,105000.0,0.0002627873
0.16844481,2200.0,22000.0,440.0,0.06963339,-32.867672,0.03993607,21,0.20132785,0.0033333333333333335,0.8383994,0.008333333333333333,110000.0,0.00038102386
0.17727761,2300.0,23000.0,460.0,0.0696452,-33.68857,0.03997066,22,0.20127343,0.0,0.8381941,0.008333333333333333,115000.0,0.0002762782
0.1804351,2400.0,24000.0,480.0,0.06963215,-34.49666,0.039852895,23,0.20124094,0.0016666666666666668,0.8380933,0.008333333333333333,120000.0,0.00033937246
0.17021318,2500.0,25000.0,500.0,0.06963012,-35.215206,0.03984593,24,0.20128064,0.0033333333333333335,0.8382376,0.0,125000.0,0.0003064184
0.17449975,2600.0,26000.0,520.0,0.06961127,-35.993893,0.039766245,25,0.20130236,0.0033333333333333335,0.83828753,0.0,130000.0,0.0009032727
0.17029743,2700.0,27000.0,540.0,0.06961057,-36.63574,0.039801955,26,0.20129734,0.0033333333333333335,0.8382228,0.0,135000.0,0.00048527736
0.15678422,2800.0,28000.0,560.0,0.06961339,-37.31045,0.03977851,27,0.20126575,0.008333333333333333,0.8381202,0.0,140000.0,0.00047360445
0.18131836,2900.0,29000.0,580.0,0.069601476,-37.876343,0.039719567,28,0.20126534,0.0,0.8381184,0.016666666666666666,145000.0,0.00053674675
0.18085118,3000.0,30000.0,600.0,0.06961314,-38.483646,0.039597735,29,0.20125656,0.0033333333333333335,0.8380783,0.0,150000.0,0.0004935056
