epoch,train/success_rate,test/ag_g_dist,stats_o/std,train/critic_loss,test/episode,train/episode,stats_o/mean,test/mean_Q,test/success_rate,stats_g/std,stats_g/mean
48,0.0,0.022987112,0.03110447,0.056447115,980.0,980.0,0.2639957,-2.4058418,0.18333333333333335,0.0847905,0.87945914
49,0.0,0.02147313,0.031100014,0.054501627,1000.0,1000.0,0.26401958,-2.3382933,0.05833333333333333,0.08475,0.87955934
50,0.0,0.026763579,0.031105125,0.06375035,1020.0,1020.0,0.26401502,-2.407768,0.55,0.08475537,0.8795392
51,0.0,0.015244207,0.03111058,0.044004977,1040.0,1040.0,0.26400524,-2.6550393,0.6,0.08475023,0.8795156
52,0.0,0.024716608,0.031103944,0.08804288,1060.0,1060.0,0.26401442,-2.9191525,0.3666666666666667,0.08471682,0.87955064
53,0.0,0.018087165,0.031105787,0.05893652,1080.0,1080.0,0.26401573,-2.3822575,0.24166666666666667,0.08469415,0.8795541
54,0.0,0.023027683,0.03112947,0.056792706,1100.0,1100.0,0.26397997,-2.6595948,0.6666666666666666,0.08476293,0.8794225
55,0.0,0.021152109,0.03113394,0.046961937,1120.0,1120.0,0.26398596,-2.3745644,0.8250000000000001,0.084762625,0.87946445
56,0.0,0.018114373,0.031131798,0.04800872,1140.0,1140.0,0.26402313,-2.1036465,0.3583333333333334,0.08473432,0.87960887
57,0.0,0.018830344,0.031117747,0.24475671,1160.0,1160.0,0.26398495,-2.192511,0.26666666666666666,0.08467435,0.8794806
58,0.0,0.016310794,0.031134158,0.06025326,1180.0,1180.0,0.26393694,-2.25857,0.11666666666666668,0.08471302,0.87930435
59,0.0,0.021463221,0.031140119,0.046250973,1200.0,1200.0,0.26392922,-2.6666152,0.39166666666666666,0.08471798,0.87926674
60,0.0,0.027475903,0.031147143,0.05252249,1220.0,1220.0,0.2639292,-3.2999609,0.3833333333333333,0.08473732,0.87928325
61,0.0,0.020715551,0.031149263,0.05470599,1240.0,1240.0,0.26391694,-3.0127602,0.016666666666666666,0.0847343,0.879237
62,0.0,0.018233987,0.031157678,0.050128773,1260.0,1260.0,0.26389855,-2.640461,0.2833333333333333,0.08474916,0.879159
63,0.0,0.021285614,0.031173795,0.05330293,1280.0,1280.0,0.2639121,-2.849722,0.6833333333333332,0.08480253,0.87921387
64,0.0,0.018935509,0.031182399,0.0463534,1300.0,1300.0,0.2639041,-2.6354594,0.5750000000000001,0.08482327,0.87919265
65,0.0,0.01289615,0.031175325,0.09109556,1320.0,1320.0,0.26387733,-2.5296764,0.17500000000000002,0.084772296,0.8791006
66,0.0,0.021746764,0.031183615,0.052972868,1340.0,1340.0,0.26388568,-3.291579,0.7000000000000001,0.08481085,0.8791335
67,0.0,0.017940419,0.031176006,0.04204293,1360.0,1360.0,0.26387674,-2.6743557,0.44166666666666665,0.08476452,0.87909555
68,0.0,0.021793863,0.03117015,0.04194897,1380.0,1380.0,0.26386803,-3.1775398,0.45,0.08473995,0.8790625
69,0.0,0.01847513,0.031166265,0.052749377,1400.0,1400.0,0.26385632,-3.240511,0.2916666666666667,0.084716596,0.87902004
70,0.0,0.021973819,0.031160196,0.0486152,1420.0,1420.0,0.26387507,-3.296688,0.07500000000000001,0.084700525,0.8790825
71,0.0,0.020955274,0.03117215,0.092107296,1440.0,1440.0,0.2638998,-2.658663,0.6583333333333333,0.08473002,0.87916785
72,0.008333333333333333,0.015012669,0.031165475,0.051614404,1460.0,1460.0,0.2639056,-2.2921157,0.35833333333333334,0.08468699,0.879188
73,0.0,0.018780118,0.031178057,0.04114587,1480.0,1480.0,0.26390535,-2.9762204,0.5666666666666668,0.08470976,0.8791914
74,0.0,0.016166303,0.031173026,0.044027746,1500.0,1500.0,0.26389688,-2.8795784,0.3833333333333333,0.084684104,0.87915754
75,0.0,0.022419805,0.03117985,0.05424294,1520.0,1520.0,0.26391265,-3.2261631,0.5166666666666667,0.084709555,0.87921923
76,0.0,0.017293727,0.03118526,0.054399323,1540.0,1540.0,0.2639207,-2.6015165,0.09166666666666667,0.08471843,0.8792471
77,0.0,0.018761465,0.031181589,0.054273058,1560.0,1560.0,0.263944,-3.3318617,0.6083333333333333,0.08468994,0.8793218
78,0.0,0.022441002,0.031186199,0.045817275,1580.0,1580.0,0.26395074,-3.3816879,0.16666666666666666,0.08470491,0.8793473
79,0.0,0.014411923,0.031186556,0.059507206,1600.0,1600.0,0.2639485,-2.2548826,0.39166666666666666,0.08468621,0.8793337
80,0.0,0.015139443,0.03119192,0.0498461,1620.0,1620.0,0.26392752,-2.7386768,0.8083333333333332,0.08469207,0.8792532
81,0.0,0.0179893,0.031202933,0.051401716,1640.0,1640.0,0.26390016,-3.6322792,0.17500000000000002,0.0847192,0.8791564
82,0.0,0.014326289,0.031210894,0.04845877,1660.0,1660.0,0.26388806,-2.330705,0.7083333333333334,0.084741496,0.8791124
83,0.0,0.014414299,0.031214276,0.04643254,1680.0,1680.0,0.26386684,-2.601438,0.7166666666666667,0.084747374,0.8790235
84,0.0,0.012441386,0.031218171,0.049832422,1700.0,1700.0,0.26386845,-2.1673229,0.4916666666666667,0.084750585,0.8790269
85,0.0,0.019862669,0.031219563,0.06040291,1720.0,1720.0,0.26387236,-2.598019,0.008333333333333333,0.08475413,0.87903905
86,0.0,0.016648868,0.031231612,0.053586185,1740.0,1740.0,0.26384717,-3.074953,0.5416666666666666,0.0847917,0.87895036
87,0.0,0.015118651,0.031232199,0.071348965,1760.0,1760.0,0.26386264,-2.5699675,0.5,0.08478668,0.87900716
88,0.0,0.0110028945,0.031240324,0.05541058,1780.0,1780.0,0.26386982,-2.0736053,0.625,0.08480216,0.8790404
89,0.0,0.024470612,0.03124013,0.049247514,1800.0,1800.0,0.2638553,-3.0992804,0.7666666666666667,0.084800504,0.8789835
90,0.0,0.015143496,0.031242719,0.05386624,1820.0,1820.0,0.26385126,-3.017373,0.26666666666666666,0.08479133,0.8789757
91,0.0,0.021593736,0.031247457,0.05690987,1840.0,1840.0,0.26385337,-3.3994312,0.43333333333333335,0.084807396,0.8789863
92,0.0,0.03200397,0.031260982,0.054556046,1860.0,1860.0,0.2638523,-3.3021476,0.30833333333333335,0.08485377,0.87898445
93,0.016666666666666666,0.022304185,0.03126902,0.054430995,1880.0,1880.0,0.2638488,-2.872502,0.5000000000000001,0.08488133,0.87897366
94,0.0,0.021983752,0.03127278,0.04701522,1900.0,1900.0,0.2638579,-3.3152008,0.39166666666666666,0.08489704,0.87900144
95,0.0,0.017949453,0.031277824,0.050410654,1920.0,1920.0,0.2638474,-2.4264796,0.3083333333333333,0.08490508,0.8789606
96,0.0,0.026149562,0.03128735,0.04424994,1940.0,1940.0,0.2638431,-3.4851148,0.48333333333333334,0.08493373,0.8789432
97,0.0,0.019077033,0.031292703,0.055323243,1960.0,1960.0,0.26385266,-2.1299865,0.27499999999999997,0.08494464,0.8789819
98,0.0,0.026774002,0.03131538,0.048642337,1980.0,1980.0,0.263847,-2.581741,0.425,0.08500827,0.87895507
99,0.0,0.030116983,0.03133069,0.05316146,2000.0,2000.0,0.2638458,-2.97808,0.4666666666666666,0.085064106,0.8789465
