epoch,test/success_rate,test/ag_g_dist,test/episode,train/episode,stats_o/std,train/critic_loss,test/mean_Q,stats_g/std,stats_g/mean,stats_o/mean,train/success_rate
37,1.0,0.054439854,760.0,3800.0,0.10766407,0.037004143,-1.0189782,0.07239092,0.83876175,0.20247228,0.9516666666666667
38,1.0,0.052634884,780.0,3900.0,0.10799071,0.022809794,-0.933767,0.07226465,0.83879393,0.20248991,0.9416666666666668
39,0.9833333333333334,0.050975565,800.0,4000.0,0.10838982,0.09296874,-1.0015568,0.07236155,0.8387932,0.20250314,0.945
40,1.0,0.04998744,820.0,4100.0,0.108668484,0.01519588,-0.8609286,0.07237143,0.838737,0.20249288,0.9383333333333335
41,0.9833333333333334,0.052794408,840.0,4200.0,0.10901985,0.021193324,-1.037562,0.07227799,0.8387873,0.20255227,0.9316666666666666
42,0.9916666666666667,0.0518102,860.0,4300.0,0.10935756,0.029751519,-0.9324418,0.0723135,0.8387964,0.20261462,0.93
43,0.9916666666666667,0.053288754,880.0,4400.0,0.10944423,0.025395945,-0.9522169,0.0722718,0.83881664,0.20268984,0.945
44,0.9916666666666667,0.054398417,900.0,4500.0,0.109755896,0.04572396,-1.1734143,0.07225075,0.83883786,0.20274742,0.9199999999999999
45,0.9916666666666667,0.05581522,920.0,4600.0,0.110067405,0.027426794,-1.0623791,0.072292544,0.8388335,0.20275845,0.9216666666666665
46,0.9916666666666667,0.055592876,940.0,4700.0,0.11029551,0.02437234,-1.0272218,0.0722587,0.838785,0.20281655,0.9433333333333334
47,0.9916666666666667,0.05647379,960.0,4800.0,0.11051474,0.03264914,-1.0671121,0.07214571,0.83884674,0.20282196,0.9400000000000001
48,0.9916666666666667,0.0539076,980.0,4900.0,0.1106687,0.024445375,-0.9770477,0.072147004,0.83887243,0.20284158,0.9433333333333334
49,0.9833333333333334,0.051427394,1000.0,5000.0,0.1108923,0.04555485,-1.0270554,0.07205534,0.8389272,0.20286697,0.9433333333333334
