test/success_rate,stats_o/mean,stats_g/mean,test/episode,epoch,stats_o/std,train/critic_loss,train/success_rate,test/mean_Q,train/episode,stats_g/std
0.10000000000000002,0.200535,0.8374787,20.0,0,0.04676548,0.023178026,0.05499999999999999,-2.0637214,100.0,0.07169021
0.016666666666666666,0.20048209,0.8370952,40.0,1,0.052839447,1.7181811,0.08333333333333333,-6.89018,200.0,0.074053906
0.041666666666666664,0.20075923,0.8369829,60.0,2,0.0641551,16.518291,0.06333333333333334,-15.168858,300.0,0.07631508
0.05833333333333334,0.20105684,0.837668,80.0,3,0.07590387,45.16392,0.06333333333333334,-32.16336,400.0,0.0790599
0.06666666666666667,0.20124845,0.83840126,100.0,4,0.07824851,53.661896,0.08,-41.62685,500.0,0.08011765
0.08333333333333333,0.20138381,0.8384951,120.0,5,0.07688156,85.813774,0.065,-45.29958,600.0,0.07998622
0.07500000000000001,0.20135184,0.83856463,140.0,6,0.07515407,150.91095,0.06666666666666667,-48.175983,700.0,0.080188744
0.10833333333333334,0.20144695,0.8389204,160.0,7,0.072916575,45.69669,0.065,-49.074406,800.0,0.07922459
0.075,0.20146184,0.83888894,180.0,8,0.07107493,15.66682,0.06,-49.46127,900.0,0.0789245
0.08333333333333333,0.20141701,0.8387959,200.0,9,0.06908488,7.820694,0.07333333333333332,-49.6998,1000.0,0.078276165
0.075,0.20134415,0.8384904,220.0,10,0.067375205,6.8587914,0.07500000000000001,-49.83977,1100.0,0.077700965
0.09166666666666667,0.20135969,0.83843493,240.0,11,0.06606615,5.685655,0.065,-49.805695,1200.0,0.07740865
0.06666666666666667,0.20139845,0.83857894,260.0,12,0.06471914,5.9809113,0.06,-49.92793,1300.0,0.076988846
0.03333333333333333,0.20138793,0.8384425,280.0,13,0.063930996,6.528136,0.06833333333333334,-49.88325,1400.0,0.07679915
0.049999999999999996,0.2013688,0.8383457,300.0,14,0.06294281,7.465109,0.06,-49.84859,1500.0,0.076551795
0.08333333333333333,0.20131855,0.8382445,320.0,15,0.062016416,5.5840154,0.07333333333333333,-49.835583,1600.0,0.07625852
0.05833333333333333,0.20131123,0.83823735,340.0,16,0.061180536,5.5162845,0.04833333333333334,-49.88516,1700.0,0.076092996
0.049999999999999996,0.20134628,0.83836514,360.0,17,0.06038102,5.9791603,0.07833333333333332,-49.80382,1800.0,0.0758266
0.06666666666666667,0.20131679,0.8383016,380.0,18,0.05974642,6.99581,0.08333333333333333,-49.966366,1900.0,0.07558318
0.08333333333333333,0.20131017,0.8382411,400.0,19,0.0591549,6.867125,0.075,-49.83946,2000.0,0.07531427
0.06666666666666667,0.2013169,0.83826184,420.0,20,0.058685947,5.0672107,0.061666666666666675,-49.887966,2100.0,0.07513014
0.07500000000000001,0.2013051,0.8382237,440.0,21,0.058340684,7.018198,0.06666666666666667,-49.74884,2200.0,0.07504356
0.05833333333333334,0.20125546,0.83802986,460.0,22,0.057884086,4.89082,0.06333333333333334,-50.014233,2300.0,0.07492227
0.06666666666666667,0.2012239,0.83793443,480.0,23,0.05741589,6.0897803,0.060000000000000005,-49.88672,2400.0,0.07474877
0.09999999999999999,0.20127173,0.83807665,500.0,24,0.0570461,6.394712,0.05833333333333334,-49.82835,2500.0,0.07465795
0.05000000000000001,0.20129327,0.8381264,520.0,25,0.056609854,4.177444,0.056666666666666664,-49.82255,2600.0,0.07447553
0.075,0.2012643,0.83805925,540.0,26,0.056271058,6.0650153,0.08166666666666667,-49.654034,2700.0,0.07432111
0.10833333333333334,0.20122421,0.8379588,560.0,27,0.05598201,5.478296,0.06666666666666667,-49.945312,2800.0,0.07423824
0.041666666666666664,0.20122206,0.8379546,580.0,28,0.05559392,7.7070847,0.05333333333333334,-49.768616,2900.0,0.07408602
0.041666666666666664,0.20121491,0.83791137,600.0,29,0.05522595,6.28478,0.07166666666666667,-50.091904,3000.0,0.07401392
0.05000000000000001,0.20121668,0.83793145,620.0,30,0.054929454,6.902741,0.06666666666666667,-49.781918,3100.0,0.07396076
0.05833333333333334,0.20121962,0.8379547,640.0,31,0.054582987,5.629202,0.060000000000000005,-49.958694,3200.0,0.073834896
0.06666666666666667,0.20123142,0.83804274,660.0,32,0.054298278,5.556812,0.07333333333333335,-49.93021,3300.0,0.073726125
0.049999999999999996,0.20125966,0.8381205,680.0,33,0.053975668,5.392175,0.06333333333333334,-49.934696,3400.0,0.07365092
0.06666666666666667,0.20123906,0.83807725,700.0,34,0.05383462,6.284121,0.06666666666666667,-49.918774,3500.0,0.07363809
0.09166666666666667,0.20125343,0.8381265,720.0,35,0.05353482,5.5206285,0.06666666666666667,-49.782528,3600.0,0.073540635
0.05833333333333334,0.2012711,0.83819216,740.0,36,0.053233158,6.945675,0.07666666666666667,-49.83307,3700.0,0.07350095
