stats_g/std,epoch,stats_g/mean,test/mean_Q,test/ag_g_dist,test/success_rate,stats_o/mean,train/critic_loss,test/episode,stats_o/std,train/episode,train/success_rate
0.018695945,20,0.67963505,-10.520053,0.04420973,0.5166666666666666,0.30839095,0.015387353,420.0,0.8119238,2100.0,0.02
0.01863852,21,0.6796313,-9.576924,0.0417988,0.5583333333333333,0.30834457,0.020416012,440.0,0.81207347,2200.0,0.02666666666666667
0.01859697,22,0.6795921,-8.993119,0.035920147,0.44166666666666665,0.30828384,0.014874314,460.0,0.81214553,2300.0,0.023333333333333334
0.018557824,23,0.6795618,-10.999066,0.034246087,0.5333333333333333,0.3082801,0.013562125,480.0,0.81315976,2400.0,0.015
0.018516885,24,0.67951554,-7.956496,0.03519012,0.5666666666666668,0.30837804,0.01623764,500.0,0.81370944,2500.0,0.026666666666666672
0.018465627,25,0.6794787,-9.344476,0.032135297,0.5583333333333333,0.30842644,0.015309217,520.0,0.8139294,2600.0,0.02
0.018422013,26,0.6794675,-9.623822,0.03051339,0.5750000000000001,0.30836943,0.019708537,540.0,0.8142614,2700.0,0.016666666666666666
0.018389052,27,0.6794711,-11.330119,0.036072116,0.6083333333333334,0.3082802,0.020255795,560.0,0.81424356,2800.0,0.016666666666666666
0.018377446,28,0.6794956,-12.059738,0.04748528,0.4416666666666667,0.30833,0.03470001,580.0,0.8141162,2900.0,0.011666666666666667
0.018366797,29,0.6795103,-10.561747,0.039441813,0.5,0.30833888,0.021853259,600.0,0.81403464,3000.0,0.013333333333333334
0.01835489,30,0.67951703,-10.188516,0.040576745,0.4166666666666667,0.3082922,0.014705776,620.0,0.81390077,3100.0,0.015
0.018351339,31,0.6794996,-11.584424,0.043306272,0.4583333333333333,0.3082242,0.028288541,640.0,0.8139438,3200.0,0.011666666666666667
0.018321846,32,0.6794751,-11.851584,0.04275903,0.48333333333333334,0.30813253,0.015949892,660.0,0.8137715,3300.0,0.011666666666666667
0.018298632,33,0.6794738,-11.179622,0.046841223,0.525,0.3081148,0.015155963,680.0,0.8134694,3400.0,0.02
0.018281695,34,0.6794606,-12.992877,0.04191261,0.4583333333333333,0.30800438,0.01586719,700.0,0.8133225,3500.0,0.01
0.018271798,35,0.67944247,-15.087329,0.041106828,0.5499999999999999,0.3079876,0.012386095,720.0,0.8133915,3600.0,0.01
0.018254159,36,0.6794445,-16.870825,0.071697585,0.3666666666666667,0.30795908,0.029526835,740.0,0.81319743,3700.0,0.013333333333333334
0.01824578,37,0.67944866,-14.00014,0.039090574,0.4416666666666667,0.30794388,0.018407682,760.0,0.81313246,3800.0,0.015
0.018225785,38,0.67941445,-12.470532,0.032982152,0.5583333333333333,0.3079093,0.021553477,780.0,0.81325984,3900.0,0.01833333333333333
0.018218646,39,0.6794056,-14.673057,0.03985291,0.5083333333333333,0.30792052,0.01568458,800.0,0.81335276,4000.0,0.018333333333333337
0.018212836,40,0.67941743,-12.498024,0.0361322,0.5583333333333333,0.30793205,0.030189842,820.0,0.8132827,4100.0,0.015
0.018208086,41,0.6794155,-18.014692,0.04849514,0.4083333333333334,0.3079571,0.016712682,840.0,0.81332654,4200.0,0.01
0.018202921,42,0.67942494,-14.170514,0.051180173,0.38333333333333336,0.30801556,0.022850363,860.0,0.8133716,4300.0,0.018333333333333333
0.018192487,43,0.6794167,-14.699638,0.04709063,0.5,0.3080442,0.013672854,880.0,0.8130905,4400.0,0.0016666666666666668
0.018182017,44,0.6794141,-14.225688,0.050996747,0.4583333333333333,0.30807713,0.016341308,900.0,0.8131859,4500.0,0.008333333333333333
0.01816966,45,0.67941356,-15.263309,0.050239068,0.325,0.30820864,0.015703255,920.0,0.8129403,4600.0,0.011666666666666665
0.018162785,46,0.67941093,-14.165947,0.048298474,0.5166666666666666,0.30831996,0.012895429,940.0,0.8126847,4700.0,0.016666666666666666
0.018156048,47,0.6794078,-16.522942,0.057991445,0.4833333333333332,0.30842537,0.019762227,960.0,0.81219894,4800.0,0.011666666666666667
0.018168697,48,0.6794195,-16.543547,0.060977712,0.4749999999999999,0.30858558,0.02075836,980.0,0.8116166,4900.0,0.011666666666666667
0.018181773,49,0.67943114,-16.43709,0.06092761,0.39166666666666666,0.30869603,0.025156938,1000.0,0.8108943,5000.0,0.016666666666666666
0.018202478,50,0.6794345,-18.138643,0.07628807,0.425,0.30877513,0.07663029,1020.0,0.8103841,5100.0,0.01
0.018223133,51,0.6794422,-19.548002,0.07039804,0.39999999999999997,0.30876392,0.014284822,1040.0,0.81025106,5200.0,0.015
0.018250933,52,0.6794436,-17.626959,0.074650206,0.425,0.3090202,0.014397785,1060.0,0.81027293,5300.0,0.006666666666666667
0.018282227,53,0.6794357,-17.206772,0.06578528,0.375,0.30922374,0.017906852,1080.0,0.8103389,5400.0,0.011666666666666667
0.018290231,54,0.67944056,-18.517908,0.06122152,0.4416666666666667,0.3093219,0.014740504,1100.0,0.81001806,5500.0,0.023333333333333334
0.018303884,55,0.67944527,-16.708008,0.059438962,0.4833333333333334,0.30943027,0.012088356,1120.0,0.80947846,5600.0,0.016666666666666666
0.018321307,56,0.67945534,-17.072214,0.055086326,0.5083333333333333,0.30953953,0.011776964,1140.0,0.80908203,5700.0,0.023333333333333334
0.0183298,57,0.6794717,-15.3417635,0.060753394,0.5,0.30958304,0.016918525,1160.0,0.8084716,5800.0,0.01
0.018319117,58,0.6794727,-16.305128,0.05545276,0.49999999999999994,0.30964923,0.14113145,1180.0,0.8078826,5900.0,0.015
0.018312931,59,0.67948246,-15.255192,0.05136861,0.3083333333333333,0.3097446,0.06083594,1200.0,0.80707955,6000.0,0.013333333333333334
