test/ag_g_dist,stats_o/mean,train/episode,train/success_rate,test/mean_Q,stats_o/std,stats_g/std,test/success_rate,train/critic_loss,epoch,test/episode,stats_g/mean
0.14225921,0.33177692,100.0,0.0,-1.9545606,0.6855288,0.019599259,0.0,0.0013264893,0,20.0,0.6771092
0.17148729,0.34548548,200.0,0.0,-4.011992,0.69002825,0.02001064,0.0,0.00039334362,1,40.0,0.67987233
0.20692265,0.34950483,300.0,0.0,-6.047718,0.68735284,0.021855375,0.0,0.00019068307,2,60.0,0.6843812
0.19002056,0.3477902,400.0,0.0,-7.8901367,0.68409425,0.022645557,0.0,0.00012950519,3,80.0,0.6875326
0.16765718,0.34558353,500.0,0.0,-9.847301,0.67951983,0.022270525,0.0,0.00011804752,4,100.0,0.688657
0.13412304,0.34392253,600.0,0.0,-11.763325,0.67457646,0.021671185,0.0,0.00012868264,5,120.0,0.68879396
0.10390812,0.34180847,700.0,0.0,-13.4589815,0.6712006,0.021213152,0.0,0.00012638886,6,140.0,0.6880195
0.09454576,0.3396436,800.0,0.0,-15.026092,0.66905254,0.021144671,0.0,0.00018102971,7,160.0,0.68689233
0.09795407,0.33734247,900.0,0.0,-16.471142,0.66823274,0.021254204,0.0,0.0001847205,8,180.0,0.6857987
0.09776366,0.33557495,1000.0,0.0,-17.978775,0.66646636,0.021135619,0.0,0.00011511993,9,200.0,0.6849821
0.095639594,0.33424208,1100.0,0.0,-19.451262,0.66451,0.020867867,0.0,8.6903536e-05,10,220.0,0.6843832
0.09885626,0.33328378,1200.0,0.0,-20.889124,0.66273975,0.020564515,0.0,0.00012172976,11,240.0,0.6839389
0.100700594,0.33246636,1300.0,0.0,-22.271235,0.6610904,0.020252684,0.0,5.2094096e-05,12,260.0,0.6836403
0.10481735,0.33193615,1400.0,0.0,-23.572042,0.6597747,0.019962084,0.0,7.7473785e-05,13,280.0,0.6834313
0.105607055,0.33151016,1500.0,0.0,-24.872658,0.6581587,0.019688526,0.0,9.2274684e-05,14,300.0,0.6833002
0.10992291,0.33121482,1600.0,0.0,-26.06887,0.65707666,0.019452719,0.0,4.690507e-05,15,320.0,0.6832226
0.11057765,0.33093458,1700.0,0.0,-27.208532,0.65626025,0.0192548,0.0,0.00027203292,16,340.0,0.6831755
0.11208429,0.33066893,1800.0,0.0,-28.29476,0.6553689,0.019078758,0.0,5.921417e-05,17,360.0,0.68315536
0.11675367,0.33051845,1900.0,0.0,-29.343557,0.65440965,0.018924475,0.0,2.853852e-05,18,380.0,0.68316585
0.11935971,0.33050925,2000.0,0.0,-30.328974,0.6536154,0.018794883,0.0,3.9460287e-05,19,400.0,0.6831925
0.12170329,0.33041984,2100.0,0.0,-31.298904,0.6528432,0.018680427,0.0,3.8473492e-05,20,420.0,0.6832263
0.119546056,0.33036235,2200.0,0.0,-32.20782,0.65217745,0.018578088,0.0,5.4103224e-05,21,440.0,0.6832674
0.11922917,0.3303353,2300.0,0.0,-33.07151,0.65157443,0.018490145,0.0,5.7650206e-05,22,460.0,0.6832907
0.120114885,0.33025452,2400.0,0.0,-33.915165,0.65118545,0.018408103,0.0,2.003356e-05,23,480.0,0.68330413
0.11692345,0.33018422,2500.0,0.0,-34.66736,0.65055484,0.018327676,0.0,1.6250335e-05,24,500.0,0.6833117
0.11816478,0.33011284,2600.0,0.0,-35.404545,0.6501503,0.01825812,0.0,7.65339e-06,25,520.0,0.68331975
0.11815938,0.33006576,2700.0,0.0,-36.120487,0.64965457,0.018191507,0.0,2.1022419e-05,26,540.0,0.6833375
0.119188584,0.32998034,2800.0,0.0,-36.79335,0.64896697,0.018120414,0.0,6.4171036e-06,27,560.0,0.6833403
0.11859438,0.3299,2900.0,0.0,-37.424557,0.6486054,0.0180617,0.0,7.1644913e-06,28,580.0,0.68334645
0.117798835,0.32983845,3000.0,0.0,-38.01302,0.64827764,0.017998474,0.0,1.3947906e-05,29,600.0,0.68335414
0.11736894,0.32979414,3100.0,0.0,-38.579994,0.6478697,0.017944627,0.0,6.606373e-06,30,620.0,0.6833603
0.118217684,0.3297471,3200.0,0.0,-39.13197,0.6476613,0.017893028,0.0,9.940218e-06,31,640.0,0.6833642
0.117843956,0.32969698,3300.0,0.0,-39.673214,0.6473673,0.01784615,0.0,6.6772773e-06,32,660.0,0.68337554
0.11727551,0.32967824,3400.0,0.0,-40.15878,0.64713466,0.01780084,0.0,1.4755904e-05,33,680.0,0.6833779
0.11819785,0.32956943,3500.0,0.0,-40.641655,0.64669937,0.017752683,0.0,3.0726826e-06,34,700.0,0.6833766
0.119520724,0.32954302,3600.0,0.0,-41.080494,0.6463913,0.017713793,0.0,1.8517934e-05,35,720.0,0.6833789
0.11907924,0.3295,3700.0,0.0,-41.50745,0.64606714,0.017673178,0.0,4.0999134e-06,36,740.0,0.6833837
0.118533075,0.3294317,3800.0,0.0,-41.911324,0.6456989,0.017633593,0.0,2.5533911e-06,37,760.0,0.6833899
0.117135935,0.32941848,3900.0,0.0,-42.284176,0.6454333,0.017597439,0.0,1.2734733e-05,38,780.0,0.68339604
0.119149186,0.32942557,4000.0,0.0,-42.66157,0.6451474,0.017558215,0.0,1.4696433e-06,39,800.0,0.6834008
0.11810824,0.3294236,4100.0,0.0,-42.98874,0.64500755,0.0175225,0.0,4.252302e-05,40,820.0,0.68340737
0.12017199,0.32940364,4200.0,0.0,-43.35349,0.6447784,0.017495552,0.0,3.4791923e-05,41,840.0,0.68341273
0.1179773,0.3293798,4300.0,0.0,-43.66804,0.64469427,0.017465204,0.0,1.1814126e-05,42,860.0,0.6834162
0.118554495,0.32936692,4400.0,0.0,-43.98704,0.6444811,0.017432863,0.0,2.434945e-06,43,880.0,0.68342024
0.11829424,0.3293579,4500.0,0.0,-44.29054,0.64435464,0.017404156,0.0,1.3560794e-05,44,900.0,0.68342227
0.11853399,0.32932356,4600.0,0.0,-44.57681,0.6441543,0.017377768,0.0,5.0950246e-05,45,920.0,0.68342346
0.117698036,0.32932374,4700.0,0.0,-44.82133,0.64403194,0.01734987,0.0,3.0676518e-05,46,940.0,0.6834249
0.11905225,0.32928824,4800.0,0.0,-45.06843,0.64387023,0.017324166,0.0,4.321952e-05,47,960.0,0.68342763
0.11796852,0.32926217,4900.0,0.0,-45.324783,0.6438086,0.017301645,0.0,4.5338336e-05,48,980.0,0.68342954
0.11785519,0.32926968,5000.0,0.0,-45.548676,0.64366555,0.017277768,0.0,6.185222e-05,49,1000.0,0.68343145
0.118246794,0.32922804,5100.0,0.0,-45.75206,0.64353883,0.017260302,0.0,5.1209595e-06,50,1020.0,0.68343335
0.11907381,0.32921234,5200.0,0.0,-45.939667,0.6433674,0.017240586,0.0,1.9798521e-05,51,1040.0,0.6834375
0.118160926,0.32920402,5300.0,0.0,-46.134506,0.64325225,0.017220454,0.0,1.5549922e-05,52,1060.0,0.6834399
0.118834935,0.3292066,5400.0,0.0,-46.314713,0.6431761,0.017201843,0.0,3.4331682e-05,53,1080.0,0.683439
0.11772239,0.3291862,5500.0,0.0,-46.492737,0.6430734,0.017184535,0.0,4.4282788e-06,54,1100.0,0.6834406
0.11734564,0.32917064,5600.0,0.0,-46.664425,0.6429774,0.017168198,0.0,3.7492998e-06,55,1120.0,0.68344325
0.11727858,0.3291498,5700.0,0.0,-46.832645,0.6428896,0.017148936,0.0,5.718745e-06,56,1140.0,0.6834429
0.11686751,0.32912683,5800.0,0.0,-46.9847,0.6427388,0.017131532,0.0,3.2252785e-06,57,1160.0,0.68344337
0.11767753,0.3291225,5900.0,0.0,-47.133,0.6426013,0.017117683,0.0,2.555116e-06,58,1180.0,0.6834399
0.11716881,0.32912588,6000.0,0.0,-47.2641,0.64243656,0.017101418,0.0,9.742245e-07,59,1200.0,0.68344194
